Language1,Language2,Dot_Product
Amharic,Amharic,0.9999999368105652
Amharic,Arabic,0.06295763744844085
Amharic,Croatian,0.19349130140224252
Amharic,Czech,0.15660508674643944
Amharic,Dutch,0.019826629773119244
Amharic,Farsi,6.0266593691623277e-05
Amharic,German,0.14045596963014012
Amharic,Hausa,0.23181341585905701
Amharic,Hindi,0.18116782490278327
Amharic,Hungarian,0.03644153710582147
Amharic,Indonesian,0.4019702091211168
Amharic,Kazakh,0.13946645390395204
Amharic,Malyalam,0.1428094442766772
Amharic,Maori,0.1855979474871557
Amharic,Marathi,0.13337569117582984
Amharic,Polish,0.21281127963269816
Amharic,Porteguese,0.03878474609494199
Amharic,Russian,0.15433047526370414
Amharic,Spanish,0.15002758737032063
Amharic,Swedish,0.011138208782233285
Amharic,Telugu,0.0
Amharic,Thai,1.0326190870472284e-06
Amharic,Urdu,0.004828500453836912
Amharic,Vietnamese,0.024630918779408234
Amharic,Xhosa,0.13073442728420356
Amharic,Zulu,0.18474459219046305
Arabic,Arabic,0.999999889199652
Arabic,Croatian,0.09045533193663242
Arabic,Czech,0.07932842653289857
Arabic,Dutch,0.3166547002410638
Arabic,Farsi,0.03778648447585762
Arabic,German,0.3466672242968625
Arabic,Hausa,0.09717394746421402
Arabic,Hindi,0.6961666999091273
Arabic,Hungarian,0.024515769658584687
Arabic,Indonesian,0.11730076345696729
Arabic,Kazakh,0.014619647506407277
Arabic,Malyalam,0.32081727566992096
Arabic,Maori,0.05849339076961911
Arabic,Marathi,0.7369536832154243
Arabic,Polish,0.07350406096368875
Arabic,Porteguese,0.015490520119067026
Arabic,Russian,0.05973285800998455
Arabic,Spanish,0.08098475111956242
Arabic,Swedish,0.30028392693530687
Arabic,Telugu,0.0
Arabic,Thai,0.0
Arabic,Urdu,0.2262141912056724
Arabic,Vietnamese,0.010099672620179119
Arabic,Xhosa,0.07447518944694305
Arabic,Zulu,0.08615513456413605
Croatian,Croatian,0.9999998061551099
Croatian,Czech,0.6049448962798532
Croatian,Dutch,0.10060986349013498
Croatian,Farsi,0.067046550702704
Croatian,German,0.10936015348167635
Croatian,Hausa,0.4199362253030669
Croatian,Hindi,0.22973561585960467
Croatian,Hungarian,0.14713368074469824
Croatian,Indonesian,0.40655386674849914
Croatian,Kazakh,0.1594283295799872
Croatian,Malyalam,0.27431282062851053
Croatian,Maori,0.4348440432758712
Croatian,Marathi,0.1410157215436458
Croatian,Polish,0.32384343667958926
Croatian,Porteguese,0.19229956419335567
Croatian,Russian,0.45134322166949126
Croatian,Spanish,0.4925321944460112
Croatian,Swedish,0.08144999974946167
Croatian,Telugu,0.0005812616850333458
Croatian,Thai,0.006977989724070954
Croatian,Urdu,0.027934797951618323
Croatian,Vietnamese,0.054715856243259045
Croatian,Xhosa,0.25970973296908995
Croatian,Zulu,0.4414751906742803
Czech,Czech,0.9999997909462879
Czech,Dutch,0.10951170614406985
Czech,Farsi,0.07814453385130353
Czech,German,0.09587847715635774
Czech,Hausa,0.24111127308145125
Czech,Hindi,0.17770366802600115
Czech,Hungarian,0.09248032067443576
Czech,Indonesian,0.240446124383919
Czech,Kazakh,0.22551768251442297
Czech,Malyalam,0.18369416052995302
Czech,Maori,0.3477825901158105
Czech,Marathi,0.10615650949417715
Czech,Polish,0.2337208298055529
Czech,Porteguese,0.14919969769674118
Czech,Russian,0.3894341742237791
Czech,Spanish,0.4824426757812245
Czech,Swedish,0.09245754208368005
Czech,Telugu,0.0
Czech,Thai,0.0004844654273761062
Czech,Urdu,0.03307236769535903
Czech,Vietnamese,0.028856486060472843
Czech,Xhosa,0.1270383661607237
Czech,Zulu,0.31059749366944966
Dutch,Dutch,0.9999995540225032
Dutch,Farsi,0.04257332028738341
Dutch,German,0.40145674840162415
Dutch,Hausa,0.04380248700815825
Dutch,Hindi,0.33150965416167844
Dutch,Hungarian,0.2590606768354785
Dutch,Indonesian,0.043109397016095695
Dutch,Kazakh,0.12720530087513113
Dutch,Malyalam,0.22910277332928636
Dutch,Maori,0.0601431401421503
Dutch,Marathi,0.32127061747690067
Dutch,Polish,0.1340062955420738
Dutch,Porteguese,0.1920498701692634
Dutch,Russian,0.0422936180844135
Dutch,Spanish,0.11678654272927232
Dutch,Swedish,0.6050690068175095
Dutch,Telugu,7.811530142225717e-05
Dutch,Thai,0.00018017648800290346
Dutch,Urdu,0.31432627395348395
Dutch,Vietnamese,0.011040229319189424
Dutch,Xhosa,0.13128262612314126
Dutch,Zulu,0.045929332263677326
Farsi,Farsi,0.9999998312575594
Farsi,German,0.03376876149534964
Farsi,Hausa,0.014199247921279842
Farsi,Hindi,0.015245699494317854
Farsi,Hungarian,0.2711727130782544
Farsi,Indonesian,0.020490724961629608
Farsi,Kazakh,0.06897227249003805
Farsi,Malyalam,0.0006715681844211271
Farsi,Maori,0.00021045931034479207
Farsi,Marathi,0.013894693485007107
Farsi,Polish,0.06960656141313544
Farsi,Porteguese,0.03253635021120136
Farsi,Russian,0.03612214298455455
Farsi,Spanish,0.041541448198548526
Farsi,Swedish,0.039462621027636674
Farsi,Telugu,2.4684585766605844e-05
Farsi,Thai,1.6173693716715533e-06
Farsi,Urdu,0.016556618433530824
Farsi,Vietnamese,4.182413464403973e-06
Farsi,Xhosa,0.03005467247759011
Farsi,Zulu,0.021546340418507996
German,German,0.9999997086218881
German,Hausa,0.13504229674933052
German,Hindi,0.23524716865469664
German,Hungarian,0.08135283744285675
German,Indonesian,0.17247975561352416
German,Kazakh,0.1795659944807275
German,Malyalam,0.15576578398240437
German,Maori,0.08453179199795512
German,Marathi,0.19891747792276115
German,Polish,0.07939665610603783
German,Porteguese,0.10018607182731815
German,Russian,0.05314689016024701
German,Spanish,0.12625131432043865
German,Swedish,0.6215497966907382
German,Telugu,1.4744356021573133e-05
German,Thai,0.0007695042034342935
German,Urdu,0.47489090915283383
German,Vietnamese,0.01690843587162457
German,Xhosa,0.08344515032677843
German,Zulu,0.08878507849776995
Hausa,Hausa,0.9999995748385159
Hausa,Hindi,0.15268839879360271
Hausa,Hungarian,0.0787697653669813
Hausa,Indonesian,0.632281272436603
Hausa,Kazakh,0.033872646082991564
Hausa,Malyalam,0.39146748416584165
Hausa,Maori,0.4105230541371769
Hausa,Marathi,0.12700972942966474
Hausa,Polish,0.295023509379173
Hausa,Porteguese,0.08377814032120627
Hausa,Russian,0.21954549349716684
Hausa,Spanish,0.35792988922495594
Hausa,Swedish,0.02109605812243653
Hausa,Telugu,3.458716258077014e-06
Hausa,Thai,0.00011671731743758784
Hausa,Urdu,0.00819556756513203
Hausa,Vietnamese,0.10280491624429124
Hausa,Xhosa,0.41605519086793974
Hausa,Zulu,0.4897105210914988
Hindi,Hindi,0.9999996526096571
Hindi,Hungarian,0.05943263405821855
Hindi,Indonesian,0.22139557977435845
Hindi,Kazakh,0.11611313550564183
Hindi,Malyalam,0.37693257578790995
Hindi,Maori,0.17153022226200682
Hindi,Marathi,0.8800695829145778
