fiː,9941
al,49009
lb,3738
bd,1156
dء,7
xl,1208
lq,2000
ll,4050
lh,6414
ls,3189
sm,2684
muː,3807
uːaː,18666
aːt,2832
aːl,11772
laː,18584
aːr,7000
rdˤ,2699
dˤ.,407
uːk,2974
kaː,4275
aːn,12077
nt,2408
xr,1849
rb,9009
bة,718
uːx,900
xaː,1061
liː,9410
iːة,1800
uːʕ,2520
ʕl,7396
lى,8374
uːd͡ʒ,2047
d͡ʒh,834
lɣ,755
ɣm,85
mr,2901
ðˤl,322
lm,11245
mة,1971
uːr,3939
ruː,2857
uːħ,1515
iːr,3934
rf,1260
miː,3751
iːaː,6611
aːh,2422
h.,2528
uːq,2963
qaː,5462
iːk,2674
kn,2109
nuː,2666
fk,606
r.,1307
raː,7869
aːى,4
ln,2063
an,5537
nh,4271
ħs,990
sn,1234
n.,1849
uːf,1353
fsˤ,332
sˤl,454
biː,6503
iːn,9602
lðˤ,175
ة.,1987
uːd,2595
dʕ,798
ʕaː,2665
haː,6932
iːl,4574
aː.,3454
ms,2250
saː,3380
aːء,3894
sˤb,456
baː,6265
aːħ,2147
iːuː,3399
uːm,4290
maː,10171
ħd,1575
daː,3893
d͡ʒl,2476
ld,1525
uːs,2918
stˤ,787
uːl,6549
faː,3387
aːsˤ,779
fʕ,1566
ʕm,2118
ml,5731
ld͡ʒ,1856
lt,4162
tiː,3229
tħ,1217
ħt,1217
fuː,970
d.,693
kð,972
ðl,1050
lk,8506
k.,1600
ء.,412
θaː,923
niː,6808
td͡ʒ,477
d͡ʒt,525
tm,1749
mʕ,3855
mk,1436
tðˤ,106
ðˤh,136
hr,1379
aːb,4252
bs,542
sة,389
ar,2382
dˤaː,1184
md͡ʒ,445
bħ,1170
ħaː,1679
rا,1114
أ,4664
ٔى,179
tn,1150
nb,1024
bt,1105
ʕʃ,1230
ʃb,614
uːb,3470
bq,703
ql,1934
iːb,1604
bz,357
zr,389
uːʃ,977
ʃd͡ʒ,153
d͡ʒr,712
ðaː,4747
θm,1263
iːʕ,3343
kd͡ʒ,35
d͡ʒn,767
ns,1320
sh,863
rh,973
iːh,4766
aːx,1281
rd͡ʒ,3543
lθ,714
tk,2432
tf,769
l.,1353
uːt,3769
kuː,1958
uːn,8946
lا,1169
آ,2976
ٓiː,55
aːuː,2535
aːiː,1816
aːm,7738
riː,3690
lʕ,2301
ʕðˤ,630
ðˤiː,437
iːm,3942
aːk,1992
kb,725
br,2589
lħ,2167
ħk,655
km,3640
sˤɣ,206
ɣr,496
nd͡ʒ,591
d͡ʒuː,809
m.,2414
d͡ʒʕ,1550
bʕ,2840
fdˤ,633
zħ,34
aːf,1134
nf,1372
fs,1287
ħiː,1711
iːtˤ,393
tˤr,1191
tˤiː,1532
fx,309
naː,7153
ðˤaː,163
kl,7161
ðuː,331
db,214
bّ,239
ّa,448
ab,2795
aːdˤ,306
dˤt,130
bh,2796
aːd͡ʒ,1252
aːs,2394
tˤaː,846
aːي,5629
ئ,7971
ٔr,484
ðiː,2820
rk,1292
kh,685
ٔl,1857
aθ,366
kθ,728
θr,479
إ,142
ٕiː,48
ltˤ,518
tx,764
ٔm,724
uːuː,465
ħuː,1216
d͡ʒm,2066
nʕ,1311
sˤuː,884
rt,1586
kʃ,113
hn,1908
iːt,3987
ts,802
sl,2168
tˤuː,581
ħr,1330
td,540
th,3439
rة,1987
qh,417
ðk,400
kr,1442
nθ,85
θى,25
hm,6768
ٔuː,522
xdˤ,78
dˤʕ,683
ʕuː,2641
uːh,2168
iːd,3761
qd,3610
aʕ,1152
ʕtˤ,1117
tˤʕ,497
ax,1637
dˤr,764
aːð,1039
huː,3085
d͡ʒd,1297
aːd,2112
ds,544
fا,261
ٔk,651
nd,1139
dh,1582
fr,1945
rɣ,104
mn,9606
lð,3281
st,1578
tr,1555
as,3737
hð,1959
ðh,1934
mb,241
dي,19
qt,1168
t.,680
lr,7193
ʕd,2591
am,2758
mtˤ,176
dˤb,351
tˤl,713
uːiː,3362
iːs,2146
sq,360
qiː,1627
d͡ʒb,942
bl,2069
ٓd,110
dm,1543
fh,655
aːة,571
sˤaː,1469
iːّ,1149
ّة,461
uːɣ,228
rs,1182
nّ,384
dn,792
ʃr,2401
rq,1045
uːdˤ,722
uːا,860
ٔn,321
ʃh,494
hiː,1328
nðˤ,458
ðˤr,537
d͡ʒiː,780
dة,685
nة,2207
ʕr,967
fة,292
lx,921
xiː,1229
lʃ,2698
iːx,801
nq,584
qs,220
iːsˤ,508
sˤiː,926
ʕة,1234
rو,550
ؤ,1233
s.,313
luː,3870
iːʃ,1085
ʃuː,920
mħ,975
bd͡ʒ,187
lة,671
iːθ,336
hb,1226
b.,1636
uːð,1409
tl,1148
mq,571
ħd͡ʒ,365
d͡ʒz,142
zʕ,265
ʕ.,370
iːħ,1496
ʃ.,99
dّ,556
aq,561
d͡ʒaː,2562
aʃ,506
lf,1744
ٔx,375
xð,1149
ʕh,1316
ħf,453
fðˤ,373
uːsˤ,1058
sˤى,86
tا,412
ak,400
fl,1503
nk,1209
taː,1778
sˤn,924
ʕiː,2379
ħdˤ,127
rى,341
mh,1672
fd,379
uːtˤ,343
iːd͡ʒ,512
qʕ,128
sb,2256
fn,657
adˤ,176
dˤl,126
aːʕ,2032
ħm,1486
bn,6207
nى,256
ldˤ,204
ٔة,918
fq,1932
ٓn,589
ðˤm,181
iː.,1516
ʕى,90
rء,6
ðt,120
tsˤ,416
sˤq,87
ٔt,967
d͡ʒs,395
sd,268
xd͡ʒ,67
ٔħ,191
ħq,773
nا,36
sّ,362
ah,238
lي,240
ft,1646
hd͡ʒ,124
d͡ʒة,129
tˤt,102
aiː,2103
iːdˤ,1030
aːtˤ,629
auː,1551
aːq,1342
mا,38
ٓz,1
aːʃ,758
ʃiː,1131
ʕn,2873
buː,2226
xt,514
tb,747
bا,304
dى,161
ʕt,879
xʃ,171
hl,852
rّ,556
ّt,152
btˤ,530
tˤn,200
sʕ,238
uːة,249
sħ,456
sk,1572
ʕq,466
qb,678
θiː,801
at,399
tʕ,1309
ħb,739
diː,3226
ʃt,312
qk,140
suː,848
quː,2546
bb,247
bk,1446
ʕb,3133
hk,1278
xb,808
zaː,666
tى,891
uːّ,223
aء,11
ّ.,210
qm,331
msˤ,880
sˤة,46
md,1593
iːا,414
ftˤ,153
rd,1084
siː,2036
iːf,1061
mt,1873
tq,1436
iːq,2463
fħ,260
dt,573
iːiː,1160
ɣn,531
nm,632
dθ,106
qr,1207
aːɣ,162
ɣt,127
aːðˤ,106
qtˤ,792
hh,341
aɣ,119
ðˤt,58
aħ,788
ٔf,124
xtˤ,696
bdˤ,85
dˤة,464
að,978
xuː,781
rx,209
dk,832
ٔh,630
ðn,332
kiː,1071
ħn,408
ٔiː,3554
tuː,1020
ʃaː,1634
lّ,636
rʕ,1085
mz,212
zm,289
ٓl,342
nħ,812
ɣiː,421
rħ,1087
ʃd,301
dx,776
f.,222
ٓx,233
nي,131
ٔð,135
kt,657
q.,278
mي,595
uːθ,481
θl,1002
aːθ,1164
ksˤ,15
xm,744
θn,304
xn,51
x.,27
ħ.,225
ʕz,543
zّ,190
ّiː,460
fθ,29
dا,55
tّ,133
ّx,9
lz,291
ziː,740
iːɣ,202
ɣaː,204
bʃ,413
tˤɣ,7
hو,274
nð,442
af,519
ħz,282
zn,307
ٔs,597
sf,487
ad͡ʒ,790
θة,253
θ.,47
tt,445
asˤ,444
d͡ʒf,85
ttˤ,274
ðr,468
dˤh,274
tdˤ,207
tˤة,96
ٓt,86
hd,681
ʕk,430
ى.,252
iːو,86
ff,144
ad,319
fd͡ʒ,196
ʕsˤ,300
sˤf,423
ɣl,399
tɣ,218
ɣtˤ,160
mx,421
xة,46
fm,598
ħّ,29
tz,190
qّ,76
ّى,245
tˤ.,88
aːz,527
qsˤ,254
sˤt,41
qة,496
dd,386
nʃ,104
ʃf,349
bθ,77
ّl,131
fّ,154
tθ,63
mð,448
ðb,1020
sˤʕ,690
ħة,503
ّr,346
θt,40
ħsˤ,367
df,451
atˤ,188
duː,1779
bm,352
bsˤ,208
sˤr,1361
tʃ,352
ʃʕ,2011
rm,776
mʃ,411
qðˤ,51
lsˤ,1055
ʃk,137
ʃة,44
rʃ,792
mm,635
dˤiː,466
tة,162
ٓr,9
kّ,76
ّd,101
ʃn,52
uːى,85
ks,271
kf,251
ħθ,104
θّ,77
ّuː,250
sˤّ,113
ّm,192
iːء,257
ɣz,54
ٔd,205
‎a,563
uːz,455
dq,196
ٔb,192
ɣة,24
ʕdˤ,116
nsˤ,508
nz,573
zl,548
aːو,194
nn,348
fb,129
d͡ʒ.,63
uː.,98
sr,3155
kة,319
iːð,239
dˤk,114
kk,113
fð,120
uːðˤ,40
mɣ,199
ħl,846
dr,538
ٓk,62
ٓh,66
dħ,34
rn,428
zuː,311
fʃ,58
ءة,18
sˤm,263
rz,199
ʃm,593
kd,43
rl,16
ٓb,955
tˤm,152
ءuː,105
dʃ,54
mdˤ,204
dˤuː,146
nr,57
sˤħ,216
ّn,86
ʃq,240
ّh,161
ءk,59
xf,161
rθ,118
θk,40
ħʃ,217
ٓm,117
d͡ʒk,62
θh,64
ʕd͡ʒ,298
zة,33
d͡ʒθ,83
θθ,35
iːz,288
zd͡ʒ,23
mðˤ,43
qn,94
zq,191
dˤn,62
qdˤ,342
tð,256
a.,40
rي,291
bي,149
ٔθ,15
ðˤuː,117
bf,98
dˤħ,88
qf,514
kdˤ,47
sd͡ʒ,261
ɣs,84
kي,7
rr,58
xsˤ,105
zb,130
ءh,170
ʃx,9
dl,264
xh,34
ʕs,143
sى,815
mθ,507
sx,141
θuː,440
dˤtˤ,218
tˤd͡ʒ,173
iːي,372
ٔa,169
mى,57
sˤh,206
tˤf,177
ɣd,135
kʕ,71
ndˤ,62
ٔا,27
tˤي,112
tˤا,121
hة,340
fى,28
ht,235
tˤى,133
ّq,97
ħtˤ,100
tˤb,140
bð,118
uːي,215
ʕf,85
tˤk,89
ٔz,19
ʃا,52
dˤى,92
ʕð,63
d͡ʒħ,50
xz,288
ّا,45
d͡ʒي,59
sا,178
ٕl,19
bɣ,281
ɣdˤ,441
tˤّ,60
ّθ,16
qʃ,59
ٔʃ,23
ʃّ,107
mّ,226
ħh,336
dˤm,54
bx,242
ٔdˤ,138
ٔʕ,89
ّk,74
sˤtˤ,52
aي,4
zى,55
ٔsˤ,32
ntˤ,312
dˤd,73
kى,27
ٔq,28
ðˤk,14
z.,60
ðˤn,25
qى,73
xd,310
d͡ʒّ,70
ðّ,21
ّf,59
ɣb,57
ٔd͡ʒ,36
ءl,6
ّs,97
ّtˤ,23
ʃtˤ,17
fɣ,52
tˤtˤ,2
ّʃ,4
ss,51
zk,116
xs,22
xk,14
ءn,15
zt,27
zh,121
nx,78
hّ,35
tˤh,282
ٓð,45
ʕθ,82
zd,49
qð,145
qq,47
bى,82
rtˤ,50
kz,25
rsˤ,171
sˤ.,76
dˤd͡ʒ,49
sˤsˤ,9
hz,96
aðˤ,14
ðˤّ,16
ðx,20
ءt,45
mf,105
sˤd,350
ɣuː,108
ٔ.,59
hى,28
sˤي,7
ʃl,703
θq,111
hdˤ,26
ħðˤ,46
sˤk,57
mو,39
ّb,142
ɣsˤ,40
ٔtˤ,66
θb,136
sˤx,125
θd,18
ðي,15
zf,32
ħð,23
xّ,18
iːðˤ,90
ّsˤ,78
θʕ,12
ðˤ.,12
ٓd͡ʒ,9
dˤf,30
kq,35
ّz,15
lء,30
ħى,16
tˤs,13
fz,26
d͡ʒd͡ʒ,20
kħ,32
hʃ,29
ّʕ,49
ðm,30
tˤʃ,45
tˤq,90
az,72
ɣى,14
ʃى,37
dˤّ,21
tˤħ,43
ّdˤ,20
ّħ,29
sي,1
tو,32
ّd͡ʒ,15
ʃħ,112
ɣʃ,124
ٔðˤ,3
ðq,16
ʃðˤ,10
ðˤة,37
aة,5
zz,15
uːء,87
ðˤf,3
ɣh,6
zء,6
ɣf,54
ً.,3
ءf,10
ءiː,9
dˤا,18
ٕs,1
ٕħ,2
nl,7
kا,34
ءى,25
rð,53
zɣ,12
tي,29
hq,11
iːً,1
ًّ,1
nɣ,17
ðf,6
qz,3
ʃɣ,51
ٔو,6
hsˤ,17
ð.,17
d͡ʒا,62
qθ,10
ktˤ,17
ٓθ,40
dɣ,10
dˤɣ,9
ّي,10
ىّ,2
ðة,8
dd͡ʒ,12
hي,1
ٕ.,8
d͡ʒʃ,20
bðˤ,10
dˤdˤ,3
ðˤb,19
sو,23
zا,14
htˤ,3
fي,32
ءa,8
ʕx,11
ٓuː,17
d͡ʒð,18
ٕx,2
ħي,2
kx,29
ٓʃ,51
fو,7
ٔɣ,15
aو,7
m*,1
**,29
ʃي,5
ħx,3
hf,8
nو,3
qħ,23
ɣ.,9
ʃθ,28
kðˤ,5
d*,1
*l,2
ٕm,5
θʃ,12
ٕt,4
kɣ,14
ٓs,109
xا,92
ɣðˤ,1
ʕّ,5
aːّ,1
h*,2
*f,2
ٓħ,65
ٓsˤ,8
θɣ,8
ħʕ,2
n*,1
*uː,1
ɣθ,7
ʕي,5
hs,4
lو,9
kو,1
ٓf,1
ٓtˤ,3
ðʕ,4
ʃʃ,8
ʃs,11
iːى,1
ðð,15
ʃz,2
ٓة,2
zθ,1
ّ‎,31
‎.,1970
d͡ʒى,10
zي,35
xθ,2
ٕr,1
ــ,3
xي,2
ّɣ,1
tˤx,3
ʃsˤ,2
‎tˤ,20
s‎,18
‎l,345
aː‎,191
‎f,91
ħ‎,18
r‎,98
l‎,42
‎q,52
m‎,179
‎ħ,29
h‎,282
k‎,216
‎t,60
dˤ‎,32
ة‎,97
‎iː,137
‎k,58
iː‎,265
‎b,60
d‎,109
‎ʕ,52
‎s,26
b‎,87
‎d͡ʒ,21
k‏,5
‎d,8
f‎,22
iː‏,7
‏‎,30
t‎,52
‎uː,143
ى‎,8
ʕ‎,22
‎m,102
q‎,27
ء‎,17
n‎,85
‎x,14
‎h,55
‎r,30
r‏,6
ʃ‎,9
f‏,2
‎sˤ,23
aː‏,6
d‏,2
‎n,22
‎ʃ,9
z‎,2
s‏,1
uː‎,13
a‎,1
‎ا,24
dˤي,2
ðˤ‏,1
‎ɣ,8
‎ð,11
ٔي,2
n‏,1
d͡ʒ‏,1
d͡ʒ‎,10
‎dˤ,4
ى‏,1
ð‎,3
m‏,5
‎z,2
tˤو,1
t‏,1
dˤ‏,1
b‏,3
θ‎,1
‎θ,5
mً,1
ء‏,2
ٔ‎,2
ðى,2
h‏,3
tˤd,5
uː‏,1
hθ,1
ðˤ‎,1
‎*,1
x‎,1
sˤ‎,1
n-,1
-a,2
θا,4
ء-,2
--,4
-m,1
tˤء,1
fء,1
r-,1
-l,1
ðˤى,1
zx,1
ّðˤ,1
uːو,1
θf,1
ɣk,1
ħħ,1
hا,1
ٕθ,1
ّء,1
