alb,1568
lbd,14
bdء,7
xlq,31
all,1606
llh,1121
als,2060
lsm,410
smuː,196
muːaː,701
uːaːt,415
uːaːl,3859
aːlaː,706
laːr,1869
aːrdˤ,1540
uːkaː,980
kaːn,2516
aːnt,615
alaː,4550
xrb,146
rbة,206
uːxaː,41
xaːl,53
aːliː,518
liːة,62
uːʕl,398
ʕlى,3372
uːd͡ʒh,538
alɣ,524
lɣm,30
ɣmr,21
ðˤlm,158
lmة,192
uːruː,61
ruːħ,244
iːrf,71
alm,5166
lmiː,241
miːaː,409
iːaːh,506
uːqaː,1060
qaːl,2965
liːk,679
iːkn,247
nuːr,117
fkaː,232
uːraː,628
raːى,4
aln,979
lnuː,68
anh,535
ħsn,225
uːfsˤ,3
fsˤl,39
biːn,821
aːlðˤ,33
lðˤl,110
uːdʕ,137
dʕaː,206
nhaː,797
haːr,235
aːraː,423
ʕaːh,45
aːhaː,281
liːl,389
iːlaː,225
msaː,357
saːء,589
sˤbaː,191
baːħ,176
iːuːm,1211
uːmaː,344
uːaːħ,1089
aːħd,912
ħdaː,156
d͡ʒld,101
uːstˤ,391
uːliː,495
faːsˤ,54
aːsˤl,19
sˤlaː,97
uːmiː,101
fʕm,31
ʕml,1225
ald͡ʒ,1369
ld͡ʒl,130
alt,1828
ltiː,1430
tħt,320
aːlm,552
fuːq,184
kðl,107
ðlk,883
smaː,473
maːء,715
θaːn,398
aːniː,1090
niːaː,377
ltd͡ʒ,30
td͡ʒt,16
d͡ʒtm,281
tmʕ,150
alى,4664
mkaː,317
uːlt,59
ltðˤ,6
tðˤh,10
ðˤhr,88
aliː,2027
liːaː,297
iːaːb,285
aːbs,77
bsة,31
ardˤ,853
rdˤaː,62
uːmd͡ʒ,42
md͡ʒt,16
bħaː,69
ħaːr,277
uːrا,69
rأ,1072
أى,172
ltn,76
tnb,112
nbt,56
ʕʃb,48
ʃbaː,78
uːbq,124
bql,36
qlaː,80
iːbz,4
bzr,19
zraː,58
uːʃd͡ʒ,7
ʃd͡ʒr,92
d͡ʒraː,83
θmr,120
iːʕm,183
mraː,340
kd͡ʒn,11
d͡ʒns,9
nsh,12
zrh,2
fiːh,619
faːx,223
aːxr,132
xrd͡ʒ,825
rd͡ʒt,106
θaːl,164
aːlθ,183
lθaː,286
ltk,123
tkn,86
anuː,8
nuːaː,483
uːaːr,657
ltf,76
tfsˤ,4
lnh,173
aːll,159
lliː,155
uːtk,306
tkuː,416
kuːn,1436
lآ,826
آiː,55
ٓiːaː,38
iːaːt,283
uːaːuː,166
aːuːq,48
qaːt,185
uːaːiː,180
aːiːaː,653
iːaːm,982
uːsn,41
sniː,158
niːn,502
tniː,199
niːr,155
uːriː,260
riːn,353
alʕ,1169
lʕðˤ,148
ʕðˤiː,365
ðˤiːm,365
iːmiː,199
miːn,511
laːk,231
aːkb,46
kbr,116
lħk,158
ħkm,329
aːln,271
laːsˤ,199
aːsˤɣ,31
sˤɣr,25
lnd͡ʒ,54
nd͡ʒuː,100
d͡ʒuːm,24
uːd͡ʒʕ,181
d͡ʒʕl,775
ʕlh,204
lhaː,717
ltħ,37
tħk,11
raːb,320
aːbʕ,232
bʕaː,189
tfdˤ,7
zħaː,1
ħaːf,84
aːfaː,164
faːt,109
ðaːt,29
nfs,1001
ħiːة,57
liːtˤ,26
iːtˤr,53
tˤiːr,92
fxl,21
tnaː,217
naːn,291
ʕðˤaː,92
ðˤaːm,76
uːkl,987
ðuːaː,154
laːn,3108
aːnf,123
alħ,1145
lħiː,178
ald,428
ldb,16
dbّ,25
bّa,22
ّab,7
abة,4
