
be,13
ben̪,27
en̪a,8
n̪am,53
ami,227
d̪ba,141
bar,294
ara,360
b̤ɔɡ,25
ɔɡɔ,58
ɡɔb,28
ɔbɔ,260
bɔd̪,80
ɔd̪ɔ,74
d̪ɔɡ,26
ɔɡi,21
ɡit̪,25
it̪a,52
t̪ar,332
prɔ,529
rɔk,151
ɔkɔ,211
kɔl̪,76
ɔl̪p,44
l̪pɔ,28
ɡut,83
ute,87
ten̪,83
en̪b,83
n̪ba,83
arɡ,85
rɡɔ,96
ibu,18
buk,20
uk
,5
k

,1


e,9

ei,81
ukt,2
kti,128
d͡zek,20
ekে,10
kো,12
োn̪,156
াn̪o,5
d͡ʑae̯,19
ae̯ɡ,18
e̯ɡa,18
ɡae̯,17
bin̪,31
in̪a,18
kʰɔr,9
ɔrɔ,627
rɔt͡ɕ,29
ɔt͡ɕe,27
ebɔ,772
bɔŋ,775
s̪at̪ʰ,96
at̪ʰe,96
kar,181
arে,14
rো,41
bd͡zɔ,76
d͡zɔb,36
bɔh,50
ɔha,98
har,60
are,134
rer,87
d͡ʑɔn̪,357
ɔn̪d͡z,184
n̪d͡zɔ,223
d͡zɔ
,71
ɔ
p,31

pr,102
pra,80
rae̯,27
kɔে,146
ɔো,892
াn̪ɔ,117
bid̪̤,13
id̪̤i,5
d̪̤in̪,11
in̪i,145
n̪iʂ,9
iʂe,5
ʂed̪̤,3
n̪ei,48
ei।,7
apn̪,161
pn̪i,96
eti,70
on̪u,110
n̪ul̪,21
ul̪i,71
l̪ip,26
ipi,24
d̪ur,42
ure,27
d̪it̪,37
it̪e,88
par,99
ren̪,75
ba
,9
a
p,28
rɔে,84
োd͡ʑ,58
াd͡ʑe,25
d͡ʑek,78
ekt,182
ktɔ,47
l̪ai,31
ais̪,16
is̪e,37
s̪en̪,22
en̪s̪,20
n̪s̪e,7
s̪er,65
ɕɔr,38
ɔrt̪,76
rt̪a,37
t̪ab,22
abl̪,40
bl̪i,39
l̪ir,10
od̪̤i,27
in̪e,33
pun̪,16
un̪r,12
n̪ra,12
kɔr,1024
ɔru,90
run̪,71
on̪t̪,18
n̪t̪ɔ,117
t̪ɔr,89
ɔrb̤,15
rb̤u,6
b̤uk,7
ukt̪,97
kt̪ɔ,101
t̪ɔ
,35
ɔ
e,65
s̪ɔh,59
ɔhɔ,118
on̪l̪,4
n̪l̪a,4
ain̪,38
e

,10



,95


ɕ,1

ɕi,25
ɕir,35
irে,21
াn̪a,31
ɔd̪ɡ,3
d̪ɡi,3
t̪a
,46
a

,5


l̪,1

l̪e,1
l̪ekʰ,11
ekʰɔ,29
kʰɔk,2
mi
,14
i

,6


o,14

on̪,49
n̪ub,2
uba,2
bad̪,43
ad̪ɔ,24
d̪ɔk,7
s̪d͡za,16
d͡zar,154
edu,4
dui,4
uin̪,4
arn̪,6
rn̪ɔ,5
n̪ɔl̪,7
ɔl̪d,4
l̪dɔ,5
dɔ
,6
ɔ

,11


p,10

pɔ,35
pɔে,28
োs̪,17
াs̪t,12
s̪ti,7
tiŋ,2
ari,92
rikʰ,5
d͡ʑun̪,63
#
p,1
ɔka,72
kaɕ,25
aɕe,14
ɕer,13
n̪ɔb̤,4
ɔb̤e,1
b̤em,1
emb,2
mbɔ,8
bɔr,157
rɔt̪ʰ,21
ɔt̪ʰɔ,46
t̪ʰɔm,16
ɔmɔ,311
s̪tɔ,16
d͡ʑan̪,91
an̪u,72
n̪ue̯,1
ue̯a,1
e̯ar,24


b̤,2

b̤a,27
b̤aʂ,8
aʂa,6
iŋr,3
ŋre,3
red͡ʑ,5
ed͡ʑi,4
d͡ʑi
,1

ok,2
okʂ,8
kʂɔ,80
ʂɔr,6
s̪et,18
en̪ɔ,1
n̪ɔk,57
োd,10
াdi,1
diŋ,4
