
,3336
b,4497
e,9092
n̪,5389
a,11286
m,3331
i,7278
d̪,2135
r,8311
b̤,817
ɔ,15322
ɡ,1019
t̪,4451
p,2412
k,4694
l̪,1506
u,2824
t,1115
d͡z,2424
ে,1193
া,1149
o,1412
d͡ʑ,1651
e̯,1545
kʰ,793
t͡ɕ,751
ŋ,1067
s̪,2811
t̪ʰ,802
h,1264
d̪̤,845
ʂ,671
।,496
ɕ,1209
d,179
#,65
*,17
t͡ɕʰ,808
n,731
ɽ,712
tʰ,132
্,23
̤,54
ɡ̤,97
ɔ̃,126
ɸ,217
j,98
ৗ,44
ɦ,6
d͡ʑ̤,60
২,2
ã,17
ə,53
l,3
‍,1
ঃ,38
ɽ̤,18
d̤,18
ĩ,5
d͡ʒ,27
ũ,57
‘,2
r̤,13
t͡ʃʰ,21
​,16
a̤,10
i̤,2
ẽ,26
t͡ʃ,20
̃,29
ɔ̤,7
ŋ̤,6
৷,9
e̤,3
o̤,1
১,1
৪,1
w,2
৮,1
&,1
/,10
@,1
$,1
