na,21821
po,22575
oc,3829
č,11813
̌a,3753
á,38297
́t,4325
tk,1444
ku,4088
st,22058
tv,932
vo,7049
or,4366
ř,25726
̌ɪ,15320
ɪl,16614
pu,3119
ů,11638
̊x,1116
ne,29307
eb,7624
be,3335
ze,6356
em,12120
mɪ,7439
me,12347
ě,30399
pa,8026
ak,10706
bɪ,13485
la,11181
ez,5485
zl,7595
lɪ,21172
ɪc,2319
̌n,3134
us,3393
ta,16224
dm,1252
ma,6163
at,8008
br,13543
ro,14930
op,5744
as,4752
ti,6348
í,48428
du,3359
ux,1674
bo,7768
oz,11249
ž,35404
̌i,10860
vz,774
zn,2447
́s,8367
š,22938
̌e,28944
el,11195
se,14882
od,4560
da,5332
am,4063
eɡ,3512
ɡl,4084
bu,6262
ud,6821
ď,846
sf,7515
fe,13926
̌d,779
dl,5061
lo,11124
vɪ,13359
ɪt,6263
te,28775
̌l,5966
do,11284
ob,4824
re,3253
é,27545
dt,85
ot,11470
az,4483
zv,441
va,9287
al,14658
dn,4998
mu,7915
no,10868
ot͡s,1067
t͡si,2021
ve,5996
ec,2665
er,9659
jɪ,6397
ɪd,3083
dr,4867
de,9132
en,11554
rv,635
vn,1351
ni,11840
Ř,226
ke,5964
bl,2874
oɦ,5068
ɦa,2402
os,14826
tr,3641
et,6736
dɪ,4855
uc,1908
ɪɲ,1459
ɲɪ,8636
tu,3879
ɦu,1047
kt,6549
́z,9801
js,6920
so,4023
ou,14019
ɦo,23569
ru,4265
xy,340
ý,15998
zɦ,849
ɦr,1535
om,5474
̌t,8538
mi,1707
to,13766
je,20527
ed,8429
uk,1660
ka,7685
su,1725
xe,1287
mo,5360
zb,1952
ra,18982
́v,2302
vu,1252
ɪn,15507
nu,5177
aj,3308
ji,4328
́t͡s,3628
si,2806
́m,14781
zd,3488
ny,2676
es,11129
ut͡s,1024
ov,9892
t͡se,7326
le,13603
ok,2891
ko,9620
ol,5657
́ɦ,8199
̌m,1594
mz,560
eɦ,5998
pr,10077
ej,7120
pe,5808
sk,7416
ab,5287
t͡sɪ,2880
zm,2454
̌r,441
fi,5024
́c,2473
cɪ,13266
̌t͡s,1135
t͡so,1738
df,377
ɪk,2414
ts,2344
rz,1011
ad,2974
ns,1233
xf,292
̌z,856
av,4855
vr,2252
rt,1486
ty,1589
jt,849
ɦm,37
ɪs,7105
ɪf,1692
oj,3335
jn,489
sc,2994
lr,7
rɪ,1893
ɪb,935
fs,7243
ɪj,962
ja,5256
ɪv,2277
́b,1447
ba,1633
uz,5100
ɪx,4605
pt,1064
at͡s,464
t͡st,804
kr,313
́d,2580
ɦn,1861
ɪm,2839
̌k,2970
mn,3517
ln,1944
ň,978
̌s,3234
ť,3391
̌u,1104
uj,2373
̌b,182
zɪ,1660
ms,572
ky,3069
of,6822
zu,857
tf,5066
an,6774
fa,5806
́r,3325
za,8325
oɡ,664
ɡr,5704
rm,394
xu,978
̊m,1652
lm,574
on,4565
́n,5428
sa,5081
et͡s,2773
t͡sk,2069
́l,5859
tp,969
ul,1198
my,590
dɲ,253
̌c,1249
ɡd,3551
ɪz,8297
sp,8648
oɟ,7301
ɟɪ,9504
nɪ,2398
rf,382
vs,477
sx,146
xa,2836
aɲ,1606
ry,2214
up,2275
sv,2255
vl,551
̌o,1089
rx,301
ek,1399
ax,1528
vd,200
ɦl,4609
xr,751
́p,1188
tɦ,10
ut,3218
Š,355
pɪ,1091
́j,229
fy,4166
́x,7305
xo,2067
ɪp,1225
py,784
lu,4459
tt,308
tɪ,2427
ɪr,1142
kɪ,2975
jm,1070
pi,1477
px,37
ɦe,1036
ev,1237
rn,1082
bd,106
ɪu,125
um,1193
xɪ,779
ɡɪ,757
ɪɦ,950
ɦɪ,618
dd,94
ss,1002
sɪ,7815
rs,931
eu,474
uv,1846
af,2883
ap,1005
̌ɦ,618
mr,1100
lɲ,267
tt͡s,3024
nz,446
lk,573
dv,1506
jx,4
ex,3126
aɡ,495
tɡ,165
ɡn,1608
́k,3074
ef,1648
fr,230
li,1965
nn,399
zɡ,1242
fu,1526
̊j,1837
ll,291
Ž,390
ep,2322
ls,2026
ɪt͡s,1763
ac,2422
tz,440
̌v,592
̌f,378
ɪo,242
aɦ,1210
aɟ,520
ly,453
aɪ,937
ft͡s,250
ox,1100
ú,1074
ml,2217
un,703
jd,1175
bn,1401
ó,369
ar,3444
ɪa,2054
ae,2591
ju,926
ub,656
̌ɟ,601
oe,151
nt͡s,415
md,193
mɡ,36
xt,659
sy,94
́f,1367
ɡɲ,732
eɲ,808
xz,371
ee,116
nt,579
̊s,716
oo,10
zr,3894
̌x,629
fx,130
t͡,863
͡z,863
ɡo,178
vɲ,193
uɦ,559
xk,55
̊z,296
kz,567
jɟ,212
mt,221
mt͡s,69
̊d,13
́ɲ,349
oɲ,605
ɪɡ,374
jv,96
tx,108
rk,137
sɦ,31
dj,108
sr,261
t͡sa,59
lt,599
̊ɲ,34
rɟ,71
̊f,790
nb,161
st͡s,64
eɟ,184
ɡm,71
ea,225
ur,413
uɟ,272
aa,198
ft,266
uɪ,16
fɪ,438
ɡe,230
rɡ,25
oɪ,85
ks,62
jo,1669
pk,87
̌j,967
bm,55
ɡa,495
uɡ,179
ld,147
lx,48
dɦ,91
lt͡s,95
ao,351
fk,181
lb,74
eo,642
zɲ,209
jz,1309
̊k,298
́ɡ,185
ɦɲ,240
̊l,332
uf,668
rl,152
zj,97
dɟ,7
eɪ,139
nk,398
db,182
ɪe,346
pt͡s,243
rd,613
pɡ,37
t͡su,711
xc,43
̊n,92
̊v,20
zo,654
Ó,119
t͡sc,100
rc,174
xt͡s,83
̊r,138
jf,33
rɦ,686
fc,49
oa,684
ps,741
mm,232
zx,174
ɦv,17
xs,48
bz,15
tc,110
ue,433
rb,40
kf,132
jp,22
xp,17
rt͡s,313
lc,99
́u,22
̌ɲ,163
mɲ,8
Č,142
au,553
̌ɡ,156
fz,93
nɲ,24
jl,43
bv,45
jɦ,58
jt͡s,10
bj,15
́a,17
lf,58
́e,14
bɲ,56
vɡ,8
xn,5
fo,242
lɦ,23
kv,318
rɲ,81
fp,31
ɦd,65
rp,126
lv,59
ɡɟ,2
xi,43
rr,14
ua,81
uo,8
lz,114
sn,21
̌p,124
tn,9
nd,66
ɪɟ,77
jb,31
ɡɡ,12
uɲ,11
pp,15
ɡu,23
lj,3
lp,9
nc,131
zz,16
rY,1
Ý,1
́Z,1
jc,47
zɟ,88
ɦb,12
sz,117
td,36
nm,9
vj,21
jr,2
bt,14
xv,84
mk,58
jɲ,5
mp,55
́ɟ,27
vb,4
nv,11
pz,31
̊t,57
bb,39
ɪɪ,20
Ú,25
mb,2
vm,29
nl,13
ɡb,13
dɡ,6
nɡ,19
kt͡s,1
t͡sv,22
lɡ,54
bɦ,7
pc,14
jj,3
bɟ,30
ɦz,9
nɦ,7
mc,3
nf,2
́ɪ,6
np,25
t͡sn,6
mɦ,10
fn,13
mx,1
kk,33
pn,32
́R,1
ɪi,3
kc,13
nx,10
ɦɟ,1
ki,2
kx,1
uu,1
bp,4
ɡz,5
t͡sy,23
ɡv,6
kp,1
nr,1
nɟ,2
t͡sp,12
̊b,3
̊c,6
̊p,4
bx,1
pv,1
pd,1
jɡ,6
ai,1
dz,3
vɦ,1
bf,1
