t͡ʃi,10054
ik,8274
ki,14830
in,32589
ɸa,7397
aɽ,42224
ɽk,5545
ko,5744
al,12085
ll,4525
la,11956
ah,5956
ja,49976
ha,13252
li,3757
it͡ʃ,307
t͡ʃt͡ʃ,183
sa,33352
am,16735
ma,38954
da,53482
kʼa,6937
as,9076
du,8093
un,15418
ni,9206
ij,11367
ku,22064
uw,8625
wa,35107
ba,29871
ta,26930
si,1106
iɸ,1733
ɸɸ,181
ow,1965
uh,438
hu,2524
an,65820
na,30756
bi,9101
is,5407
ɸu,1262
us,3385
sk,901
ka,47374
zu,3906
uɽ,7656
ɽɸ,1186
ɸi,7567
ɽu,5223
mo,1326
ot͡s,61
t͡s',5871
'a,2962
aw,8928
aj,10427
je,4232
en,4811
t͡ʃe,8460
ɽi,9793
ke,6508
nt͡ʃ,1695
ɡa,21208
kj,634
au,7852
ɽa,16851
ab,11731
ji,9012
um,8701
ʃi,8600
ɽe,4615
ai,22892
aɸ,4521
su,23843
ne,8059
ak,15125
ɽkʼ,403
aʃ,3559
iɽ,5263
ju,2231
uk,15630
at,7081
tt,891
wu,3419
ɗa,9491
nd,5286
ɽɽ,196
jj,915
ɽo,2475
on,6876
te,701
ek,1607
it,3055
at͡ʃ,1996
aɗ,4712
ns,8739
nj,1486
kw,2657
ok,1529
za,13951
mu,10472
ʃe,3597
ti,1452
il,4785
lu,1421
bb,892
mi,5977
ul,2139
lk,1111
uɗ,732
ɗu,337
to,1865
lw,48
'u,591
nt͡s,405
ʃa,3296
aɡ,7333
ɡi,10042
'i,333
lb,377
iɓ,50
ɓa,716
aɓ,618
ɓɓ,182
bõ,21
õb,11
ɸe,1045
om,3721
bo,1874
ob,845
bu,3868
ut,5227
tu,4483
ɽm,874
nn,5535
nm,807
id͡ʒ,6753
d͡ʒi,10250
Za,2082
oɽ,2123
do,5180
kʼw,561
id,3715
kʼã,4
ãɽ,6
mm,3079
ɽs,2144
nt,3029
aa,4236
ad,8730
ub,9176
nɡ,7077
d͡ʒe,1282
ed͡ʒ,342
ā,1405
no,619
az,2166
zo,1142
ɽɓ,146
nu,4110
mɸ,238
ɡo,1530
ad͡ʒ,1227
dn,85
ɗi,1060
ɽt,711
uɡ,2203
ɡu,2373
oɡ,500
so,686
ew,1315
wi,576
zi,714
Zi,143
be,1158
ed,712
de,748
el,1752
iu,43
ut͡s,522
'e,950
ks,12
ih,404
ho,1072
hi,1733
dd,1492
ss,746
mb,295
ɡj,168
ɽt͡ʃ,586
ɽd,624
im,3138
wo,1141
uj,681
uɸ,1035
nz,746
jo,1099
le,1504
nk,5674
ɗe,397
lo,973
ol,282
di,1276
iɡ,974
ɽj,986
​​,79
​s,11
ɓu,318
'o,944
oj,864
me,1675
ud,2160
od,1038
kʼi,1970
ɽd͡ʒ,67
kʼu,610
uʃ,1391
ɡe,904
akʼ,2274
kʼkʼ,61
​k,8
ikʼ,699
ib,880
sʃ,115
eɽ,1950
ɽʃ,385
d͡ʒu,328
ud͡ʒ,376
d͡ʒd͡ʒ,56
​h,3
it͡s,107
ɓe,389
kʼo,1847
oɸ,1271
ɓi,166
ɓo,178
ɽn,1427
eh,659
ae,48
et,799
lɸ,477
ɽw,792
kʼe,295
jn,4
t͡ʃu,118
ut͡ʃ,986
os,155
ɽb,304
d͡ʒa,2588
ee,160
se,476
em,1150
kk,348
ɽɡ,422
op,42
ph,26
he,1914
ms,536
eɸ,601
ui,59
Zo,72
lt͡ʃ,319
bt,77
uɓ,208
nd͡ʒ,63
at͡s,917
oʃ,510
eb,744
tt͡s,104
nʃ,252
ʃu,1220
'ĩ,2
