
b,71
be,43
en,1054
naː,643
aːm,231
miː,92
dv,106
vaː,558
aːr,990
raː,672
b̤ə,199
əɡ,184
ɡv,75
və,698
əd,225
dɡ,23
ɡiː,77
iːt,82
taː,1034
kaː,944
pr,654
ro,230
od͡ʒ,112
d͡ʒe,96
ek,447
kʈ,114
ʈə,178
ɡu,180
uʈ,93
ʈe,116
nb,88
bə,401
ər,1959
rɡ,152
ɡə,443
iːb,19
bu,107
uk,101
k
,34


,224

j,140
jə,808
əɦ,1422
iːp,14
pu,129
us,249
st,116
tə,643
ək,536
ki,429
is,505
siː,164
ke,1189
b̤iː,373
up,107
pj,66
jo,294
oɡ,143
li,470
ie,429
kə,1213
ɦiː,436
iːn,397
bi,51
in,364
kiː,541
iːm,49
mə,537
ət,563
ɦæː,1531
æː
,548

l,56
lə,207
ɡb̤,5
ko,502
oiː,91
rə,1195
ti,296
ib,6
ən,937
nd̤,86
d̤ə,205
nə,630
n।,129
aːp,356
se,957
kɔ,22
ɔp,20
piː,54
sə,1050
kt,234
te,518
æːn,642
de,286
jaː,883
aː
,454

p,171
laː,246
aːi,78
ns,145
ʃə,214
rt,391
to,126
on,798
ɦə,218
sk,240
un,399
rn,252
ʃaː,176
mi,106
il,179

i,120
saː,407
aːtʰ,155
pə,630
ऑn,4
əl,295
n
,535

ʃ,53
ʃiː,67
iːr,90
rʂ,39
ʂə,100
le,293
ekʰ,118
kʰə,71
iː
,116

a,228
an,139
nu,98
uv,6
aːd,151
də,202
eɖ,23
ɖv,8
vi,419
ar,72
no,105
ol,47
lɖ,7
ɖə,59
ə
,168
po,32
os,26
sʈ,29
ʈi,29
iŋ,23
ŋɡ,114
itʰ,8
tʰi,52
d͡ʒuː,7
uːn,137
#
,12

r,25
ri,268
liː,55
iːd͡ʒ,40
riː,226
iːkʰ,17
əv,192
əm,541
mb,22
ɦl,20
d͡ʒə,296
nv,21

ŋ,1
ɡr,49
re,415
ed͡ʒ,42
d͡ʒiː,164
b̤aː,115
aːʂ,18
ʂaː,23

k,245
kæː,34
æːr,33
eʈ,32
nk,116
oɖ,11
ɖi,18
ij,402
d͡ʒn,47
ʃu,52
ur,147
ru,104
uaː,54
aːt,537
**,12
*
,3

d͡ʒ,223
es,24
baː,139
aːj,170
jr,8
rs,25
ni,328
ir,250
rm,148
it,481
t।,11
al,37
əɳ,140
ɳ।,5
।
,331

ɡ,44
sv,161
iːj,61
j।,8

b̤,32

m,217
ɦaː,250
aːb̤,31
e
,268
rd͡ʒ,70
d͡ʒu,101
biː,52
iːt͡ʃ,45
vt͡ʃ,2
t͡ʃə,167
ɦo,299
ne,559
aːd͡ʒ,164
d͡ʒk,64
ku,170
um,144
maː,663
ɔːr,925
rv,94
vo,50
ot͡ʃ,37
t͡ʃt͡ʃ,79
kr̩,111
r̩ʂ,81
ʂɳ,62
ɳə,91
ruː,150
uːp,139
t
,53

s,210
r̩t,85
paː,194
aːʈʰ,8
di,196

d,73

e,77
em,90
əe,89
iːaː,3
aːiː,67
iːiː,1
iːe,58
əa,10
aiː,2

n,98
nj,83
juː,15
uːj,1
jɔ,1
ɔr,4
rk,64

ʈ,6
ʈr,69
sl,25
lo,66
ov,10
nɖ,72
ɔm,2
im,116
iʈ,56
ɖ
,3
pʰi,90
ipʰ,7
pʰtʰ,1
tʰə,69
ev,98
ve,171
uː
,3
iʂ,36
ʂʈʰ,18
ʈʰaː,20
o
,99

t,123
kj,135
mæː,215
nn,102
ad,15
db̤,10
b̤u,45
ut,120
tm,184
om,30
aːɲ,19
ɲt͡ʃ,49
əɽ̥,56
ɽ̥aː,23
d͡ʒi,153
tj,138
je,69
d͡ʒɲ,97
ɲaː,86
aːn,1026
ɦãː,110
ikʰ,55
kʰaː,88
æːi,1
pt,106
ɦs,26
sj,39
ɡl,9
læː,7
ɦe,157
me,841
er,326
j
,23
əs,156
aːv,105
vn,14
si,82
id,78
dd̤,148
ep,11
pi,39
so,35
t͡ʃʰə,7
əʈʰ,14
ʈʰe,6
iːʂ,10
ʂm,18
ɦi,131
nd,152
duː,53
aːk,78
vj,89
ot,67
tiː,216
æː।,112
ap,177
ok,31
kp,2
jt,19
ad̤,101
d̤i,132
ik,204
aːɡ,129
aːɦ,142
tn,34
d͡ʒaː,392
iʃ,157
ʃv,95
aːs,268
mm,16
ʃr,62
d͡ʒæː,51
æːs,155
əp,51
əɲ,15
ɲd͡ʒ,19
d͡ʒl,4
ed,46
do,95
d̤aː,90
nt,314
əi,35
ɡ̤o,16
oʂ,36
ɳaː,53
aːe,70
niː,151
ud,144
daː,221
tt,39
aːŋ,42
ŋk,106
kʂ,128
aːo,118
uːɲ,12
t͡ʃaː,165
pn,161
tr,228
ʃl,6
eɡ,67
d̤j,96
əj,309
ɡe,59
ʈuː,13
uːʈ,25
ad͡ʒ,38
sn,49
əʃ,54
spʰ,8
pʰo,2
oʈ,16
æːd͡ʒ,1
or,59
nʈ,25
br,73
aːt͡ʃ,20
t͡ʃm,2
sæː,6
æːŋ,7
ऑpʰ,7
epʰ,51
pʰr,12
əʈ,122
r।,18
ɡo,14
ʈs,3
uːm,5
ip,54
opʰ,1
pʰe,18
ʈaː,24
kv,4
ɖe,34
mɔ,1
rʈ,5
el,32
ls,15
pʰj,1
uːr,154
iːs,18
ud͡ʒ,17
ऑk,1
uːd͡ʒ,35
ऑr,1
ul,61
ks,22
væː,21
æːk,6
iv,82
oi,1
iɦ,24
dd,15
eʃ,92
ræː,5
æːp,1
ʈu,3
m।,11
id̤,10
d̤v,4
ut͡ʃʰ,69
næː,1
æːt,6
əɽ,78
ɽt,12
aːl,230
mɔː,26
ɔːkʰ,1
kʰi,25
ʃi,37
ʃn,7
pæː,41
æːd,29
du,91
sr,27
ud̤,8
iɲ,2
iːl,21
lv,6
e।,37
ss,22
ɽaː,42
t͡ʃiː,52
muː,24
uːl,16
av,52
vd̤,8
ɡaː,169
aːʃ,112
əŋ,89
ju,74
uɡ,36
aːb,16
ut͡ʃ,30
t͡ʃi,60
lãː,3
ãːk,3
aːɳ,35
ɳo,30
ɦt,104
tv,36
ət͡ʃ,70
t͡ʃn,12
bd,24
diː,45
əkʰ,51
kʰt,66
ʈʰo,19
vt,38
ɦm,74
ɳv,1
ɡũː,1
ũːd͡ʒ,1
dr̩,45
r̩ʃ,17
ʃj,40
mn,27
suː,40
uːt,29
mt,16
æːa,1
ab,35
nuː,43
d͡ʒ̤iː,1
ə।,40
ətʰ,36
tʰaː,86
ʈʰi,10
rtʰ,53
tʰiː,11
b̤e,17
eʂ,20
kɔː,44
tt͡ʃ,4
od̤,30
d̤iː,18
əd͡ʒ,87
d͡ʒm,5
kʰiː,12
iːɲ,8
t͡ʃe,47
ɦu,179
uiː,21
nɔː,5
ɔːpʰ,2
eɲ,1
æːʈ,2
ʈæː,3
ʈʈ,7
ʈiː,84
viː,57
ɡæː,3
æːl,11
iːk,52
tʰɔ,1
ms,14
dj,25
sp,20
əʂ,18
ʂʈ,62
aː।,113
bo,34
lt͡ʃ,3
d͡ʒo,355
mu,233
ukʰ,73
ɽe,23
tu,132
ɦũː,71
oŋ,34
ʃt͡ʃ,28
rʃ,34
rj,127
kʰe,33
d̤uː,7
o।,21
ɦn,34
md͡ʒ̤,42
d͡ʒ̤aː,17
uʂ,94
ʈʰu,1
ub̤,12
iːʈ,5
əpʰ,22
pʰl,3
puː,119
ɖaː,18
nʃ,29
​​,10
​ɦ,2
pr̩,35
nr,8
ʂi,48
kʰu,45
ɔn,31
io,1
mp,36
oe,3
ef,2
fo,1
faː,6
ej,7
nɔ,2
ऑs,1
ɽ̥e,5
eŋ,32
nɦ,60
uːb,10
bn,2
dr,113
it͡ʃ,71
u
,6
ʈ
,10
b
,7
r
,107

t͡ʃ,20

v,180
mo,55

aː,101
ʈʰv,1
d͡ʒs,7
ɡj,23
rɦ,16
kr,67
ɳ
,20
stʰ,78
r̩tʰ,32
tʰk,5
kk,8
uɳ,46
lɡ,7
ib̤,34
d͡ʒj,40

।,3

d̤,29
d̤r̩,7
ʂe,23
et,104
əb,253
oɳ,5

ɔː,162
ɳɖ,3
ɖu,4
od,5
sm,37
kʰo,61
ɖr,4
aːʈ,9
uj,1
kʰj,17
b̤o,15
æːv,12
d̤m,1
ɔːd͡ʒ,5
tʰ
,33
su,99
b̤d,3
rɔː,4
ɔːp,3
pd,4
mk,19
tʰo,6

ɦ,93
iːɦ,2
ʈʰə,17
kʰn,41

u,137
tk,15
i
,24
ɡi,39
ud͡ʒ̤,159
d͡ʒ̤e,104
uʃ,47
bs,28
rɳ,73
r̩p,14
aʃ,19
ttʰ,7
ʃk,9
sɔː,9
ɔːm,4
md,3
oʃ,15
tæː,12
æːj,9
l।,3
md͡ʒ,9
lt,46
d͡ʒb,12
buː,16
uɽ,27

pʰ,38
vr̩,10
r̩d,36

kʰ,19
kʰuː,11
lu,9
uɽ̥,4
ɽ̥ə,57
ue,76
ʃe,15
aːɽ,9
ŋkʰ,30
pʰuː,7
uːŋ,27
ʃo,25
ɖ̤o,1
ɲd͡ʒ̤,1
d͡ʒ̤ə,29
ɡ̤ə,24
əɖ,2
i़,1
़j,1
iːŋ,1
at͡ʃ,70
pʰə,99

ɖ̤,4
ɖ̤iː,4
oɽ,36
ɽo,21
ɡ̤u,7
uŋ,1
ŋɡ̤,12
ɡ̤r,5
lk,31
ɖɖ,1
ɖiː,7
rd,33
pɦ,22
eɽ,3
ɽi,7
kʰʃ,1
id͡ʒ,27
d͡ʒ
,6
aːu,31
ɦd,1
sɖ,1
tʰv,18
əb̤,202
uo,24
ɦr̩,32

tʰ,3
tʰ।,9
ln,26
ɽn,8
la,1
ll,7
tʰe,14

ɖ,9
ʈl,1
əd̤,23
d͡ʒ̤u,8
