aːdi,53
men,2997
pər,3011
ərm,851
rme,689
meʃ,691
eʃv,689
ʃvə,729
vər,1160
aːkaː,95
kaːʃ,84
pr̩tʰ,151
r̩tʰv,151
tʰviː,151
sr̩ʂ,9
r̩ʂʈ,98
ʂʈi,96
kiː।,27
beɖ,1
eɖɔː,1
ɖɔːl,10
sun,332
uns,5
nsaː,20
saːn,20
pəɽ,236
əɽiː,94
tʰiː;,14
ɡəɦ,34
əɦr,469
ɦre,249
d͡ʒəl,332
uːpə,149
and̤,41
nd̤i,23
d̤ij,47
ijaː,1554
jaːr,73
aːraː,418
tʰaː:,3
tətʰ,15
ətʰaː,16
aːtm,23
tmaː,25
məɳ,154
əɳɖ,260
ɳɖə,229
ɖəl,131
əlaː,291
laːt,35
aːtaː,218
tʰaː।,135
təb,1260
kəɦ,1405
əɦaː,1469
ɦaː,,768
ud͡ʒi,18
d͡ʒij,23
jaːl,30
aːlaː,326
ɦo:,2
ɡəj,400
əjaː,440
jaː।,540
aːle,575
dekʰ,436
ekʰaː,135
at͡ʃt͡ʃʰ,75
t͡ʃt͡ʃʰaː,59
ɦæː;,192
aːre,716
alə,139
ləɡ,531
kij,569
din,567
raːt,114
ɦaː।,39
saːɲ,57
aːɲd͡ʒ̤,61
ɲd͡ʒ̤ə,61
ɦuiː,294
pʰir,960
b̤or,47
ɦuaː,339
uaː।,57
prə,685
rək,212
əkaː,230
kaːr,663
pəɦ,466
əɦi,375
ɦil,222
ilaː,426
aː।।,247
biːt͡ʃ,229
æːsaː,366
ant,36
ntə,152
tər,258
b̤aːɡ,222
d͡ʒaːe,782
aːe।,286
kər,3996
ərk,354
rke,371
usk,1977
ske,1009
niːt͡ʃ,58
iːt͡ʃe,59
jaː;,183
væːs,87
duːs,184
uːsr,184
sraː,231
stʰaː,411
tʰaːn,290
ikʈ,66
kʈʈʰ,65
ʈʈʰaː,37
suːkʰ,13
uːkʰiː,6
b̤uːm,183
uːmi,182
dikʰ,77
ikʰaː,84
kʰaːiː,72
de;,31
ɦaː;,14
sko,448
səm,723
əmu,61
mud,61
udr,59
drə,107
ɦaː:,1
ɦæː।,429
ɦər,196
əriː,99
ɡ̤aːs,8
aːs,,23
biːd͡ʒ,20
iːd͡ʒv,3
d͡ʒvaː,8
vaːl,603
t͡ʃʰoʈ,46
oʈe,22
peɽ,7
eɽ,,2
pʰəl,96
əld,5
ldaː,9
daːiː,2
vr̩k,54
r̩kʂ,54
kʂə,96
d͡ʒin,170
ink,125
nke,447
unɦ,466
nɦiː,37
d͡ʒaːt,219
aːti,153
anu,329
nus,293
usaː,293
saːr,684
ɦot,102
ote,57
ɦæːn,515
uɡe,3
ɡen,10
en;,107
apn,2155
pniː,398
otaː,88
ɦæː,,537
ɡe;,76
tiːs,92
iːsr,26
ərn,989
rne,374
lij,1917
ije,1329
d͡ʒjo,17
jot,15
oti,10
tij,134
jaːn,346
ɦon,527
on;,28
t͡ʃin,46
inɦ,122
nɦo,203
on,,260
nij,212
ijə,58
jət,36
əmj,5
mjo,5
jon,1599
ino,46
non,444
ərʂ,325
rʂo,20
ʂon,73
aːrə,289
rəɳ,320
on।,33
den,285
ene,125
nev,268
evaː,355
aːliː,139
ʈʰəɦ,465
ren,192
bəɽ,125
bən,645
ənaː,503
naːiː,109
aːiːn,40
iːn;,23
rəb̤,66
əb̤u,66
b̤ut,10
utaː,50
je,,23
oʈiː,115
naːj,57
aːjaː,601
jaː:,7
taːr,44
raːɡ,9
aːɡə,8
ɡəɳ,8
unk,956
nko,258
isl,232
sli,232
rəkʰ,383
əkʰaː,103
en,,359
əre,644
en:,2
t͡ʃɔːtʰ,17
ɔːtʰaː,10
d͡ʒiːv,139
iːvi,93
vit,434
praː,311
raːɳ,138
aːɳi,27
ɳij,27
ijo,1397
bəɦ,243
əɦu,269
ɦut,134
b̤ər,201
aːe,,328
pək,146
əkʂ,92
kʂiː,88
ken,21
uɽe,7
ɽen,8
en।,227
ʈʰəs,1
əsl,12
əɽe,270
əl-,2
d͡ʒən,240
ənt,180
ntu,333
tuo,55
uon,207
kiː,,55
səb,700
t͡ʃəl,362
əlt,52
lte,31
irt,8
rte,106
uɽn,6
ɽne,41
kʂi,23
ʂij,21
jəɦ,2549
əɦk,81
ɦke,8
aːʃiː,129
ʃiːʂ,76
diː,,57
pʰuːl,38
uːlo,9
lo-,4
əlo,41
lo,,17
d͡ʒaːo,81
aːo,,59
bəɽ̥,121
əɽ̥e,13
ɽ̥en,4
paːɲ,103
aːɲt͡ʃ,103
ɲt͡ʃv,16
t͡ʃvaː,33
vaːn,220
aːɳiː,62
ɳiː,,3
artʰ,362
rtʰaː,360
tʰaːt,360
ɡ̤ər,320
rel,16
eluː,13
pəʃ,271
əʃu,193
ʃu,,23
reŋ,90
eŋɡ,333
ŋɡn,31
ɡne,36
tu,,6
vən,273
ənp,2
npə,2
utp,150
tpə,163
pən,196
ənn,205
nnə,344
ʃuo,78
ko,,122
ɦəm,575
mən,454
ənu,235
nuʂ,230
uʂj,224
ʂjə,191
pne,1555
svə,102
əruː,143
ruːp,87
əmaː,336
maːn,531
aːnt,209
ntaː,94
naːe,64
aːen,264
mət͡ʃʰ,8
ət͡ʃʰl,8
t͡ʃʰli,7
aːriː,454
ər,,204
ŋɡt,5
ɡte,7
æːn,,151
ad̤i,248
d̤ik,207
ikaː,314
əkʰe,79
kʰen,28
jaː,,472
nər,38
naːr,39
ʂjo,39
vəʃ,41
lo;,7
əkʰo,11
kʰo।,4
uno,26
no,,18
d͡ʒit,217
itn,260
tne,194
kʂo,13
mæːn,894
tum,1368
die,46
æːn;,81
umɦ,625
mɦaː,549
ɦaːr,946
b̤od͡ʒ,81
od͡ʒə,69
ʂiː,,9
iːvə,63
kʰaːn,136
aːne,611
kut͡ʃʰ,311
tʰaː,,192
kʰaː,,103
kjaː,324
vəɦ,1958
t͡ʃʰəʈʰ,8
əʈʰv,8
ʈʰvaː,9
nkiː,160
sen,71
enaː,266
naːn,187
aːnaː,531
maːp,6
aːpt,31
ptə,17
pnaː,212
kaːm,267
d͡ʒis,683
ise,73
ərt,233
rtaː,115
saːt,250
aːtv,59
tve,51
ven,116
kie,64
ɦue,403
viʃ,91
iʃr,96
ʃraː,71
raːm,183
pəv,299
əvi,314
itr,432
traː,1478
ɦraː,171
raːj,149
kjo,464
joŋ,395
oŋk,396
ŋki,387
rət͡ʃ,22
ət͡ʃn,14
t͡ʃnaː,4
pət,280
ətt,80
tti,53
vr̩t,6
r̩tt,6
ttaː,23
taːn,79
d͡ʒəb,534
əɦo,1799
ɦov,1719
ovaː,1718
mæːd,96
æːdaː,63
daːn,191
koiː,424
pɔːd̤,2
ɔːd̤aː,2
oʈaː,15
uɡaː,4
nəɦ,336
əɦiː,681
ɦiːn,558
bər,81
ərs,24
rsaː,15
saːj,8
kʰet,64
etiː,15
tʰaː;,50
tɔːb̤,47
ɔːb̤iː,47
