kɛ,14327
ɛz,8549
zd,469
dɛ,9220
ɛt,17379
tb,323
bɛ,9834
ɛn,24203
tɛ,23226
ɛr,13531
rɛ,8542
ɛm,16791
mt,230
te,4357
é,75271
iʃ,6736
ʃt,6196
ɒz,27939
ɛɡ,14358
ɡɛ,7267
́ʃ,35311
fö,1262
öl,3157
ld,3548
pɛ,5435
ɛd,12624
di,5813
iɡ,6068
ki,7087
iɛ,557
tl,600
lɛ,16196
pu,987
us,824
st,4287
tɒ,9286
vɒ,11045
ɒl,14632
lɒ,9049
ʃɛ,5059
́t,15397
tʃ,2660
ʃe,4543
́ɡ,11166
me,2783
́j,5540
jʃ,161
si,2086
í,7531
́n,13159
ne,4769
ɛl,30758
lk,2258
ɛb,847
vi,4311
iz,3973
zɛ,6986
ɛk,22613
fɛ,6981
ɛtː,4443
É,6545
mo,6570
on,9750
nd,9494
dɒ,5605
ɛɟ,6209
ɟɛ,3264
il,1382
la,5725
á,67914
ɡo,3577
oʃː,379
ʃːa,814
ho,8803
oɟ,5174
lv,1595
va,3406
́l,15786
ɒs,1084
ta,5892
ot,2274
ɡt,1087
tõ,1419
õl,3606
nɛ,20241
ɛv,2507
vɛ,9600
ze,3312
nɒ,16984
ɒpː,103
pːɒ,97
ln,1803
ɒk,20459
js,110
sɒ,1872
ka,1554
ɛʃ,5528
ɛɡː,238
ɡːɛ,392
lʃ,541
ʃõ,656
ɒp,3608
mɛ,24192
ɛɲː,219
ɲːɛ,74
kö,3340
öz,1422
zö,838
ötː,1662
ɛj,6117
ss,195
kt,678
ɛh,784
ha,3607
ɒtː,1375
lo,4276
ó,13585
ú,4176
́ɟ,2780
ɡn,567
ma,2193
ʃo,3000
od,3101
ik,5535
ɟu,610
û,2063
̂l,497
lj,2824
jɛ,7259
ɟb,228
hɛ,3645
jr,238
ɛʃː,1309
ʃːe,1096
́k,10686
sa,2461
́r,14681
rɒ,8818
zɒ,2617
ɒt,12298
dn,1905
lt,5751
nɡ,2135
rn,1983
zu,706
ut,1467
hɒ,9503
ɒj,2278
jt,1728
fu,400
̂v,59
mɒ,6065
ɒɡ,3020
ɡh,1068
oz,3669
zo,3373
ɟü,944
üm,131
mö,218
lt͡ʃ,555
t͡ʃf,4
fa,602
t͡ʃö,65
öt,768
ozː,1220
zːo,33
sɛ,5871
ri,2894
in,9399
nt,5055
jb,136
ɡv,961
t͡ʃt,23
rm,1329
mõ,29
jn,459
t͡ʃe,459
́b,6326
ɒn,9459
ɒr,6802
ɒd,6367
ɡi,1102
to,9033
ro,4360
́i,1673
ünː,108
nːɛ,1084
ɛp,452
kn,2229
po,1711
ok,9595
ɛs,4465
dõ,855
õk,1400
ku,342
ul,2072
ʃɒ,2841
dr,818
ɒɟ,2873
ɟo,902
obː,344
bːi,211
ur,1750
ko,4431
dj,2575
je,2159
ɛbː,316
́jː,203
jːɛ,238
t͡ʃi,595
ilː,490
lːɒ,869
kɒ,5238
zt,4382
jɒ,6715
ɛʒ,28
ʒd,32
du,561
́lː,1497
ɲü,14
üʒ,8
ʒɡ,36
ɡe,3088
pd,10
ʃːɛ,548
mi,7899
t͡ʃu,196
́s,3248
so,3986
́m,3998
ʒö,10
öɡ,236
kb,1092
ök,1957
nf,133
fe,1315
rɲ,276
ɲɒ,921
ɒʃ,1764
õt,487
ɡa,3209
da,3387
or,5060
tö,2240
ɛi,3796
it,4268
bɒ,6626
zf,24
ʃü,198
ün,1142
nk,3045
mb,2787
rt,7662
ke,2777
́p,2396
pü,29
kr,781
nl,178
ɡu,432
un,748
ɒi,6847
pe,423
ɒsː,468
sːo,439
oɲ,901
ɲɲ,126
ɲa,679
ʃa,3912
bi,1508
ir,4357
lm,2902
do,4738
lü,261
ül,3080
le,3376
om,3781
lu,395
ve,4384
otː,3816
ɡs,825
su,343
̂n,268
iv,1341
lh,1030
tv,1007
rz,235
tːɛ,3150
ɛmː,416
mːi,377
if,242
nö,319
öv,1453
́ɲ,2883
bo,3269
ot͡ʃ,362
t͡ʃa,401
́v,3984
nb,541
pa,495
lːo,552
dv,558
ʃi,2569
fo,2417
ɛlː,2353
lːɛ,2147
orː,179
rːa,111
tn,965
Í,213
ɛkː,405
kːe,437
́d,3952
pk,100
lõ,3633
ɒbː,429
bːɒ,324
tr,419
lr,396
no,1548
os,1129
tu,1529
ud,785
oj,941
jo,3394
́z,4588
bõ,1230
ɡö,584
ön,493
onː,476
nːe,243
ɡɒ,5116
zi,801
fõ,235
õa,263
ɡr,600
õn,430
pi,893
ɡk,325
rü,464
li,2059
ɒv,970
ɒh,722
ɒɲ,719
ɒnː,1171
nːɒ,1676
bd,35
lːi,205
io,208
ni,2350
ks,321
sk,261
kõ,296
ih,425
kh,1228
hu,1052
hi,1437
idː,152
dːɛ,89
ɒʃː,1040
ʃːi,131
iɒ,5748
osː,315
sːa,19
ɛu,938
uf,35
fr,259
ra,7518
tj,1514
õr,431
izː,55
zːɛ,467
pɒ,2280
nt͡ʃ,1328
t͡ʃo,1261
ol,5837
ba,1347
ɟe,669
ɒrː,228
rːo,90
ls,405
dü,133
ɛnː,1209
nːi,200
rʃ,553
zːa,900
lːõ,35
rh,328
́ʃː,376
ʃːɒ,519
ɛzː,392
mn,845
ɛrː,193
rːɛ,241
uv,105
ɒkː,803
kːo,748
lb,569
rd,1158
rb,546
ɲɛ,1034
́e,260
ɟj,115
ɒc,1432
cj,659
ja,4549
ɲj,169
́h,1116
sn,402
ʃtː,27
tːe,498
dk,97
se,2009
na,2136
ɲn,154
t͡ʃɒ,995
uɟ,164
ɟɒ,779
dt,1730
tü,260
bːo,147
ɡɲ,160
ɲi,522
tk,679
zn,813
fɒ,987
oʃ,2923
bö,356
t͡ʃɛ,2144
võ,155
rj,994
za,1775
tːõ,133
õj,240
jö,1121
sr,75
fi,5622
ɛf,744
ɒɡː,122
ɡːɒ,258
ösː,393
sːɛ,520
ör,2561
ɒlː,1257
lːa,381
vö,296
öʃ,354
õz,164
ɡf,385
ml,757
ti,3132
tːɒ,1830
lːe,270
pj,517
ib,859
nʃ,609
ʃk,670
de,2060
rk,413
ɡʃ,462
õʃː,79
jd,289
omː,62
mːɒ,131
ɡz,144
lːɡ,499
tːa,481
rõ,1265
ɒm,4023
Á,557
dʃ,135
mu,707
oɡ,2064
́t͡ʃ,327
t͡ʃk,158
mj,124
zõ,411
rt͡s,547
t͡sz,1867
ɛɲ,540
ɡl,538
isː,551
sːɒ,674
rs,419
db,614
ʃm,493
ru,2024
uh,350
lö,821
nːa,119
ɲu,403
rö,1076
ökː,356
kü,1003
ɡj,698
zːe,243
re,1297
he,508
rf,454
ɒf,395
ia,1888
dm,36
Ú,1306
ju,1531
jz,27
nr,83
ɛt͡ʃ,264
t͡ʃü,71
üɡː,72
inː,184
ie,311
is,1530
õv,179
ts,633
õtː,1596
ɛa,1591
ca,863
df,100
mf,67
öbː,353
bːe,213
bu,633
uj,243
bü,101
ɟʃ,76
zh,214
̂z,292
öm,302
́bː,291
ɡb,669
be,565
hn,71
mz,1053
́ɛ,2569
th,1480
uʃ,1394
ɟi,1074
mp,125
ub,171
ʃn,866
ov,439
uɡ,424
oh,285
mr,373
lːj,327
bz,5
fj,111
ɡü,290
üt,229
sːu,160
nh,342
ɟm,90
́nː,214
sü,645
öɲ,532
ɲv,171
iu,134
nt͡s,427
ɲo,1036
lt͡s,210
t͡sʒ,32
ʒz,44
id,3268
zv,209
ɟv,491
ht,29
ms,102
oe,60
ʃu,549
zü,343
õʃ,1080
́f,651
õb,263
vo,905
sʃ,172
rl,335
ɟk,20
́ɒ,79
õs,340
ldː,32
okː,325
kːɒ,507
ɒb,1940
bl,103
ɟd,24
dl,31
nv,163
sö,402
ütː,310
nõ,85
nj,941
ʃd,792
dh,209
́tː,620
bːɛ,147
ɲe,340
ɡp,149
pr,422
pb,88
lf,464
sm,10
ɒɲː,82
ɲːi,145
ɟr,73
ɡm,357
nɡː,16
ɡõ,415
kl,496
ɟa,270
iɲ,145
olː,26
lːt,45
ɒjː,186
jːo,159
ɟt,191
jf,40
ikː,96
ɒdː,361
dːɒ,139
im,1840
ij,566
zɡ,50
́rː,190
tːo,144
kːi,21
rv,799
rːɒ,325
hõ,159
önː,38
ɒa,369
sõ,237
nːl,1
zt͡s,43
lɡ,2106
itː,378
tːh,45
it͡s,36
