
a,582
aɟ,106
ɟa,576
a്,19180
്ɲ,229
ɲaː,283
aːt̪,550
t̪a,4345
an,2275
nt,762
ṯ,1640
̱e,728
bʱ,463
ʱa,669
aɡ,55
ɡa,436
aʋ,1411
ʋa,2148
ad̪,175
d̪a,716
്ɡ,38
ɡiː,45
iːt̪,60
aj,1113
ju,931
uʈ,631
ʈe,800
pa,2463
്ɾ,1142
ɾa,1842
aേ,1398
ോ,1398
ാɟ,81
ak,995
ka,5556
്t,119
̱t,439
̱a,270
ɡu,103
ʈa,1269
്ʈ,1023
nb,58
ba,287
ar,1058
rɡ,106
ib,69
bu,48
uk,823
്k,2735
്
,488


,223

iː,60
aːr,209
rk,103
ku,1632
um,2064
eʋ,36
ʋi,865
iʈ,341
ej,476
t͡ʃe,233
el,298
la,1770
il,1720
്l,903
laː,483
t̪e,287
up,202
ja,2367
ാɡ,94
ɡi,46
ik,1613
kaː,621
aːn,839
nu,310
uɭ,357
ɭa,862
്ɭ,352
at̪,2334
t̪aː,349
aːɳ,553
ɳa,1414

m,128
mi,234
ʋaː,301
ru,56
n̪i,1011
ij,789
na,3967
്t̪,2269
aɳ,451
aŋ,692
ŋa,1968
്ŋ,882
aɭ,1333
aെ,269
ൊ,267
ാn̪,47
n̪a,1503
്n̪,2550
n̪u,943
iŋ,179
ɭk,131
it̪,347
rt̪,245
t̪u,437
al,731
lk,123
്j,984
jaː,486
aːm,230
m
,591

p,219
ai̯,214
i̯s,16
sa,1505
ns,35
ɭp,16
്p,824
pe,245
eʈ,322
ʈu,545
ut̪,311
t̪i,1477
ji,714
്ɖ,379
ɖʱ,707
kiː,36
iːɻ,32
ɻi,142
ʋiː,97
iːɳ,50
a
,449
ki,358
in,1280
ാp,35
am,2618
le,264
eŋ,256
oːɳ,4
ɳl,6
i̯n,16
naː,232
aːj,917
i
,139

t̪,68
ke,55

ɾ,22
at͡ʃ,93
t͡ʃa,860
aːʋ,358
n
,208

ʋ,145
iʋ,260
eɖ,9
ɖa,85
്ʋ,443
rn̪,67
ാɭ,141
ɭɖ,9
ാs,13
un,1570
t̪iː,55
iːj,52
ɟuː,1
uːɳ,1
#
,20

r,6
ri,290
liː,13
iːs,19
mb,58

aː,140
aːd̪,50
uʋ,137
aɾ,1177
ɾi,692

b,87
ʱaː,148
aːʂ,22
ʂa,561
im,95
mɡ,38
iːʂ,11
iːk,89
se,10
et,26
en,691
nk,4
ാɖ,31
ɖi,47
be,8
er,39
**,12
*
,3

ɟ,79
ɟe,2
si,166
jeː,22
eːɻ,5
ɻa,85
്‌,67
‌s,9
ir,92
rm,50
ma,1262
്m,469
maː,1183
ɦe,3
‌n̪,13
ip,220

d̪,50
d̪i,71

ɡ,37
ɡaː,18
as,419
̱i,102
l
,143
at̪ʰ,37
t̪ʰa,130
aː
,20
aɦ,297
ɦaː,51
aːb,23
aːɾ,492
rɟ,70
്ɟ,74
ɟu,69
lu,294
oɾ,223
ɾu,778
ab,133

i,141
ɾaː,432
aːɟ,122

k,168
kr,115
rɨ,417
ɨʂ,107
്ɳ,158
ɾuː,69
uːp,54

s,161
ms,83
ɨt̪,157
paː,133
aːʈʰ,5
ʈʰa,25
aɻ,125

e,282
em,30
me,52
es,15
ii̯,1
i̯i,1
ie,28
്a,4
i̯
,4

n̪,236
juː,27
uːj,3
joː,1
oːɾ,27

ʈ,2
uːs,1
ാʋ,5
ാm,18
li,188
it,27
aɖ,118
fi,5
if,9
fa,86
uː
,24
rp,66
leː,162
eːk,278
iʃ,213
ʃa,606
ʋu,364
ʋeː,209
eːʃ,62
it͡ʃ,380
്t͡ʃ,541
t͡ʃu,183
u
,614
ാɾ,47
aʈ,298
aːl,389
eɻ,13
ɻu,84
iɾ,395
ra,276
aɲ,129
ɲa,300
ɲi,24
ɦa,262
ʈi,365
mu,223
ɭe,76
ep,39
ാl,167
ni,277
ap,376
ɭ
,123
rɳ,55
ukʰ,35
kʰa,105
id̪,22
pi,290
is,53
ɖaː,2
raː,10
ʱiː,49
ɦi,96
്d̪,149
d̪uː,11
iɦ,19
aːs,137
rʋ,31
d̪eː,46
eːʋ,42
aːɡ,127
saː,131
aːɦ,35
ɭi,270
on,53
n̪aː,202
aːk,304
ɾiː,56
ʱi,232
ɾeː,41
eːʂ,78
്ʈʰ,13
d̪aː,27
rʃ,24
്t̪ʰ,164
je,54
eːd̪,39
akʰ,12
aːp,99
ɾe,115
uj,65
ʃu,75
ud̪,160
rd̪,21
eɡ,2
ek,51
ur,177
aʈʰ,48
ʃeː,21
ാʈ,247
aʃ,119
ɟi,26
‌ʈ,8
ാr,14
re,10
nʂ,1
aːt͡ʃ,27
‌m,7
ɳi,78
്s,138
aːt,67
oːf,7
fiː,16
af,4
i̯m,3
uːm,28
i̯p,5
ാf,2
fe,8
aːɲ,3
iɖ,43
iːr,34
rt͡ʃ,28
ʱeː,7
eːj,19
t͡ʃi,162
ാɻ,43
ʈʰi,45
pu,201
̱u,47
ɭu,369
iʂ,45
ാt̪,33
su,84
ാd̪,11
t̪ʰaː,57
t̪eː,53
aːɭ,85
n̪iː,113
iːʈ,14
ɡʱ,26
uɾ,95
ɳe,37
eɭ,66
aːʃ,115
ʃi,78
aːt̪ʰ,18
muː,54
uːn,37
n̪uː,5
uːt,1
̱aː,22
്ʂ,216
ʂeː,41
iːl,9
uɳ,207
ʈaː,145
rs,1
suː,41
uːʈ,145
d̪r,28
ɨʃ,20
uːl,14
ɟiː,171
iːn,20
uɖ,13
ɟaː,50
t̪ʰi,41
ʋr,85
au̯,84
u̯ɾ,4
et̪,83
uːf,2
aːʈ,43
ɳu,107
ɖeː,7
ʂi,126
peː,67
eːɾ,62
or,2
iɟ,34
ɨp,27
iɲ,45
puː,53
uːr,57
d̪iː,8
at,84
t͡ʃaː,43
uʂ,138
ub,9
miː,11
iːt,6
ne,230
ʃuː,9
n̪e,188
eːp,3
ɭaː,47
eːɟ,15
mɾ,6
eːɳ,51
riː,13
ʈiː,4
ാj,20
aːf,2
ʈeː,41
ാɳ,110
oːs,1
kuː,128
seː,21
niː,11

u,27
d̪u,50
us,43
eːt͡ʃ,6
eːr,47
n̪eː,126
eːʈ,62
luː,32
i̯ʋ,92
iːf,15
ാt͡ʃ,19

ɖ,20
ʱr,8
eːt̪,106
lp,14
an̪,86
ɲu,43
ʃaː,75
ɖu,13

j,38
aːŋ,11
iːm,9
e
,149
nɖ,6
keː,68
t͡ʃeː,21
ʱu,47
uɟ,6
u̯ɟ,7
op,34
ee,2
iɭ,59
ŋu,43

ɲ,56
meː,47
eːɖ,7
r
,23
eɳ,17
ാʂ,64
uɡ,21
ut,21
u̯m,19
iːɾ,46

oː,16
eːkʰ,21
eːt,60
rb,22
ʂe,5
uːt̪,14
ɨd̪,78
uːt͡ʃ,4
ാʃ,10
mɦ,5
mkʰ,14
i̯t̪,8
ാŋ,2
്f,5
uŋ,22
ʋe,83
ut͡ʃ,23

t͡ʃ,30
no,1

o,83
ul,36
kʰi,7
uɻ,25
eːl,15

ʃ,56
ikʰ,3
ŋaː,8
ʱuː,36
i̯k,20
ɦr,86
baː,15
aːɖ,128

ɦ,27
