aːd̪i,139
d̪ij,36
iji,1216
jil,2356
ila,7432
la്,15478
a്‍,31011
d̪ai̯,1152
ai̯ʋ,1280
i̯ʋa,1254
ʋam,1060
aːkaː,182
kaːʃ,397
aːʃa,467
ʃaʋ,111
aʋu,1422
ʋum,1478
bʱuː,429
ʱuːm,422
uːmi,395
mij,342
iju,930
jum,5290
srɨ,15
rɨʂ,47
ɨʂa,32
ʂa്,698
a്ʈ,10955
്ʈi,1865
ʈit͡ʃ,396
it͡ʃa,5560
t͡ʃa്,6841
a്t͡ʃ,7226
്t͡ʃu,4446
t͡ʃu.,1097
paːɻ,5
aːɻaː,2
ɻaːj,12
aːju,287
ʃuːn,28
uːna,319
na്,33184
a്j,5556
്ja,3990
jam,1363
amaː,2935
maːj,2061
iɾu,1881
ɾun,1935
una,5314
a്n̪,22040
്n̪u,13096
n̪u;,1106
aːɻa,192
ɻat̪,13
at̪a,8766
t̪a്,15226
a്t̪,15623
്t̪i,5232
t̪in,4191
ina,7429
a്m,3230
്miː,50
miːt̪,55
iːt̪e,55
ɾuɭ,432
uɭa,2139
ɭa്,7603
uɳa,1165
ɳa്,6270
്ʈaː,1141
ʈaːj,458
aːji,3854
jiɾ,1979
n̪u.,1544
ʋat̪,709
int,4399
nṯ,8217
ṯe,8305
aːt̪a,1062
്maː,1919
maːʋ,153
aːʋu,546
ʋeɭ,474
eɭa,375
a്ɭ,2859
്ɭa,2357
ɭat̪,403
paɾ,581
aɾi,1785
ɾiʋ,57
iʋa,1043
ʋaɾ,5040
aɾa,5682
ɾa്,7439
്‍t̪,889
‍t̪a,845
t̪it͡ʃ,96
t͡ʃuk,437
uka,4158
kaെ,3426
aൊ,5016
ൊɳ,1879
ാɳa,1879
ʈiɾ,190
eɭi,91
ɭit͡ʃ,610
്t͡ʃa,1406
t͡ʃam,27
ʈaːk,483
aːka,2290
kaʈ,781
aʈa,2425
ʈa്,5398
്ʈe,521
ena,6116
kal,2582
ala,4934
a്p,7922
്pi,2102
pit͡ʃ,1091
t͡ʃu;,516
ji.,274
n̪al,187
a്l,3180
്la,1650
lat̪,718
at̪u,3313
kaɳ,623
aɳa,2583
്ʈu,4895
t͡ʃaʋ,127
uɭu,9
ɭum,934
t̪am,781
ama,1873
ma്,2603
്mi,137
mil,663
ʋeːɾ,34
eːɾa,706
piɾ,63
iɾi,2421
ɾit͡ʃ,809
t͡ʃat̪,571
pak,448
aka,6918
n̪um,893
uɭi,441
ɭin,100
ɾaːt̪,177
a്ɾ,7117
്ɾi,261
peːɾ,568
eːɾi,188
ɾiʈ,89
iʈa,1741
ʈu.,286
san,753
ana,12245
a്ɖ,1505
്ɖʱ,1420
ɖʱa,1522
ʱa്,280
jaj,397
ajaː,1469
jaːj,857
uʂa,595
ʂas,14
asa,1826
sa്,4373
a്s,804
്su,241
sum,104
umaː,564
ji,,49
ona,313
്n̪aː,1488
n̪aːm,323
d̪iʋ,351
ʋas,812
sam,1616
am.,1285
ɭaŋ,58
aŋa,3721
ŋa്,7286
a്ŋ,6320
്ŋa,5465
ŋaɭ,4506
aɭu,2442
ɭuʈ,1600
uʈe,4530
mad̪,126
ad̪a,371
d̪a്,2346
്jeː,278
oɾu,1668
ʋit̪,109
it̪aː,343
t̪aːn,346
aːna,4037
nam,765
ʈe;,101
്‍p,534
‍pi,11
iʋaː,288
ʋaːj,406
ɾik,2735
ika,7168
ka്,19678
a്k,19266
്ka,5340
്kiː,47
kiːʈ,21
iːʈa,348
nat̪,646
kiːɻ,96
iːɻu,44
ɻuɭ,15
ɭaʋ,375
t̪ej,236
eju,3236
juɭ,410
ŋan,885
ane,2068
amb,148
mbʱ,98
bʱa,968
ʱaʋ,361
aʋi,919
ʋit͡ʃ,400
ʃam,768
ɾaɳ,772
ʈaːm,112
maːk,368
ʃat̪,1054
ɭam,382
a്t̪ʰ,548
്t̪ʰa,387
t̪ʰal,227
്t̪u,3735
kuːʈ,1384
uːʈa,386
ʈaʈ,8
ɳaŋ,285
്ŋi,630
ŋij,106
ija,1088
n̪il,557
lam,656
kaːɳ,292
aːɳa,331
ɳaʈ,5
്ʈa,2392
ʈat̪,985
amu,528
mud̪,40
ud̪a,1017
്ɾa,4066
ɾam,2092
ʈu;,202
്‍n̪,1421
‍n̪i,999
n̪in,3994
pul,81
ula,264
്lu,303
lum,1328
it̪a,1084
t̪uɭ,87
sas,37
jaŋ,137
t̪at̪,770
t̪aɾ,710
pʰal,106
kaːj,99
jik,139
്ku,7541
kun,2472
്n̪a,3191
ʋrɨ,244
rɨk,85
ɨka,84
a്ʂ,1101
്ʂa,538
ʂaŋ,30
muɭ,420
uɭe,12
ɭet͡ʃ,7
et͡ʃa,753
t͡ʃuʋ,225
uʋa,1335
ɾaʈ,83
ʋan,6483
muːn,229
alu,136
ɾaːʋ,161
ʋaːn,644
t̪il,2177
t͡ʃaŋ,8
aɭa,4088
aʋa,10559
ʈaj,450
jaːɭ,60
aːɭa,816
aɭaː,196
ɭaːj,167
kaːl,537
aːla,2687
am,,157
amʋ,307
mʋa,388
്sa,354
saɾ,498
്n̪i,1114
n̪iʋ,274
t̪iɾ,1280
t͡ʃar,13
ari,651
riʋ,81
aːnaː,51
naːj,1141
ut̪a,2820
t̪ak,321
ije,250
pa്,7119
ɾak,610
akaː,544
aːʃi,30
ʃip,92
ipa,1827
pip,78
്paː,1018
paːn,701
ʋaːɻ,33
aːɻeː,5
ɻeːɳ,8
eːɳa,3239
at̪i,2825
ʋal,500
ali,383
lip,26
്pa,1568
pam,345
ameː,210
meːr,11
eːri,30
rij,371
kur,281
ura,1098
raɲ,1765
aɲa,2466
ɲa്,3300
a്ɲ,3164
്ɲa,487
lij,167
aɭe,1154
്ki,1967
ki;,118
n̪ak,112
ʂat̪,85
ɾaŋ,174
ɭej,282
ki.,131
aːnu,291
num,835
ɾij,292
aːɻu,12
ɻuʋ,109
uʋaː,503
്t̪e,988
ine,977
nej,525
ɾip,261
ʋaj,1811
aje,591
n̪iɾ,401
iɾa,1022
t̪i;,84
n̪aːl,1233
aːlaː,91
laːm,274
ɟal,33
laɟ,83
aɟa,384
ɟan,1178
t̪uk,646
kaɭ,3415
ʈam,270
ani,397
nik,524
juʈ,1671
par,2176
ara,2479
raʋ,364
ʋaɟ,54
aɟaː,135
ɟaːt̪,256
aːt̪i,701
rak,218
t̪im,83
imi,138
mim,4
imɡ,5
mɡa,121
ɡal,8
laŋ,73
nit͡ʃ,70
t͡ʃaɾ,163
t̪ut̪,54
ɟiːʋ,266
iːʋa,206
t̪ij,679
jej,210
n̪iŋ,1980
iŋa,2577
്‍d̪,251
‍d̪a,223
ɖʱi,854
ʱit͡ʃ,174
peɾ,112
eɾu,129
ɾuk,263
uki,103
ɾat̪,1151
ile,839
n̪ir,84
ira,408
ʋin,816
anu,1074
nuɡ,189
uɡa,234
ɡa്,696
ɾaɦ,395
aɦi,409
ɦit͡ʃ,158
്t͡ʃaː,154
t͡ʃaːm,19
kan,1493
n̪uk,279
ukaː,213
aːli,241
li,,10
iɻa,127
ɻaɟ,24
t̪i,,34
kaːʈ,67
aːʈa,504
ʈum,1373
umr,15
mrɨ,162
rɨɡ,166
ɨɡa,156
ɡam,609
aʋaː,322
ʋaːk,202
ɡaŋ,196
lik,118
ʱuːt͡ʃ,7
uːt͡ʃa,7
ɾaɟ,26
nan̪,368
an̪a,250
n̪a്,1685
്t̪a,4141
amn,25
mnaː,7
naːm,31
n̪am,352
്mu,131
muʈ,219
a്ʋ,1096
്ʋa,933
aɾuː,10
ɾuːp,42
uːpa,183
pat̪,1017
saːd̪,82
aːd̪r,10
d̪rɨ,26
rɨʃ,11
ɨʃa,11
ʃa്,859
jap,458
apa,3084
kaːɾ,996
aːɾa,3094
man,721
nuʂ,172
jan,800
kuk,190
ka;,244
ilu,1003
luɭ,219
mat̪,380
jat̪,789
്meː,385
meːl,827
eːlu,190
jin,18
aɭi,749
്‍ʋ,835
‍ʋa,401
ʋa്,663
ʋab,17
abʱ,676
ɻaj,34
aju,2940
jun,348
ela,871
്laː,1002
ɻaʈ,12
t̪an,2684
ant,2343
t͡ʃu,,125
aːɳu,140
ɳum,73
peɳ,37
eɳa,324
a്ɳ,742
്ɳu,76
aɾe,1280
t͡ʃun,59
uni,493
niŋ,117
്t̪aː,633
nap,89
apu,113
puʂ,40
ʈij,589
aɾaː,382
ɾaːj,1862
്ɲu,1971
ʈak,692
lep,4
epa,227
sak,496
lab,73
t̪uʋ,260
uʋi,421
aɾoː,715
ɾoːʈ,531
oːʈu,3602
eŋa,672
്ŋu,139
ŋum,63
aːja,3030
jak,424
laʋ,304
aʋr,80
t̪aː,,109
ɲaːn,1692
്‍k,2301
‍ka,2197
aːɦaː,226
ɦaːɾ,111
amr,40
kum,2522
ʋak,491
jiʈ,206
pat͡ʃ,22
at͡ʃa,488
t͡ʃas,4
oka,377
്ke,1090
kej,879
ൊʈ,754
ാʈu,638
ʈut̪,887
kij,224
n̪oːk,173
oːka,425
ki,,54
et̪a,348
ɾaj,797
aːraː,159
raːm,14
aji,1395
ɾaːt͡ʃ,1
aːt͡ʃa,135
ɭaെ,79
ൊk,504
ാka,510
t̪ik,526
kaɲ,9
ɲu.,1226
t͡ʃej,2199
eja,2354
ja്,3121
ɾaʋ,511
rɨt̪,359
ɨt̪a,337
t̪iːɾ,272
iːɾa,397
t̪aʃ,33
aʃeː,196
ʃeːʂ,458
eːʂa,394
ʂam,513
lap,167
eːɻaː,78
ɻaːm,71
iʋr,19
anaː,1423
t͡ʃuɳ,19
sat̪,318
ʃud̪,684
ɖʱiː,136
ʱiːk,121
iːka,408
kaɾ,1197
jaɦ,2848
aɦoː,3237
ɦoːʋ,2856
oːʋa,2488
n̪aːɭ,131
aːɭi,109
ɭil,679
t̪iʋ,71
iʋi,159
ʋiʋ,65
aja,2326
jal,193
lil,302
t͡ʃeʈ,26
eʈi,10
la;,272
്t͡ʃi,721
t͡ʃiɾ,404
n̪at̪,819
t̪um,564
umi,193
la.,366
maɻ,44
aɻa,96
pej,31
്ji,334
jit͡ʃ,271
ʋeːl,329
eːla,1959
‍ʋaː,137
maɲ,20
paെ,440
ൊŋ,28
ാŋa,28
ŋi,,14
n̪an,91
net͡ʃ,5
ാʈi,56
ʈik,386
്‍m,747
‍ma,668
mit͡ʃ,90
t͡ʃiʈ,140
muːk,13
uːka,181
kil,643
ʋaʃ,281
aʃa,572
്ʋaː,52
ʋaːs,295
aːsa,614
uːt̪i,36
nuɭ,60
d̪eːɦ,35
eːɦi,80
ɦij,20
ijaː,511
‍n̪a,382
kiɻ,85
ɻak,100
eːd̪e,21
d̪en,6
eni,469
nil,226
t̪oːʈ,398
oːʈa,253
ʋiʈ,827
iʈe,435
maːn,429
ʱam,574
amɡ,137
mɡi,5
ɡij,21
au̯ɾ,272
u̯ɾoː,201
n̪aʈ,380
aʈu,1035
ʈuʋ,733
ʋil,367
ʋaʋ,53
ʂaʋ,40
്ma,370
mak,1724
ɭek,49
eka,1063
uri,173
rit͡ʃ,215
t͡ʃuɭ,24
t̪un,289
nin̪,269
in̪a,262
ɭep,16
nep,27
n̪ad̪,81
ad̪i,123
pur,804
rap,512
്pe,977
peʈ,1077
eʈa,1048
ʈen,96
aːlu,249
ʃaːkʰ,23
aːkʰa,26
kʰaj,9
ɾiɲ,118
iɲa,573
aːma,519
്t̪eː,249
t̪eːt̪,9
eːt̪i,32
piːʃ,1
iːʃoː,9
ʃoːn,78
oːna,819
്‍;,80
ɦaʋ,51
aʋiː,32
ʋiːl,5
iːlaː,15
laːd̪,3
aːd̪eː,34
d̪eːʃ,1179
eːʃa,1123
maെ,122
t͡ʃut,148
uṯ,256
ṯt,1375
̱ṯ,1375
ṯu,428
̱un,33
ൊn̪,437
ാn̪a,508
n̪uɳ,11
meːt̪,5
eːt̪a,180
aːku,652
ɡul,7
a്ɡ,169
്ɡu,3
ulu,10
luʋ,58
uʋu,34
ɡoːm,10
oːmeː,14
meːd̪,81
eːd̪a,145
d̪ak,12
kaʋ,254
d̪ik,109
ɡiːɦ,5
iːɦoː,79
ɦoːn,38
kuːʃ,21
uːʃa,101
ɦid̪,2
id̪a,147
a്d̪,451
്d̪eː,13
d̪eːk,2
eːka,1502
kel,91
a്ʃ,322
്ʃuː,7
ʃuːɾ,40
uːɾi,61
ɾin,273
്koː,328
koːʈ,65
oɻu,28
ɻuk,98
uku,75
fa്,304
്ɾaː,2119
poːj,654
oːji,518
kaːp,2
aːpa,428
anoː,722
noːʈ,1239
t̪en,324
‍t̪oː,11
ʈej,274
nak,682
iʂa,164
amp,118
mpoː,89
poːl,774
oːle,757
aːm.,76
n̪aɾ,179
aɾu,3158
ɾut̪,1252
ut̪u,631
t̪u;,546
n̪un,58
maɾ,730
um.,625
amm,36
mma,31
kat̪,373
at̪aː,179
t̪aːj,154
jaെ,143
ൊɾ,254
ാɾu,177
t̪uɳ,30
kik,175
ʈuk,2234
്t͡ʃe,459
t̪u.,792
aʋeː,96
ʋeːk,407
iʈu,116
ume,108
men,175
mum,624
uma,1189
pil,359
eːɾaː,63
ji;,157
kiʈ,336
kaj,2251
jaːl,435
ɡaːɖ,7
aːɖʱ,347
ʱan,264
nid̪,4
raŋ,300
്poː,1659
poːɭ,1206
oːɭa,1325
ʋaːɾ,84
aːɾi,380
jel,28
luk,143
eʈu,794
maːm,93
aːms,76
msa,82
piʈ,266
iʈi,266
ʈip,227
്li,66
lin,894
്ɾiː,237
ɾiːj,120
iːjaː,99
jaːk,352
ʋaɭ,962
it̪u,313
ent,970
്t̪ʰi,100
t̪ʰij,19
saʋ,218
ɾan,1267
n̪aːɾ,3
poːɾ,94
oːɾaː,42
ɾaːk,130
puɾ,727
uɾu,323
ɾuʂ,254
ʂan,269
pan,775
maj,391
ʈup,399
upi,41
bʱaː,533
ʱaːɾ,334
ajoː,536
joːʈ,625
pat,29
aṯ,354
ṯi,247
̱it͡ʃ,16
്t͡ʃeː,31
t͡ʃeːɾ,152
eːɾu,138
ɾum,1032
um;,551
eːɦa,40
ɦam,162
iːɾu,67
ɾuʋ,272
n̪aɡ,91
aɡa,194
n̪aːɳ,11
ɳam,2850
t̪oːn,80
n̪ij,188
ʈuɟ,9
uɟa,53
്kaː,1050
kaːɭ,283
aːɭu,128
paːm,6
്pu,570
aൌ,488
ൌʃ,7
ൗʃa,7
ʃal,251
iːjoː,41
ut̪oː,31
jaːt̪,331
t̪aെ,445
ut̪e,45
t̪aʋ,274
ʈuɳ,65
്ʈoː,82
t͡ʃoːd̪,264
oːd̪i,301
d̪it͡ʃ,311
pin,864
inoː,495
ɲaŋ,626
aːm;,76
kaːt̪,329
്keː,1872
keːɳ,1917
t̪u,,94
ʈun,419
n̪iʃ,56
iʃa,199
t͡ʃaj,121
am;,859
t̪ur,33
n̪aʋ,354
t̪ep,34
്ju,341
ʂapʰ,5
apʰa,36
ɟa്,282
്ɲaː,258
ɾaːp,96
aːpi,98
kaːm,96
jaʋ,452
ʱaɾ,238
t̪aːʋ,181
aːʋi,645
uʈa,541
ʈan,451
ɾuʈ,1150
ran,46
t̪aŋ,292
ɾen,51
riɲ,134
ɲu,,37
ʈit̪,10
jaːʈ,27
ʋej,11
eji,61
ilaː,56
laːr,2
aːri,78
ot͡ʃa,7
keːʈ,256
eːʈa,301
aːɳaː,34
ɳaːt̪,19
oɭi,32
ʋiɭ,349
iɭi,283
uniː,178
eʋi,61
ʈiʈ,112
naːk,113
kak,179
ʱaj,291
nen̪,21
en̪a,21
്n̪oː,593
n̪oːʈ,548
ɲu?,2
n̪uʋ,265
uʋoː,103
uːʈe,621
n̪iʈ,97
ʈuɭ,185
n̪up,101
upaː,31
്n̪e,1366
ʋaɲ,5
t͡ʃit͡ʃ,22
upoː,892
umʋ,110
mʋe,28
ʋet͡ʃ,589
ʃap,123
api,116
pik,585
kap,177
uɾa,117
ɾas,241
suk,20
ami,332
juʂ,32
ɾiːk,98
്ɾu,131
t̪al,603
kut̪,112
ut̪i,172
ikaː,82
t̪uɲ,29
uɲaː,126
kaʂ,53
aʂa,89
ʈaʋ,220
ɡaɾ,150
്‍b,126
‍bʱ,79
ʱaɖ,6
aɖʱ,218
ɖʱaː,246
ɳaʋ,119
eːṯ,277
ṯa,549
̱aʋ,88
ʱip,167
ʋeːd̪,19
d̪an,60
naj,403
oːʈe,130
ʋik,240
aːɡa,1184
aɦa,741
at̪oː,31
oːniː,32
nus,96
usa,179
n̪im,104
mit̪,146
t̪aj,196
oːʋr,3
kaɻ,651
aɻi,852
ɻik,247
്ɭu,98
ike,181
ʋoːɭ,53
mukʰ,115
ukʰa,97
kʰat̪,22
ʋij,39
jaɾ,1308
‍pa,462
poːʈ,19
upa,741
paɟ,10
aɟiː,14
n̪u,,100
്je,20
jek,56
maːt̪,137
aːt̪aː,27
aːʋa,318
laേ,363
aോ,610
ോ.,108
aːd̪aː,61
d̪aːm,38
aːmi,250
min,375
̱eb,1
ebʱ,4
t̪oːl,104
oːla,109
uʈu,384
ʋaɳ,266
്ɳa,499
jit̪,49
്t̪iː,147
kai̯,396
ai̯n,71
i̯niː,7
niːʈ,8
amk,304
mkuː,76
്n̪eː,1129
n̪eːk,60
iːʋi,67
ʋip,26
ɡat̪,456
ɾaɾ,30
krɨ,172
ɨʂi,15
jeːɳ,422
rat̪,259
t̪aːk,206
ɭaɲ,233
ɲu;,119
t̪iŋ,80
aleː,132
leːk,455
kuɭ,206
ʋaɻ,335
keɾ,45
eɾuː,136
ɾuːb,112
uːbu,25
buk,26
ɲuk,88
ʋaːɭ,116
ʋaːl,19
laj,474
t̪i.,76
ɾiɡ,40
iɡa,102
amɖ,13
mɖʱ,13
ajiː,590
jiːn,22
iːne,29
t͡ʃuj,6
uja,130
ʂap,23
bʱi,175
nuɟ,21
ɦaːb,22
aːbe,11
bel,10
eli,257
iːna,187
ʂik,275
ure,89
rek,38
ɻiɲ,139
്ɲi,302
ɲiʈ,59
nub,84
ubʱ,299
oːʋeː,409
ɻip,162
ipaː,129
paːʈ,215
aːʈu,403
elu,26
ʈin,231
aʈi,652
ʈiɲ,98
്ɲuː,64
ɲuːl,39
uːlu,18
d̪as,71
്si,71
sil,95
n̪eː,,39
aːʈi,94
ʈil,412
asaː,114
iːni,16
t͡ʃil,103
koːp,122
oːpa,103
muɳ,37
kʰam,77
ʋaːʈ,4
ʈi.,74
n̪aːr,61
aːre,102
iːnoː,15
oːpi,40
n̪u?,47
t̪u?,119
mat͡ʃ,27
at͡ʃe,70
aːd̪a,293
d̪am,82
joː?,56
്le,100
leŋ,85
iloː,76
paːp,240
ʋaːt̪,179
n̪iːj,83
iːɻa,22
ʈu(,1
u(n̪,1
(n̪aː,1
ileː,369
poːk,520
n̪u),1
nin,84
n̪uɲ,27
kaːʋ,25
ʃab,70
aba,542
ba്,984
്d̪a,109
ɭik,161
̱uk,25
ൊɭ,408
ാɭa,369
ʃaːp,40
paɡ,14
oːkeː,55
ini,121
nim,47
imeː,26
eːlaː,37
laːl,12
ʋiːɾ,39
uɻa,150
ɻan,14
ʈue,63
uen,88
kut,90
̱am,98
ൊr,5
ാru,2
rup,133
ɻij,220
nek,95
ɭaj,784
ɾus,4
n̪iɖ,202
iɖʱ,355
ʱiʋ,16
aːɾe,573
ɾeŋ,64
ʈaːl,51
്‍,,425
ൊl,185
ാla,170
ʈua,68
uat̪,9
eːɻi,2
ɻiɾ,2
ɳun,34
aːɾu,689
laːt̪,337
ʱij,286
n̪oːd̪,1
oːd̪a,427
t͡ʃen,653
paːɾ,430
ɦaːn,41
aːnoː,96
noːk,69
kin,275
paʈ,807
ʈaɳ,479
paɳ,326
aɳi,303
ɳit̪,94
iːɾaː,107
ɾaːd̪,9
meɦ,8
eɦuː,172
ɦuːj,2
uːja,24
ajeː,268
jeːl,1417
eːli,649
nip,97
met̪ʰ,9
et̪ʰuː,17
t̪ʰuːʃ,7
ʃaj,104
aːme,20
mek,37
maːɾ,2034
mat,153
്‍.,153
jaːb,52
aːbaː,83
baːl,285
uːʈaː,192
ʈaːɾ,254
aːsi,177
sik,172
paʃ,43
aʃu,265
ʃup,1
paːl,63
lak,447
pit̪,262
aːʋaː,246
saɦ,455
ɦoːd̪,379
d̪aɾ,510
juːb,1
uːbaː,1
ʋeːɳ,354
eːɳu,1
ɳuʋ,15
joːɡ,63
oːɡi,34
ɡik,15
laːʋ,149
t̪uːb,9
uːba,14
bal,124
t͡ʃem,31
ema,47
puk,110
ɾim,146
ima,194
umu,193
juɖ,44
uɖʱ,44
ʱaŋ,25
umn,106
mna,83
iːnt,14
peŋ,7
n̪aj,64
maː.,4
aːɾoː,212
ɲat̪,327
t̪uaː,8
uaːd̪,2
d̪aj,286
്ɭoː,11
ɭoːɾ,10
oːɾeː,29
ɾeː,,25
keːɭ,147
eːɭa,151
aːɾeː,24
ʋat͡ʃ,132
t͡ʃan,190
t͡ʃeʋ,12
mur,153
um,,70
juʋ,49
ʋaːʋ,9
uʋeː,136
meŋ,29
eɻu,327
ɻup,61
t̪eːɻ,16
eːɻu,204
n̪ej,230
̱aെ,48
ʃeːt̪,7
enoː,8
noːʃ,6
oːʃa,19
aːɾaː,289
ɾaːɖ,36
t̪uʈ,171
ʈaŋ,428
ŋi.,95
amʃ,46
mʃa,66
apaː,112
t̪ud̪,8
t͡ʃap,77
ɦik,178
inu,11
n̪uːt,50
uːṯ,102
̱im,21
imu,61
mup,109
jas,249
്saː,117
saːj,49
aːjaː,111
jaːp,11
pap,24
t͡ʃaʃ,44
്ɳuː,15
ɳuːr,5
uːru,157
put̪,609
ɾeːj,9
eːju,32
imaː,160
ɾej,492
aːke,218
്ɭaː,84
̱aɲ,4
oːʃi,7
ʃin,56
