
aɟ,8
aɟa,59
ɟa്,199
a്ɲ,229
്ɲaː,69
ɲaːt̪,6
aːt̪a,426
t̪an,175
ant,188
nṯ,762
ṯe,728
bʱa,235
ʱaɡ,24
aɡa,46
ɡaʋ,33
aʋa,886
ʋad̪,37
ad̪a,135
d̪a്,409
a്ɡ,38
്ɡiː,23
ɡiːt̪,25
iːt̪a,44
t̪aj,157
aju,288
juʈ,147
uʈe,483
pa്,1249
a്ɾ,1142
്ɾa,865
ɾaേ,183
aോ,1398
ോɟ,81
ാɟa,75
ɟak,142
aka,822
ka്,3222
a്t,119
്ṯ,119
ṯt,439
̱ṯ,439
ṯa,270
̱a്,124
ɡuʈ,56
uʈa,129
ʈa്,685
a്ʈ,1023
്ʈa,432
ʈan,105
anb,57
nba,51
bar,53
arɡ,90
rɡa,96
ɡa്,223
ibu,17
buk,18
uka,784
a്k,2735
്ka,722
a്
,488
്

,31


iː,3
aːrk,38
rka,103
്ku,1339
kum,265
eʋi,34
ʋiʈ,133
iʈe,99
ʈej,99
eju,209
jum,422
t͡ʃel,9
ela,292
laʋ,34
aʋi,82
ʋil,56
ila,441
la്,901
a്l,903
്laː,411
laːt̪,124
aːt̪e,91
upa,164
paj,39
aja,499
jaേ,208
ോɡ,94
ാɡi,39
ɡik,18
ika,1565
്kaː,272
kaːn,120
aːnu,40
nuɭ,37
uɭa,327
ɭa്,352
a്ɭ,352
്ɭa,317
ɭat̪,47
at̪aː,56
t̪aːɳ,103
aːɳa,417
ɳa്,926
്
m,22

mi,7
mik,58
kaʋ,35
aʋaː,31
ʋaːr,15
aːru,14
rum,8
n̪ij,55
ija,284
jan,126
ana,920
na്,3169
a്t̪,2269
്t̪a,829
t̪a്,2855
ɾaɳ,192
aɳa,412
ɳaŋ,53
aŋa,692
ŋa്,1172
a്ŋ,882
്ŋa,801
ŋaɭ,663
aɭa,125
ɭaെ,4
aൊ,267
ൊn̪,22
ാn̪a,46
n̪a്,416
a്n̪,2550
്n̪u,934
n̪um,77
umi,16
mil,82
്la,327
n̪iŋ,158
iŋa,179
aɭk,101
ɭka,131
it̪a,283
pak,97
kar,142
art̪,157
rt̪a,237
്t̪u,214
t̪uk,57
kaj,116
n̪al,113
alk,78
lku,38
kuk,278
t͡ʃej,200
eja,228
ja്,291
a്j,984
്jaː,203
jaːm,25
aːm
,48
m
p,49

pa,152
lai̯,30
ai̯s,16
i̯sa,16
san,124
ans,19
nsa,22
sa്,739
uɭp,16
ɭpa,16
a്p,824
്pe,226
peʈ,241
eʈu,155
ʈut̪,99
ut̪a,244
്t̪i,930
t̪ij,160
iji,159
jiʈ,26
iʈa,180
്ʈu,203
ʈuɭ,20
n̪ib,21
iba,22
ban,88
a്ɖ,379
്ɖʱ,344
ɖʱa,414
ʱan,87
nak,94
kaɭ,577
kiːɻ,19
iːɻi,10
ɻil,10
ʋiːɳ,43
iːɳa,47
ʈum,130
ka
,183
a
iː,10
്ki,307
kin,12
ina,574
naെ,10
ൊp,25
ാpa,35
്pa,380
pam,104
ala,438
്le,135
leŋ,122
eŋa,256
kil,241
oːɳl,4
ɳla,5
ai̯n,16
i̯naː,2
naːj,82
aːji,345
ji
,38
i

,6



,94


t̪,1

t̪a,31
t̪al,79
lak,70
്ke,28
keʈ,29
eʈa,129
t̪a
,35
a

,14


ɾ,1

ɾa,7
ɾat͡ʃ,10
at͡ʃa,86
t͡ʃaj,38
aji,178
jit̪,3
it̪aː,27
t̪aːʋ,50
aːʋa,182
ʋa്,209
an
,169
n

,4


ʋ,7

ʋi,66
ʋiʋ,33
iʋa,113
ʋar,257
t̪ak,58
kan,35
sar,13
eɖa,6
ɖa്,46
a്ʋ,443
്ʋi,10
ʋin,118
arn̪,52
rn̪a,63
n̪aേ,63
ോɭ,130
ാɭɖ,9
ɭɖa,7


p,10
paേ,337
ോs,13
ാsa,13
്ju,126
jun,161
una,1514
്n̪a,1004
t̪iːj,8
iːja,41
jat̪,200
at̪i,294
ɟuːɳ,1
#
r,1

ri,1
ril,12
iliː,1
liːs,1
iːsa,15
n̪aʋ,138
ʋam,60
amb,53
mba,4

aːd̪,7
aːd̪a,32
്ja,625
jam,410
t̪at̪,136
at̪a,1783
ɟan,88
anu,212
nuʋ,16
uʋa,63
ʋaɾ,322
aɾi,271


b,2

bʱ,48
bʱaː,86
ʱaːʂ,8
aːʂa,22
imɡ,18
mɡa,24
്liː,3
liːʂ,3
iːʂa,10
ʂa്,320
ɾat̪,162
at̪iː,12
t̪iːk,16
iːka,86
set,2
eṯ,26
enk,1
nka,1
kaേ,18
ോɖ,31
ാɖi,5
ɖim,2


*,4

**,4
***,12
pad̪,40
ʱat̪,56
iju,199
t̪uʈ,21
ʈak,58
kam,102
nbe,6
ber,6
erɡ,7
**
,4
*

,3


ɟ,3

ɟe,2
baj,2
ajeː,4
jeːɻ,3
eːɻa,5
ɻa്,29
a്‌,67
്‌s,9
‌sa,9
n̪ir,55
irm,11
rma,38
ma്,232
a്m,469
്maː,281
maːɳ,106
ɳam,198
ɦej,2
്‌n̪,13
‌n̪i,3
n̪in,346
int,432
pat̪,69
t̪ip,20
ipa,197


d̪,1

d̪i,6
d̪i
,2
i
ɡ,4

ɡaː,3
ɡaːn,5
aːna,327
nam,146
sel,2
las,8
asa,293
ṯi,102
̱ij,9
jal,34
al
,9
l
a,41

at̪ʰ,1
at̪ʰa,8
t̪ʰaʋ,4
ʋaː
,2
aː
b,1
a
m,15

ma,83
maɦ,60
aɦaː,36
ɦaːb,4
aːbʱ,20
ʱaːɾ,17
aːɾa,256
t̪il,370
്
a,73

ar,50
arɟ,65
rɟa,51
a്ɟ,74
്ɟu,47
ɟun,62
nan,39
t̪am,217
ama,335
്mi,14
ilu,182
luɭ,37
oɾu,170
ɾab,22
abʱ,87
ʂaɳ,31
am
,254
m
i,26

in,36
jaj,24
ɾaːɟ,117
aːɟa,104
aku,68
umaː,171
maːɾ,135
ɾan,121
num,108
paɾ,148
aɾa,409
ɾam,346
maേ,92
ോn̪,25
n̪at̪,264
um
,287
m
k,23

kr,41
krɨ,115
rɨʂ,107
ɨʂa,98
a്ɳ,158
്ɳa,106
ɳan,53
ɾuːp,53
uːpa,54
il
,109
l

,5


s,5

sa,136
sam,313
ams,58
msa,52
്kr,4
rɨt̪,157
ɨt̪a,122
paːʈʰ,3
aːʈʰa,5
ʈʰat̪,6
്
ʋ,27

ʋa,36
ʋaɻ,57
aɻi,102
ɻi
,6
i
s,10
്
e,47

em,1
eme,1
kes,1
esi,2
sii̯,1
ii̯i,1
sie,2
ies,2
esa,13
a്a,4
്ai̯,3
ai̯
,4
i̯
n̪,1

n̪a,59
്juː,15
juːj,1
uːjoː,1
joːɾ,1
oːɾa,27
ɾa്,67
്
ʈ,1

ʈa,2
്ɾuː,7
ɾuːs,1
uːsa,1
laേ,74
ോʋ,3
ാʋa,4
ɦaːn,9
aːns,7
saɳ,2
ോm,8
ാma,7
lim,2
imi,17
mit,1
iṯ,27
̱aɖ,12
aɖa,20
fif,1
ifa,5
fa്,24
ʋan,476
juː
,5
uː

,2
mar,42
arp,50
rpa,54
paɳ,17
m

,32


i,12
jil,252
ileː,146
leːk,152
eːka,268


a,20

at̪,136
t̪iʃ,7
iʃa,141
ʃaj,32
jak,66
kaɾ,190
ɾaʋ,191
aʋu,322
ʋum,335
aːʋeː,27
ʋeːʃ,34
eːʃa,45
ʃak,63
maːj,456
aːja,510
ɾas,19
amɡ,16
ɡam,60
ɲaːn,268
ʋaːj,43
jit͡ʃ,19
it͡ʃa,371
t͡ʃa്,558
a്t͡ʃ,541
്t͡ʃu,148
t͡ʃu
,52
u
k,36
rɟu,16
ോɾ,13
ാɾu,34
ɾut̪,58
t̪ar,13
n̪aʈ,31
aʈa,217
ʈat̪,100
t̪i
,37
i
a,18
t̪in,449
inaː,68
naːl,50
iʋi,77
eɻu,13
ɻut̪,6
ut̪i,44
jiɾ,86
iɾi,196
ɾik,336
kun,899
ara,110
raɲ,46
aɲa,129
ɲa്,189
്ɲi,24
ɲiɾ,20
ɾaɦ,141
aɦa,174
ɦas,19

im,1
laɳ,3
്ʈi,215
ʈin,14
n̪am,54
്mu,11
muʈ,21
ʋaɭ,56
aɭe,75
ɭep,4
epa,39
ോl,148
ാle,83
eni,45
nik,106
്ɾi,125
ɾij,130
jap,48
apa,348
ʈaʋ,21
aɭ
,92
ɭ

,12


e,9

eɖ,3
arɳ,13
rɳa,53
ɳaേ,24


aː,1

aːm,2
aːmu,4
mukʰ,22
ukʰa,32
kʰam,20
m
iː,8
asi,60
sid̪,6
id̪a,17
ʱaʋ,28
kaːʋ,10
്pi,148
pis,1
isa,42
saേ,10
ാɖaː,1
ɖaːj,1
mbʱ,53
ʋik,109
aːraː,7
raːm,1
aːma,49
mat̪,103
്t̪e,88
bʱiː,26
ʱiːʂ,8
്ma,156
ɦat̪,80
്t̪aː,175
t̪aːj,40
ɦin,3
a്d̪,149
്d̪uː,1
it̪i,21
t̪iɦ,7
iɦaː,6
ɦaːs,4
aːsa,112
sat̪,124
par,99
arʋ,15
rʋa,19
്ʋa,281
ʋat̪,64
d̪eːʋ,15
eːʋa,22
anaː,106
naːɡ,1
aːɡi,2
ɡiɾ,2
saːɦ,6
aːɦi,6
ɦit̪,17
ile,42
paɲ,14
്t͡ʃa,290
t͡ʃaɾ,13
‌n̪a,4
n̪an,29
ani,85
nip,9
n̪aŋ,8
aɭi,178
ɭil,179
ona,53
്n̪aː,138
n̪aːj,28
kaɳ,118
ɳak,13
kaːk,4
aːka,251
kap,63
ʈun,81
ʋal,49
ali,73
lij,46
nap,14
്ɾiː,17
ɾiːt̪,12
iːt̪i,16
aɖʱ,96
ɖʱi,175
ʱik,98
ikaː,27
kaːɾ,121
ad̪i,16
d̪ik,20
t̪aʋ,46
ena,501
n̪aːl,95
ʃa്,256
്ɾeː,24
ɾeːʂ,6
eːʂa,55
a്ʈʰ,13
്ʈʰa,9
ʈʰaʋ,1
ʂaj,9
n̪il,193
lan,30
nil,48
ilk,38
lka,58
ba്,88
്ɾaː,71
ɾaːɦ,8
aːɦa,26
ɦa്,76
maɳ,23
amaː,558
d̪aːr,5
aːrʃ,3
rʃa,9
ʃan,13
jaʋ,91
ʋas,156
a്t̪ʰ,164
്t̪ʰa,99
t̪ʰaj,10
aje,37
kas,4
sip,3
pit͡ʃ,43
്t͡ʃe,10
t͡ʃeʈ,8
ʈuk,104
ʋiʃ,150
്ʋaː,104
ʋaːs,75
api,4
pil,10
t̪aɲ,1
്ɟa,21
ɟal,7
ʋeːd̪,37
eːd̪a,37
d̪aŋ,21
്n̪i,236
n̪iʋ,15
ʋaj,120
ɖʱaː,61
ʱaːn,41
t̪aŋ,13
man,215
jip,6
pik,112
ɾakʰ,10
akʰa,11
kʰa്,24
jaːp,30
aːpa,51
pan,23
naŋ,29
pal,17
lat̪,60
at̪u,134
t̪um,135
ɭaɾ,35
aɾe,80
uja,61
jar,79
bʱi,55
ʱil,3
ilaː,51
laːʂ,1
ʂaŋ,11
ʃud̪,68
ud̪a,155
aːrd̪,10
rd̪a,20
leɡ,2
eɡa,2
ɡal,4
ʋit̪,104
jek,8
eka,51
kur,53
uri,42
rit͡ʃ,42
t͡ʃuɭ,14
paʈʰ,38
aʈʰa,7
ʈʰan,8
nat̪,91
ʃeːʂ,15
ʂam,45
kaʈ,92
aːʋi,105
naേ,41
ോʈ,213
ാʈu,64
laːd̪,5
d̪at̪,20
̱ej,56
ɾaʃ,14
aʃa,79
ʃam,62
saj,4
paെ,32
ൊʈ,34
ാʈa,78
ʈit̪,5
t̪er,4
eri,18
maɟ,1
aɟi,17
ɟis,3
്‌ʈ,8
‌ʈa,8
ോr,14
ാra,1
ram,15
reʋ,1
eʋa,2
are,2
ren,2
enʂ,1
nʂa,1
ɾaːt͡ʃ,1
aːt͡ʃa,11
്‌m,7
‌ma,2
aɳi,15
ɳis,2
̱ar,29
saːn,52
nsi,9
sis,3
a്s,138
്si,46
sim,15
ima,9
pij,2
ijaː,123
jaːt,1
aːṯ,67
̱is,5
oːfiː,4
fiːs,16
raf,3
afa,3
far,4
rt̪u,1
t̪ur,12
ɡaേ,5
ɾai̯,4
ai̯m,3
i̯ma,1
mam,66
ʋaːt,1
്sa,65
sai̯,13
juːm,1
uːmi,28
min,7
ini,47
nis,3
ɦai̯,2
ai̯p,5
i̯pa,4
ോf,1
ാfe,1
fet,1
d̪aɾ,8
aɾaː,76
ɾaːɲ,2
aːɲa,3
t̪iɖ,2
iɖʱ,33
ʱa്,125
t̪iːr,15
iːrt͡ʃ,14
rt͡ʃa,28
ajaː,101
jaːj,107
aːju,48
ɾad̪,30
ɖʱeː,4
ʱeːj,4
eːja,17
juɭ,61
t͡ʃil,35
ʱaːr,1
aːrm,1
kat̪,67
maːn,76
t̪aɾ,114
ʈaj,51
lap,13
ോɻ,39
ാɻu,37
ɻum,37
ʋaːk,48
kaːl,19
aːlu,43
aʈʰi,41
ʈʰip,19
kal,90
alu,36
luk,19
put̪,46
inu,57
്ɖi,20
ɖit,4
ṯu,47
̱uk,15
aɭu,326
ɭum,129
miʂ,2
iʂa,42
ɳar,11
ari,186
rim,3
imaː,32
aːɾu,81
ɾum,113
ark,60
ɾis,4
ോt̪,9
ാt̪a,10
t̪as,2
്su,18
suk,11
n̪aːɳ,29
t̪aേ,168
suʋ,2
uʋi,30
iʃeː,2
ʂak,11
aɾu,300
ʈam,52
ame,6
meʈ,1
ʋiʂ,10

it̪,27
ije,14
t͡ʃaേ,10
ോd̪,11
ാd̪a,8
t̪un,64
jaːt̪,25
mak,24
ɾiɦ,9
iɦa,12
ɦaɾ,17
kaɻ,46
ɻij,46
jat̪ʰ,22
at̪ʰaː,23
t̪ʰaːr,21
aːrt̪,44
്t̪eː,31
t̪eːk,22
kaːɭ,27
pin,42
്n̪iː,3
n̪iːʈ,3
iːʈu,3
aːla,80
laɡ,5
aɡʱ,5
ɡʱa,20
ʱaʈ,10
puɾ,34
uɾaː,5
ɾaːt̪,17
mum,6
uma,116
്pu,50
puɭ,4
aːɳe,36
ɳen,12
t̪eɭ,5
eɭi,41
ɭij,6
jik,48
kaːʃ,59
aːʃi,17
ʃin,1
naːt̪ʰ,4
aːt̪ʰa,13
t̪ʰa്,3
t̪el,7
elaː,2
laːm,76
aːmɡ,3
ʋaːd̪,6
ɾip,19
n̪iɾ,62
iɾu,76
ɾun,118
lum,217
ɭiʋ,4
iʋu,10
ʋuk,13
ɭuʈ,195
t̪uʋ,9
amu,74
muɭ,49
muːn,31
uːna,37
n̪aːm,12
n̪uːt,1
uːṯ,1
ṯaː,22
̱aːɳ,1
ʈil,63
laːɳ,17
്t̪ʰaː,29
t̪ʰaːp,10
aːpi,39
ɾup,16
a്ʂ,216
്ʂeː,39
aliː,1
liːl,1
iːli,4
ʈʰaŋ,2
sir,1
iri,1
rij,135
t̪aːɾ,4
ʃaɾ,48
uɳa,204
്ʈaː,68
ʈaːj,18
aːjeː,1
jeːk,12
kaːm,35

ɟu,1
ɟum,3
n̪aj,11
ars,1
rsuː,1
suːʈ,1
uːʈa,33
n̪ad̪,7
iɾa,89
ɾap,16
്paː,12
paːj,1
d̪rɨ,28
rɨʃ,20
ɨʃa,20
ami,104
mip,2
urn̪,1
rn̪uː,2
n̪uːl,1
uːli,2
lin,10
ɟiːn,1
iːna,15
്d̪i,3
d̪in,2
juɖ,12
uɖʱ,12
ʱiʂ,2
്ʈʰi,4
ʈʰiɾ,2
aːɟaː,18
ɟaːʋ,10
saɦ,33
ɦaേ,7
saːɾ,39
ɾat̪ʰ,11
at̪ʰi,5
t̪ʰij,3
ʋeːʂ,25
ʱaɾ,60
ɾit͡ʃ,45
laɭ,6
ɭit̪,7
t̪iʋ,4
iʋr,2
ʋrɨ,85
kau̯,4
au̯ɾ,4
u̯ɾa,3
ɾuʈ,154
paːɳ,8
്ɖa,10
ɖaʋ,4
i̯na,8
jaŋ,88
jud̪,27
ʱam,71
et̪i,9
t̪ir,7
t̪ʰat̪,16


k,2

ka,56
n̪uːf,1
uːfa,2
ɾaɲ,7
്t͡ʃi,59
laːs,2
laːt,15
̱in,31
̱aːl,1
aːli,23
̱aːn,3
aːni,68
laːʋ,35
ɡaːʈ,1
aːʈa,24
ʈij,55
ɾiːk,11
mis,12
