aː,44929
d̪,9822
i,69547
j,43708
l,29776
a,321925
്,154083
‍,31011
i̯,1764
ʋ,36007
m,52411
k,61796
ʃ,8164
u,87298
b,6765
ʱ,5653
uː,5038
s,12036
r,7577
ɨ,1140
ʂ,2998
ʈ,33966
t͡ʃ,18724
.,8938
p,30188
ɻ,2899
n,55865
ɾ,40260
n̪,35290
;,5764
t̪,47381
iː,7816
e,47468
ɭ,18757
ɳ,11590
t,10967
̱,10967
െ,5504
ാ,5626
eː,16127
ɖ,2989
,,2901
o,2817
ŋ,13607
t̪ʰ,987
pʰ,106
ɲ,8770
ɟ,3328
ɡ,4053
ɦ,7810
oː,19603
u̯,604
kʰ,546
f,1121
ൗ,488
?,430
േ,610
(,16
),16
!,18
ʈʰ,498
-,431
t͡ʃʰ,112
:,9
2,1
4,3
̯,1
“,6
”,5
6,2
‌,5
