de,3964
ev,5055
vaː,6865
aːn,18075
ne,7005
aːk,2811
kaː,8823
aːɕ,1420
ɕə,4057
və,16103
pr̩,134
r̩tʰ,129
tʰv,154
viː,2223
ni,1576
ir,1137
rm,3547
maː,6409
aːɳ,7158
ke,3163
el,9801
liː,4611
su,641
ur,1052
ru,2371
uv,363
aːt,7524
tiː,4814
iːl,4357
laː,18104
puː,822
uːr,974
rɳ,1074
ɳə,857
əp,1017
pɳ,223
ɳe,1346
ri,504
ik,1256
aːm,4608
miː,3070
ɦo,4609
ot,2923
iːv,679
ər,26127
aːɦ,9406
ɦiː,6821
iːɦ,537
nə,4502
əv,3673
vɦ,2360
ɦə,5315
ət,3823
te,6421
nd̤,555
d̤aː,756
aːr,7439
raː,14154
d͡ʑə,4245
əl,4613
əj,1185
d͡ʑ̤aː,1701
kl,532
le,10413
ɳi,3467
aːt͡ɕ,10020
t͡ɕaː,5884
tm,101
paː,5080
ɳj,1716
jaː,39450
aːv,7874
aːkʰ,570
kʰə,658
ɡ̤aː,738
aːl,11141
iːt,1450
taː,4464
ən,6806
nt,2457
tə,5983
bo,820
ol,868
ll,672
pr,3363
rə,7639
ək,3593
ov,357
vo,87
t͡ɕə,3904
əm,3481
mk,46
kuː,431
aːɡ,2436
ɡl,745
ɦi,1689
il,2977
tj,11667
kə,7212
əɭ,2369
ɭə,2533
kiː,1035
to,3004
aːŋ,1581
ŋɡ,2154
ɦe,5334
aːp,5169
aːs,4212
suː,784
uːn,6866
ve,2924
eɡ,182
ɡə,1654
ɭaː,1049
ɕaː,3009
di,2372
iv,1560
əs,2405
tr,2231
aɕ,767
ɕiː,2238
naː,8467
sə,5173
d̤j,581
aːɭ,1431
ɦaː,6870
pə,9793
əɦ,2341
ns,482
du,699
ub̤,275
b̤aː,1269
ɡɳ,176
kr,715
it,2632
nt͡ɕ,4183
t͡ɕj,8772
mə,7795
əd̤,815
jə,3891
əb̤,193
ɡiː,389
vr,600
ət͡ɕ,5696
kʰaː,1450
lə,1881
ɭe,913
as,2673
se,3102
nv,976
us,505
sr,2473
ɳiː,1315
ek,2729
kt,762
ɡo,660
oɭ,272
ko,1941
or,1050
rɖ,156
ɖiː,725
iːn,2027
is,2940
je,2645
ɡ̤ə,897
əɖ,1674
ɖl,560
ɖj,279
mi,1425
in,1368
niː,2929
iːs,683
b̤uː,194
uːm,180
lj,4058
ls,22
mu,2856
ud,900
dr,373
əɡ,2896
biː,402
iːd͡ʑ,191
eɳ,536
ɳaː,4433
aːर,546
ऱ,1278
़्,1278
्j,1187
sp,130
pʰə,450
aːɖ̤,592
ɖ̤o,63
əd͡ʑ̤,5
aːɖ,540
ɖe,1504
bi,114
ij,347
sl,730
rt,759
