
p,234
pr,685
ro,125
od͡ʑ,71
d͡ʑe,322
ek,343
kʈ,110
ʈə,193
ɡu,158
uʈ,95
ʈe,124
en,191
nb,78
bə,286
ər,2216
rɡ,181
ɡə,252
iːb,11
bu,44
uk,106
ऑpʰ,16
pʰə,72
də,238
b̤ə,128
əɡ,220
ɡv,46
və,1142
əd,218
ɡiː,85
iːt,117
taː,597
an,88
naː,868
aːm,376
mi,128
ik,222
dv,64
vaː,969
aːr,965
re,271
e
,825


,225

ɦ,106
ɦe,816
iːp,34
pu,197
us,71
st,201
tə,688
ək,647
vi,433
in,330
aːɕ,166
ɕu,43
ul,92
lk,22
kə,1096
aːɳ,1156
ɳi,896
ko,190
oʈʰ,25
ʈʰe,84
eɦ,80
ɦiː,711
oɳ,176
ɳaː,364
aːt͡ɕ,835
t͡ɕj,530
jaː,2613
aːɦ,1275
aːp,288
raː,751
aːs,587
saː,576
aːʈʰ,277
ʈʰiː,265

d͡ʑ,244
d͡ʑə,550
əv,318
əɭ,189
ɭə,247
əd͡ʑ,160
ɳt,136
te,621
ni,240
ir,156
rb,13
ən,892
nd̤,101
d̤ə,177
tu,345
um,176
mɦ,228
əॉ,91
ॉp,24
piː,32
ruː,177
ɕə,462
kt,237
de,234
euː,12
ki,217
nv,252
aː
,514

s,229
sə,929
əm,423
maː,967
aːv,342
iʂ,47
ʂʈ,129
rə,1174
kl,70
lp,48
pə,633
rv,415
aːn,1393
nj,84
aʈ,23
ʈiː,158
iːn,155
nn,182
nu,58
un,217
nɦ,86
ɦaː,378

j,104
ks,19
əɦ,343
ऑn,5
nə,440
əl,356
laː,636
aːi,36
n
,101

ɕ,58
ɕiː,131
iːr,97
rʂ,32
ʂə,29
dɡ,27

l,20
le,649
ekʰ,26
kʰə,90
viː,128
iː
,340

a,174
uv,30
aːd,115
eɖ,36
ɖv,22
ar,91
nॉ,2
ॉl,7
lɖ,8
ɖə,106
ə
,230
po,25
os,34
sʈ,39
ʈi,16
iŋ,30
ŋɡ,145
riː,224
iːkʰ,2
d͡ʑuː,31
uːn,477
#
,20
kaː,803
no,11
ov,14
vɦ,118
em,111
mb,40
ətʰ,26
tʰə,74
d͡ʑaː,321
ne,391
ev,292

i,50
ɡr,32
d͡ʑiː,120
b̤aː,125
aːʂ,19
ʂaː,33

v,105
rɳ,340
ɳə,145
nt͡ɕ,356
t͡ɕə,298
nk,2
oɖ,69
ɖi,12

*,4
**,20
paː,438
t͡ɕiː,229
su,72
ur,124
ru,101
aːt,934
*
,4
es,52
siː,15
baː,81
aːj,256
jr,4
rs,23
rm,137
it,463
al,10
ns,109
ət͡ɕ,187
vr̩,24
