

,343

ɔ,162
ɔd͡ʒ,149
d͡ʒɔ,902
ɔ୍,5693
at,253

d,74
dɔ,601
୍w,361
wa,203
ar,1457
ra,573
b̤ɔ,356
ɔg,168
gɔ,497
ɔb,445
bɔ,1840
ɔd,246
୍g,197
gi,86
it,663
ta,581
rɔ,3149
pɔ,1209
୍r,1284
ɔେ,944
ୋ,1058
ାd͡ʒ,99
d͡ʒe,356
ek,287
k୍,261
୍ʈ,334
ʈɔ,309
gu,258
uʈ,82
ʈe,89
en,102
nɔ,1897
ɔr,3055

i,26
ib,847
bu,94
uk,134
ap,271
ɔɳ,474
ɳɔ,673
eh,548
ha,590
ak,303
ku,806
ɔk,591
kɔ,2165
ɔl,183
lɔ,237
ri,1021
ip,180
pa,536
be,232
de,250
ei,53
ki,436
im,292
m୍,281
୍b,380
ba,927

e,297
hi,641
ɔn,1553
୍l,34
la,180
ai,219
in,481
n୍,465
re,1295
୍t,1630
tɔ,1254
୍b̤,76
b̤u,94
is,440
se,608
୍s,178
sɔ,2205
ab,228
bɭ,12
ɭi,104
nu,189
ud͡ʒ,58
d͡ʒa,525
aj,155
ji,53
pu,249
un,171
୍j,1107
jɔ,1192
ɔh,540

a,102
akʰ,87
kʰ୍,25
ja,299

l,15
le,127
ekʰ,157
kʰɔ,186
na,500
am,210
mi,101
ub,16
ad,105
sa,308
r୍,486
eɖ,23
ɖw,2
wi,23
୍n,119
ାl,32
୍ɖ,90
ɖɔ,124

p,162
ାs,43
ʈi,212
iŋ,66
ikʰ,52
d͡ʒu,137

d͡ʒ,269
es,173
si,360
ir,391
ut,155
t୍,438
୍p,115
di,242
he,239
ɔs,754
ns,89
୍k,702
|
,256

g,42
wɔ,155
ij,174

k,264
a
,228

b̤,51

m,206
mɔ,1510
ab̤,41
b̤a,250
ɔt,607
ru,425
u
,135
୍d͡ʒ,347
n
,41
ad͡ʒ,184
d͡ʒk,45
um,365
ma,902
eb,1064
ɔŋ,1188
ŋ
,23
kr̩,128
r̩s,127
s୍,614
୍ɳ,200
ŋɔ,377
ɔd̤,213
d̤i,114
nr,37
ାt͡ʃ,27
t͡ʃɔ,202
୍t͡ʃ,187
sr̩,39
ik,357
aŋ,190
ŋ୍,269
d̤ɔ,458
al,103
lେ,42

s,315
r̩t,151
aʈʰ,19
ʈʰ୍,1

n,86
ju,68
uj,4
ɔ
,469

ʈ,8
us,144
ାb̤,13
an,1107
aɳ,227
ɳ୍,83
ɔm,726
li,104
iʈ,41
ɖ୍,25
୍
,52
ɔɲ,68
ɲɔ,96
b̤e,16
iɳ,16
ɖi,92
ia,76

t,197
te,288
eɳ,61
ɳu,51
mũ,212
ka,494
୍m,428
​​,57
​r,2
ାm,19
aɲ,18
ɲ୍,20
as,462
it͡ʃʰ,168
t͡ʃʰi,277
i
,319
je,51
itʰ,150
tʰi,280
il,146
e
,441
eʈʰ,77
ʈʰa,202
୍ɲ,128
ɲa,100
kʰi,101
lu,33
hɔ,403
nl,6
aĩ,197
ep,78
pr,246
j
,29
ur,302
ାk,86
id,84
d୍,177
୍d̤,234
ɔtʰ,130
tʰa,222
bi,517
pi,131
sେ,4
ାɖ,19
br,102
g̤,75
̤ɔ,41
ɔʈ,107
ae,160
୍ʈʰ,22
ʈʰɔ,14
b̤i,102
୍d,250
du,146
ɔb̤,129
ɔp,120
jt,5
rk,15
up,185
ାg,81
eũ,141
ũʈʰ,49
bn,9
ag,129
ah,599
ue,74
el,52
l୍,38
t͡ʃa,69
aʈ,36
ʈa,62
ni,514
ɳa,107
ad̤,52
d̤a,108
tu,514
da,136
aɭ,78
mu,119
d͡ʒi,348
h୍,32
ɳi,128
ɔɭ,274
ed,32
ne,245
et,133
ut͡ʃ,86
t͡ʃ୍,110
ŋkʰ,15
kʰj,134
su,212
ud,115
kt,18
ɭɔ,218
eg,40
ge,9
ɔj,287
ti,841
pେ,3
ାpʰ,1
pʰe,32
eʈ,26
ɔʈʰ,50
ib̤,59
er,49
tm,7
uʈʰ,22
ାi,119
hĩ,238
uɭ,28
pe,21
at͡ʃ,14
t͡ʃi,148
sr,38
tʰl,3
ug,34
atʰ,10
eŋ,3
୍tʰ,198
tʰɔ,148
t͡ʃʰɔ,81
i।,10
od͡ʒ,1
tr̩,12
b୍,20
ɔt͡ʃ,16
ାd̤,40
hu,149
ga,58
୍̤,34
̤w,1
ɔt͡ʃʰ,67
dr̩,48
eu,70
ut͡ʃʰ,114
ul,42
ɔɖ,48
ud̤,3
ʈʰi,48
bt,23
jେ,10
ɳɭ,1
ɭa,40
ɔ଼,34
ɔkʰ,62
ɔpʰ,23
pʰɔ,82
nେ,19
ɖa,41
id͡ʒ,166
d͡ʒ୍,59
୍ŋ,4
tr,36
uh,104
hẽ,53
ẽ।,1
୍t͡ʃʰ,81
ub̤,30
g୍,46
em,272
p୍,56
au,61
kʰa,61
pr̩,48
iɔ,50
ାt,109
ାʈ,59
apʰ,7
pʰେ,3
me,170
pʰ୍,6
ũm,57
ɖe,32
eb̤,8
mr,9
it͡ʃ,75

b,97

।,10
ie,222
ipʰ,17
r̩tʰ,51
uɳ,137
ାd,7

d̤,19
d̤r̩,4
ukʰ,57
h
,12
ାr,119
eɭ,81
ɭe,79

r,22
ାn,26
uɖ,125
ɖ଼,99
଼i,105
aɖ,46
kʰ
,12
ɖu,7
sm,21
ke,116
t
,64
etʰ,12
rr,26
t͡ʃe,27
ʈ୍,39
rd͡ʒ,1
b̤େ,1
b̤j,1
ig,58
gl,27

u,39
ା
,4
ɔw,11
tʰm,1
kʰr,14

kʰ,14
sɭ,1
uɔ,44
lk,2
br̩,29
r̩d,78
ŋh,2
଼୍,1

h,88
̤u,4
୍pʰ,12
ed͡ʒ,11
d͡ʒn,3
r̩h,4
୍kʰ,17
ph,27
଼a,13
iɖ,14
iʈʰ,6
r
,52

tʰ,3
aɔ,3

ɖ,8
nm,3
rେ,15
utʰ,54
hr̩,73
n।,20
।
,55
kʰe,29
s
,21
jm,7
ĩ
,88
hɔ̃,46
ɔ̃r,2
ẽ
,15
̤r̩,9
r̩ɳ,9
ାb,3
ʈ
,3
d̤u,45
jp,3
ej,12
io,16
mk,54
mr̩,52
p
,6
d̤r,3
b̤t,1
iɭ,33
r̩p,4

​,10
​s,9
଼n,11
rp,1
̤a,15
t͡ʃʰa,90
ui,14
u।,2
nb,4
d
,6
ɔ।,17
id̤,19
hs,5
pʰi,4
ɳe,67
hã,7
ãm,1
̤r,8
b
,37
uŋ,16
t͡ʃu,21
ĩ।,3

t͡ʃ,21
​e,7
ɳɖ,1
jd͡ʒ,6
​u,3
ng,3
​g,2
uɲ,1

t͡ʃʰ,1
̤j,18
jr,4
ih,34
​k,5
ntʰ,8
​t͡ʃ,2
rd,7
t͡ʃʰu,6
uĩ,3
ɭ
,4
kk,6
ua,16
​d,1
rkʰ,9
bh,1
ʈu,5
​m,9
ɳk,9
kʰu,27
ɳ
,18
pʰa,32
et͡ʃ,6
t͡ʃn,10
we,13
b̤
,1
rt,24
nk,11
dr,3
hũ,6
ũn,1

ʈʰ,3
k
,17
nt,15
ɳr,11
ାh,3
​p,6
kĩ,1
ĩt͡ʃʰ,1
dk,2
jg,9
sg,16
d͡ʒେ,9
଼k,1
g
,5
rb,4
​t,1
ãn,6
pd͡ʒ,2
aa,14
gr,7
pʈ,1
m
,12
t͡ʃɭ,1
gk,6
d̤e,5
pt,2
e।,7
t͡ʃʰ
,5
kr,9
km,6
଼u,2
at͡ʃʰ,4
ାtʰ,3
pɖ,4
bm,2
ɔ̃
,5
୍।,2
ɳg,8
rɳ,13
st͡ʃ,1
nn,3
b।,4
ʈʰe,6
uã,4
iã,8
ãk,2
j୍,9
tʰ୍,7
pk,2
hk,2
ũ
,25
kʰk,18
sn,36
pʰu,12
aũ,3
ũs,3
mp,10
̤i,2
ãr,2
lr,2
ɭn,4
hr,5
ã
,2

|,6
tk,1
ʈʰ
,1
ũʈ,1
ାp,11
ĩl,2
jb,1
