

ɔ,19

ɔd͡ʒ,12
ɔd͡ʒɔ,106
d͡ʒɔ୍,420

dɔ,20
dɔ୍,286
ɔ୍w,280
୍wa,183
war,124
ara,176
b̤ɔg,50
ɔgɔ,110
gɔb,48
ɔbɔ,262
bɔd,56
ɔdɔ,101
ɔ୍g,141
୍gi,40
git,35
ita,46
pɔ୍,654
ɔ୍r,1059
୍rɔ,837
rɔେ,121
ɔୋ,944
ୋd͡ʒ,99
ାd͡ʒe,62
d͡ʒek,70
ek୍,84
k୍ʈ,81
୍ʈɔ,234
guʈ,61
uʈe,61
ʈen,64
enɔ,53
nɔb,60
bɔr,147
ɔrɔ,1790
rɔ୍,650
୍gɔ,141


i,3

ib,1
ibu,13
buk,16
uk୍,106
apɔ,74
pɔɳ,67
ɔɳɔ,337
eha,191
hak,51
aku,217
nɔk,47
ɔkɔ,295
kɔl,39
ɔlɔ,133
kɔr,1106
ɔri,519
rip,34
ipa,62
par,88
ari,105
rib,268
ibe,57
dei,21
eip,2
kim,168
im୍,197
m୍b,172
୍ba,228

eh,98
ehi,329
ɔnɔ,1288
nɔ୍,949
ɔ୍l,25
୍la,12
lai,26
ain,19
in୍,231
n୍r,2
୍re,77

ɔn,29
ɔ୍t,1173
୍tɔ,748
tɔr,104
ɔ୍b̤,39
୍b̤u,9
b̤uk,8
k୍t,91
ais,10
ise,16
sen,11
en୍,44
n୍s,65
୍sɔ,143
sɔr,200
tɔ୍,444
୍ta,92
tab,13
abɭ,12
bɭi,12
ɔnu,112
nud͡ʒ,15
ud͡ʒa,24
d͡ʒaj,18
aji,28
pun,45
bɔ୍,201
ɔ୍j,858
୍jɔ,812
jɔb,34
bɔh,47
ɔha,63
har,148

akʰ,9
akʰ୍,18
kʰ୍j,25
୍ja,206

le,1
lekʰ,17
ekʰɔ,23
kʰɔk,4
ben,2
ena,2
nam,51
ami,8
nub,3
uba,3
bad,17
adɔ,14
dɔk,8
sar,30
ar୍,296
eɖw,2
ɖwi,2
win,4
r୍n,3
୍nɔ,81
nɔେ,7
ୋl,32
ାlɔ,10
lɔ୍,16
ɔ୍ɖ,31
୍ɖɔ,42

pɔ,105
pɔେ,13
ୋs,43
ାsɔ,31
sɔ୍,716
ɔ୍ʈ,87
୍ʈi,62
ʈiŋ,2
tar,72
rikʰ,4
d͡ʒun,63
un୍,27

d͡ʒe,75
d͡ʒes,1
esi,4
bai,2
air,5
ir୍,70
r୍s,11
ut୍,115
t୍p,19
୍pa,14
pad,19
adi,11
dit,19
hen,2
nɔs,27
ɔsɔ,538
sɔn,183
ɔns,54
nsɔ,66
ɔ୍k,422
୍kɔ,480
rɔɳ,175
|

,61



,247


g,4

gi,5
୍wɔ,153
wɔr,73
gij,18
|
k,22

ki,88
ba
,46
a
b̤,7

b̤ɔ,29
ta
,39
a
m,16

mɔ,115
mɔh,60
hab̤,4
ab̤a,12
b̤ar,30
arɔ,138
rɔt,136
ɔtɔ,338
ɔru,139
ru
,22
u
ɔ,6
