no,18077
pɾ,5705
ɾi,5704
in,10142
nk,1753
ki,248
í,4645
́p,428
pi,1399
io,3513
kɾ,820
ow,18897
wu,10772
de,4959
ew,19624
wʃ,8250
oʃ,42014
ke,608
é,11029
́u,482
uʃ,1235
tɛ,24549
ɛʁ,3552
ʁɐ,7284
ɛɾ,25046
ɾɐ,24738
sɛ̃,777
fo,4291
oɾ,26122
ɾm,1893
mɐ,11499
vɐ,5572
ɐz,6151
zi,2497
iɐ,10050
hɐ,1749
ɐv,6337
vi,8395
tɾ,8386
ɾɛ,11537
ɛv,2947
ɐʃ,29459
so,7463
ob,4191
bʁ,4240
ʁɛ,11973
fɐ,4369
zɛ,10389
do,32220
ɐb,5718
bi,2705
iʃ,11933
ʃm,688
mo,10602
ɛʃ,28843
ʃp,2906
́ʁ,2616
ʁi,3186
it,5047
to,19630
dɛ,38590
pa,1387
aj,6720
jɾ,3254
dɐ,20164
á,13648
́ɡ,628
ɡɐ,4883
di,10992
ʃs,10788
sɛ,27004
ɐʒ,1532
ʒɐ,2085
lu,1483
uʒ,781
ho,3197
uv,1934
vɛ,6534
iw,1123
kʷɛ,19645
bo,2329
wɐ,1167
fɛ,4263
ɛʒ,3214
ɛp,1595
pɐ,12325
ɐɾ,28323
ɐç,3694
çã,2693
ão,19109
ɛn,27322
nt,22274
kɐ,16717
ɐm,8804
�ʃ,257
wi,6302
tɐ,17069
ɾd,3898
mɐ̃,347
ɐ̃ã,351
im,3570
mɛ,12191
ɛj,16228
ɾo,7883
fi,8882
iɾ,5956
jo,1236
po,16431
ʃt,13356
vɐ̃,925
ɛb,2132
ba,530
jk,896
ks,1410
si,7074
sĩ,1837
ɐo,5412
ɛɡ,2951
ɡn,1425
nd,12014
ʒu,3176
un,2571
ɛm,4307
ms,409
nũ,324
ʃo,244
ó,4203
uɡ,868
tã,2762
ɐp,1516
ɛç,894
çɐ,3043
ɛl,17002
lɛ,15146
ɛk,1503
ko,16683
bõ,177
od,6491
du,1136
uz,2032
zɐ,6563
lv,424
ɾv,2219
ê,1750
̂ɛ̃,37
ʁv,130
vo,8254
fɾ,452
ɾu,1574
ut,1619
ti,7359
́f,194
su,6012
uɐ,6753
pe,564
́s,1386
iɛ,1065
nɐ,11768
ɾs,843
um,2702
mi,5782
ɾɛ̃,895
ʒɐ̃,165
na,187
jʃ,5415
çõ,803
õɛ,1146
ɐn,15582
ɐl,12063
ɡɾ,1638
ɐj,678
ɡo,3512
ov,3222
ɾn,1662
mb,2399
be,1535
lɐ,8833
ô,1132
̂ʃ,806
ɾt,5302
zɐ̃,52
iv,2029
wɛ̃,18
on,9561
ns,3949
st,680
ɐʁ,897
ka,1738
ɾɐ̃,5431
bu,858
bɛ̃,767
ɛ̃ç,427
ço,1307
wo,238
ow̃,65
iz,3907
if,1204
ik,2926
mu,2535
ul,2635
lt,2466
ip,590
pl,739
li,4404
jv,275
kɛ,1205
ikʷ,261
kʷi,1183
ni,3287
ma,1413
dõ,207
õe,39
ʁe,359
pt,25
ʒɛ,3601
nʃ,1954
om,9520
mɛ̃,1273
sɐ,7575
ʒɛ̃,200
nf,929
lɐ̃,487
ɐ̃ç,1112
nɛ,3280
pɛ,7623
il,7581
jt,2141
jɐ,775
tɐ̃,270
ɐd,12824
zɛ̃,426
ɐk,2735
kɐ̃,235
ha,630
ʃã,1256
tu,5317
ud,2092
uj,1266
ɛs,1319
bɐ,3214
kõ,3654
se,6199
ʁs,550
mp,2948
ɛt,3143
ʃe,1374
́t,471
ʃk,2037
ɾkʷ,1619
iʒ,1446
jn,1332
nu,1053
