
ə,309
əɡ,292
ɡɪ,178
ɪɑ,813
ɑt̪,267
d̪ʊ,248
ʊɑ,195
ɑɾ,1133
ɾɑ,721
pə,660
ɡʋ,30
ʋə,355
əd̪,560
d̪ə,238
ɡi,138
it̪,172
t̪ɑ,482
d̪i,722
p੍,393
੍ɾ,628
ɾo,269
od͡ʒ,107
d͡ʒɛ,86
ɛk,153
kə,1200
əʈ,240
ɡʊ,167
ʊʈ,71
ʈe,87
en,84
nb,67
bə,378
əɾ,2135
ɾə,1247
ik,58
kɪ,426
ɪt̪,237
ɑb,67
b
,20


,225

ɪ,258
ɪɦ,424
bɪ,62
ɪn,129
nɑ̃,181
ɪs,597
se,130
ki,268
im,47
mə,427
ət̪,1583
d̪e,1090
t̪e,1193
nɑ,756
ɑl,592
ʋi,196
ɾt̪,140
t̪õ,311
li,479
ɦɛ,1145
ɛ
,608

l,28
lə,225
ɡp,5
ko,171
oi,114
pɑ,274
bə̃,68
ə̃d̪,113
iɑ̃,328
nə,497
əɦ,786
ɦĩ,279
ĩ।,3
t̪ʊ,205
ʊs,342
sĩ,124
sn,70
nũ,808
kɑ,316
ɑp,447
pi,77
sə,924
ək,367
kd̪,90
ɦo,442
d͡ʒɑ̃,270
ɑ̃
,116
lɑ,206
ɑɪ,143
sɛ̃,9
ɛ̃s,8
ʃə,280
t̪ɑ̃,75
t̪ə,486
ɦɪ,238
mʊ,121
ʊɽ,45
ɽʋ,3
o
,191
ɔn,4
nl,5
ɑi,134
in,54
n
,257

s,257
sɪ,169
ɪɾ,304
ɾl,38
le,162
ekʰ,142
ɑ
,478
kʰə,105
t̪
,60
ən,1165
nʊ,92
ʊʋ,3
ʋɑ,415
ɑd̪,135
ɛɖ,12
ɖʋ,4
ʋɪ,771
ɾn,132
no,14
ol,106
əɖ,42
ɖ
,10

p,186
po,33
os,32
mɪ,114
t̪i,324
d͡ʒu,15
un,14
ib,13
bʊ,64
ʊkː,123
#
,22

ɾ,37
ɾɪ,255
ɪl,180
iz,40
əʋ,283
ʋə̃,45
ə̃b,19
d͡ʒə,259
nʋ,10
ɾi,348
ɑʃ,64
ʃɑ,118
ə̃ɡ,119
ɡə,157
ɾe,531
ez,36
zi,8
i
,214
əkː,206
kːʰ,277
ʰə,71
sɛ,24
ɛʈː,10
ɪ̃k,7
oɖ,9
ɖɪ̃,2
ɪ̃ɡ,14

*,4
**,20
ʃʊ,47
ʊɾ,139
ɾu,120
uɑ,8
*
,4
nɪ,199
ɾm,77
əl,281
sə̃,225
ə̃s,80
kɾ,18
əɳ,354
ɳ।,6
।
,266

d̪,68
d̪
,16

ɡ,47
ɛl,20
es,25
sʈ,12
ʈi,84
iə,15
l।,6

d͡ʒ,274

m,226
ɦɑ,263
ɪt͡ʃ,88
t͡ʃõ,6
õ
,13
ɾd͡ʒ,72
d͡ʒʊ,80
ʊn,144
t͡ʃk,21
ɪkː,235
ʋt͡ʃ,1
t͡ʃə,148
oɳ,67
ɾk,40
ke,139
e
,187
ɑd͡ʒ,128
d͡ʒk,57
kʊ,198
ʊm,76
mɑ,481
ɾʋ,36
ʋʊ,6
ʊt͡ʃː,61
d͡ʒi,137
iʋ,146
ʋ
,4

k,248
k੍,78
ɪʃ,203
up,58
ɑʈʰ,4
d̪ɪ,216

n,89
l
,64
n੍,128
੍j,1
ju,6
jo,83
ok,31
k
,18

ʈ,9
ʈə,54
ɾs,16
lo,49
oʋ,53
ɛn,129
ns,3
ɛ̃ɖ,3
kõ,1
õb,1
bɑ,146
lɪ,82
ɪ
,1
pə̃,19
ə̃d͡ʒ,31
ʋĩ,2
ɛʋ,6
ʋe,166
ɪu,12
u
,19
əm,552
