
əɡ,7
əɡɪ,26
ɡɪɑ,150
ɪɑt̪,10
d̪ʊɑ,159
ʊɑɾ,158
ɑɾɑ,226
pəɡ,38
əɡʋ,26
ɡʋə,24
ʋəd̪,24
əd̪ə,46
d̪əɡ,39
əɡi,54
ɡit̪,31
it̪ɑ,96
p੍ɾ,393
੍ɾo,97
ɾod͡ʒ,85
od͡ʒɛ,85
d͡ʒɛk,86
ɛkə,129
kəʈ,129
ɡʊʈ,67
ʊʈe,67
ʈen,68
enb,67
nbə,67
bəɾ,109
əɾə,379
ɾəɡ,129
ikɪ,13
kɪt̪,45
ɪt̪ɑ,55
t̪ɑb,33
ɑb
,19
b

,14


ɪ,6

ɪɦ,68
bɪn,38
ɪnɑ̃,43
kɪs,110
ɪse,77
kim,4
imə,8
mət̪,31
ət̪e,891
nɑl,316
ɪt̪e,12
ʋəɾ,46
əɾt̪,108
ɾt̪õ,10
ɦɛ
,606
ɛ
l,10

lə,8
ləɡ,21
əɡp,5
ɡpə,5
koi,102
pɑb,2
ɑbə̃,2
bə̃d̪,20
ə̃d̪i,4
d̪iɑ̃,130
nəɦ,278
əɦĩ,277
ɦĩ।,3
t̪ʊs,103
ʊsĩ,102
ɪsn,35
snũ,47
kɑp,35
ɑpi,41
kəɾ,713
sək,120
əkd̪,86
kd̪e,34
d͡ʒɑ̃
,7
ɑ̃
ɪ,8

ɪs,93
lɑɪ,24
ɑɪs,16
ɪsɛ̃,7
sɛ̃s,7
ʃəɾ,44
ɾt̪ɑ̃,26
t̪əɦ,6
əɦɪ,166
ɦɪt̪,41
mʊɽ,23
ʊɽʋ,3
ɽʋə,2
ɾət̪,119
ət̪õ,2
əɾo,112
ɾo
,44
o
ɪ,22
ɔnl,4
nlɑ,4
lɑi,12
ɑin,12
in
,7
n

,6



,91


s,9

sɪ,33
sɪɾ,43
ɪɾl,31
ɾle,34
lekʰ,24
t̪ɑ
,49
ɑ

,3


l,1

le,1
ekʰə,20
kʰək,3
ɑt̪
,3
t̪

,2


ə,20

ən,9
ənʊ,67
nʊʋ,3
ʊʋɑ,3
ʋɑd̪,14
ɑd̪ə,11
d̪ək,1
səɾ,79
ɛɖʋ,4
ɖʋɪ,4
ʋɪn,13
əɾn,108
ɾno,4
nol,4
olə,7
ləɖ,7
əɖ
,4
ɖ

,3


p,10

po,5
pos,6
osə,10
səʈ,17
ɾən,214
mɪt̪,11
ɪt̪i,15
d͡ʒun,1
ibʊ,2
bʊkː,2
#
ɾ,1

ɾɪ,6
ɾɪl,1
ɪli,7
liz,1
nəʋ,25
əʋə̃,2
ʋə̃b,1
ə̃bə,6

pə,76
pəɦ,67
ɦɪl,42
d͡ʒən,102
ənʋ,3
nʋə,2
əɾi,94

pɑ,21
pɑʃ,7
ɑʃɑ,6
ə̃ɡə,22
ɡəɾ,26
əɾe,58
ɾez,4
ezi,5
zi
,1
i

,5

əkː,2
əkːʰ,136
kːʰə,60
ʰəɾ,10
sɛʈː,9
ɪ̃ko,1
koɖ,2
oɖɪ̃,1
ɖɪ̃ɡ,2
ʃʊɾ,21
ʊɾu,24
ɾuɑ,8
uɑt̪,8
nɪɾ,74
ɪɾm,6
ɾmɪ,11
sə̃s,77
ə̃sə,24
əkɾ,6
kɾə,12
ɾəɳ,21
əɳ।,2
ɳ।
,4
।

,68


d̪,2

d̪
,1
d̪
ɡ,1

ɡi,2
sɛl,2
ɛle,4
les,2
esʈ,2
sʈi,2
ʈiə,9
iəl,2
əl।,1
l।
,4
।
d͡ʒ,22

d͡ʒɑ̃,30
ɑ̃
p,12
ɑ
m,36

mə,34
məɦ,66
əɦɑ,71
ɦɑp,3
ɑpɑ,5
pɑɾ,37
ɑɾə,113
