
,3342
ə,10528
ɡ,1262
ɪ,4988
ɑ,8971
t̪,4506
d̪,4519
ʊ,2684
ɾ,6024
p,2582
ʋ,2429
i,4007
੍,958
o,1891
d͡ʒ,2123
ɛ,1714
k,3586
ʈ,654
e,5181
n,4544
b,1066
ɦ,4884
ɑ̃,1992
s,3368
m,2841
l,2166
õ,485
ə̃,1017
ĩ,415
।,449
ũ,926
ɛ̃,278
ʃ,940
ɽ,297
ɔ,184
kʰ,526
ɖ,375
u,567
kː,565
#,74
z,242
ʰ,518
ʈː,106
ɪ̃,230
*,28
ɳ,1172
t͡ʃ,769
t͡ʃː,629
ʈʰ,71
j,186
lː,106
t̪ː,493
sː,73
t͡ʃʰ,83
ẽ,167
d͡ʒː,14
ɡː,65
pʰ,288
ʊ̃,287
t̪ʰ,164
d,28
̪,47
f,66
d̪ː,18
ɔ̃,6
ɖː,48
t,19
​,20
x,13
zː,3
pː,48
ɣ,3
ʋː,2
bː,21
—,2
=,2
&,1
ɲ,3
ʃː,3
/,13
%,1
@,1
$,2
