na,25190
at͡ɕʲ,1638
t͡ɕʲa,2088
alʲ,4894
lʲe,10212
so,5200
ot,14889
tv,7002
vo,21685
orʲ,3030
rʲi,8959
il,7079
bo,7094
oɡ,9987
ne,16704
eb,1442
zʲe,2861
em,9421
mlʲ,2640
lʲu,2318
u.,1387
lʲa,4138
ʒe,6309
bɨ,5156
ɨl,2048
la,10140
bʲe,4088
ez,1400
zvʲ,639
vʲi,6984
id,1924
dn,4071
pu,1967
us,3594
st,13160
ta,8890
a,,8974
tʲm,66
ma,3960
ad,3673
zd,653
no,12319
ou,3041
u,,4351
du,4758
ux,725
oʒ,3392
ʒi,3944
iи,2272
й,17983
osʲ,2007
sʲi,3863
lsʲ,1413
sʲa,6907
od,10362
do,8054
sk,6642
ka,10910
az,6586
za,9062
al,10819
ɡ:,31
da,11906
bu,3528
udʲ,4054
dʲe,13010
et,10314
svʲ,1978
vʲe,11409
t.,409
ls,10
uvʲ,611
idʲ,1682
el,7474
t,,1693
t͡ɕʲt,4605
to,19095
on,10840
xo,2655
or,9132
ro,14093
oʂ,1854
ʂ,,119
tdʲ,112
elʲ,4894
lʲi,16035
mɨ,1276
ɨ.,346
zv,1217
va,10098
m,,3147
mu,5526
ot͡ɕʲ,2170
t͡ɕʲu,567
et͡ɕʲ,1975
t͡ɕʲe,4388
er,6772
r,,355
lo,10167
ut,3152
tr,2106
o:,289
enʲ,1208
odʲ,6795
dʲi,5536
in,5750
n.,313
tvʲ,1828
rdʲ,153
po,21997
os,14956
srʲ,356
rʲe,12219
edʲ,1686
dɨ,1703
ɨ,,1527
ae,2693
oz,2405
dʲ,,540
ko,13543
ra,15816
aa,2597
dt,28
dʲu,26
ak,6444
k.,133
om,7888
m.,1227
vt,187
oи,5380
̆.,761
obʲ,910
erʲ,3003
tsʲ,2015
mʲe,8202
es,7636
o,,4756
ja,4125
avʲ,4560
it,4327
su,1522
uʂ,1560
ʂa,2028
a.,2824
ʂu,487
eu,1426
ob,5133
br,2489
an,7928
ni,17711
ie,5629
mo,8065
rʲa,1938
amʲ,3259
mʲi,6022
i.,1309
ɡ,,159
ʂo,244
o.,1616
pr,4363
oi,5480
iz,7000
zr,2480
as,4943
stʲ,5995
tʲi,6204
nʲ,,393
av,4575
vu,2016
sʲe,10878
uɕː,1355
ɕːu,341
uu,1359
emʲ,1981
mʲa,1270
ev,3816
pl,701
ovʲ,4962
oe,6857
e,,4479
prʲ,7683
aɕː,1851
ɕːe,2623
ee,2472
sv,3751
d,,546
je,12404
eɡ,11460
ɡo,27400
e.,1480
trʲ,2106
etʲ,1872
ud,2908
ebʲ,3631
sn,1269
dlʲ,1760
en,13194
ia,4695
t͡ɕʲi,2429
i,,4207
zn,1701
̆,,2612
vrʲ,586
n,,1122
eи,5609
ov,11066
v;,138
ilʲ,6249
lʲn,1214
ik,3324
itʲ,4457
dv,886
ikʲ,663
kʲi,4471
e:,433
olʲ,3471
lʲʂ,256
ʂe,3940
up,1107
vlʲ,1088
nʲʂ,32
ɨ;,263
ix,7268
atʲ,6146
rt,1311
tɨ,4627
ɨи,2447
sm,482
ɨk,319
au,2519
ɕːi,1866
xsʲ,103
iv,2770
u;,745
ptʲ,276
it͡s,1660
t͡sɨ,503
tʲa,1641
at,3669
rɨ,3388
ɨb,66
ʂi,3279
vsʲ,4843
ku,1818
tn,934
nɨ,5252
ɨx,2445
x,,2672
t͡su,422
pʲe,2557
rn,736
tu,1766
bl,1347
aɡ,1953
sl,4432
a:,1051
tʲe,10093
esʲ,2550
zm,168
mn,2806
ʒa,1326
aи,2052
̆tʲ,958
sʲ,,334
ap,955
ol,4788
ln,676
ax,2593
pʲa,700
v,,1250
ɡa,2440
x.,1070
ex,1631
xɡ,11
im,5018
ek,1856
zu,443
aʂ,2250
bʲi,1509
iu,1638
,i,126
vl,384
ɨt͡ɕʲ,170
ba,993
rs,929
skʲ,1535
imʲ,2424
t͡sa,5603
ɨmʲ,384
isʲ,2399
o;,898
uʒ,1625
ʒt͡ɕʲ,56
nu,2793
nɕː,232
uи,223
akʲ,512
ɨm,1046
msʲ,101
am,5892
drʲ,132
evʲ,970
a;,1483
pʲi,1653
iɕː,910
usʲ,364
vk,78
sʲu,201
vn,1074
l,,913
sʲm,198
rʂ,394
ns,517
dʲm,111
ɨe,2058
l.,222
vʲa,2288
ib,2025
ozʲ,505
zʲi,697
is,4326
sx,296
ʒdʲ,508
ii,2199
ɡd,1872
sp,8040
ar,4917
k,,627
eɕː,720
sɨ,4602
dʲa,722
zdʲ,257
lɨ,1040
ɨv,1025
pa,2038
t͡se,1814
xa,1463
vd,382
un,340
ul,732
sa,4378
adʲ,1237
okʲ,152
kʲe,643
omʲ,685
zl,755
vɨ,5339
asʲ,989
ɨrʲ,248
ekʲ,483
fʲi,647
n:,132
btʲ,11
ɡdʲ,241
zo,1175
e;,757
bd,10
ks,81
s.,99
ɡi,1660
ʂ.,60
xʲi,675
ddʲ,48
lʲ:,17
otʲ,1447
ed,4073
ssʲ,514
irʲ,595
vf,24
fr,61
vzʲ,666
zʲa,885
ms,363
xr,557
eʂʲː,1196
tʲ,,540
iʂʲː,456
smʲ,491
rtʲ,247
tʲu,221
um,756
mrʲ,122
ʂʲː.,49
ɨtʲ,366
oɕː,238
ɕːn,92
oo,146
ts,644
nn,3648
t͡sn,2
ivʲ,442
arʲ,3556
mp,47
m;,567
ʂl,236
bn,524
krʲ,522
ep,715
pkʲ,33
n;,188
,v,51
kr,2230
k:,63
̆;,463
zɨ,655
tʲsʲ,615
tt͡s,829
epʲ,449
tʲ.,219
ɨlʲ,626
ɨdʲ,58
sʲ.,110
zmʲ,123
ɡ.,38
ʂʲːtʲ,71
u?,154
u:,1070
lʲk,375
umʲ,817
tk,531
ɡl,1149
kʒ,175
ʒu,435
uz,349
sʂ,74
ok,3718
sdʲ,1330
op,1113
oa,1909
ɨʂ,1213
ox,568
xl,35
eʒ,1735
ʒd,1460
zz,304
ɨ?,65
l:,753
ub,592
kt,931
ɡ?,8
tʲ?,54
ru,4803
a?,307
lʲs,412
klʲ,798
i;,654
t͡ɕʲrʲ,287
iʒ,369
vr,1404
aʒ,2093
bʲa,1679
rbʲ,87
ds,516
lu,2491
v:,202
bʲu,27
lt͡ɕʲ,153
t͡ɕʲt͡s,5
xlʲ,475
b,,55
ʂʲːsʲ,104
̆:,239
rʲu,493
s,,381
ukʲ,724
t͡ɕʲn,655
ɨs,648
zɡ,343
ɡn,1076
xʲe,587
ɕːa,843
̆sʲ,265
utʲ,715
ai,2868
io,1613
brʲ,348
et͡s,736
t͡s,,196
t͡s.,32
rv,256
uk,1329
zrʲ,312
rt͡ɕʲ,42
kl,465
tt͡ɕʲ,85
e?,190
slʲ,2238
dvʲ,556
ɡrʲ,688
t;,237
ss,793
ubʲ,908
lʲ,,145
̆?,98
l?,40
opʲ,420
ɨn,4858
rz,160
lʲt͡s,277
ʒn,806
sɡ,28
vs,912
dʲ:,217
tm,45
vʂ,833
d;,66
ir,1315
exʲ,127
af,872
fu,158
ɨ:,88
t͡si,86
ll,132
uv,194
iɡ,602
ɡr,621
ɡu,877
lk,156
t͡ɕʲo,120
m:,496
a!,210
ɨ!,23
mʲdʲ,106
if,429
f,,173
dr,1274
uɡ,1412
vmʲ,319
fa,1480
s;,89
dt͡s,1460
f.,48
mʲs,55
tʲs,109
r.,101
fo,280
ei,474
tʲdʲ,154
eʂ,755
ab,1530
dʲ.,193
afʲ,98
fʲe,415
zb,356
xu,396
tʲ;,159
vx,195
ʂlʲ,1010
rd,1155
blʲ,969
tlʲ,85
ea,871
iʂ,934
vt͡ɕʲ,270
ofʲ,108
r;,41
ɡe,572
ktʲ,147
vvʲ,131
rx,190
̆dʲ,838
x;,526
̆d,202
zʲmʲ,273
̆s,879
,a,13
plʲ,783
