
an̪,30
an̪aː,4
n̪aːm,16
aːma,113
mat̪,134
at̪eː,13
t̪eːj,4
eːja,4
jaɾ,124
aɾi,213
ɾin,50
pak,117
aka,327
kaʋ,194
aʋa,949
ʋat̪,274
kiːt̪,26
iːt̪a,32
t̪aj,570
ajj,947
jji,213
jin,174
t̪iʈ,82
iʈʈ,138
ʈʈa,473
kuʈ,74
uʈʈ,76
ʈan,263
anp,123
npe,60
peɾ,128
eɾk,61
min,51
inp,49
npu,35
put̪,106
ut̪t̪,304
t̪t̪a,560
t̪ak,129
kam,225
am
,199
m

,36


i,16

in̪,76
in̪t̪,298
n̪t̪a,623
en̪t̪,69
iʈa,223
ʈat̪,181
at̪t̪,778
t̪t̪i,592
t̪il,245
ilu,110
lum,270
t͡ʃel,76
ela,19
laʋ,44
aʋu,230
ʋum,143
ill,263
llaː,152
laːm,79
mal,63
eʋa,11
ʋaɾ,892
aɾu,229
ɾum,178
paj,91
aja,205
jan,39
npa,98
paʈ,701
aʈu,259
ʈut̪,162
akk,303
kkuː,32
kuːʈ,57
uːʈi,23
ʈij,118
ija,512
jat̪,153
at̪u,1168
t̪u
,542
u
k,41

ki,38
kiʈ,19
t̪aʈ,20
aʈʈ,432
kaʈ,217
ʈʈu,191
ʈup,87
upp,179
ppaː,78
paːʈ,75
aːʈu,53
ʈuk,183
uka,238
kaɭ,1886
aɭu,246
ɭum,68
lla,486
laj,523
n̪iːŋ,103
iːŋk,107
ŋka,704
at̪a,382
n̪ak,34
kal,104
ale,10
leʈ,10
eʈu,47
ukk,582
kka,767
alaː,59
kaெ,279
aொ,596
ொʈ,126
ாʈu,54
all,257
lat̪,211
aːm
,39
m
t̪,30

t̪i,57
uɾi,85
ɾim,45
ima,113
t̪in,156
ʋit̪,65
it̪i,52
t̪im,25
imu,26
mur,66
ura,138
raj,213
ajk,488
jka,203
aɭi,360
ɭin,192
kiːɻ,27
miːɳ,50
iːɳʈ,62
ɳʈu,201
ʈum,220
t̪aʋ,166
um
,275
m
i,47
kat̪,138
t̪t̪u,308
t̪uʈ,48
uʈa,333
aːnl,4
nla,4
ajn,14
jni,4
nil,31
il
,88
l

,10



,94


t̪,9

t̪a,64
t̪al,214
ala,222
ajp,234
jpp,111
ppu,209
aj
,206
j

,9


aː,2

aːt͡ʃ,10
aːt͡ʃi,30
t͡ʃiɾ,10
iɾi,106
ɾij,203
ja
,11
a

,6


m,4

ma,147
maெ,14
ொɻ,28
ாɻi,11
ɻip,30
ipe,3
pej,25
eja,125
aɾp,30
ɾpp,37
paːɭ,5
aːɭa,42
ɭaɾ,50
t͡ʃaɾ,90
eʈʋ,5
ʈʋi,4
ʋin,82
aɾn,5
ɾnaː,4
naːl,162
aːlʈ,5
lʈ
,3
ʈ

,3

iʈ,1
iʈu,67
kaj,267
t̪eːt̪,4
eːt̪i,5
d͡ʒuːn,1
#
ʋ,2

ʋe,21
ʋeɭ,78
eɭi,88
ɭij,43
ijaː,400
jaːn,209
aːna,583
n̪aʋ,1
ʋam,89
amp,108
mpa,76
paɾ,122

mu,42
mut̪,41
ut̪a,178
d͡ʒan,7
ana,509
naʋ,79

aːŋ,1
aːŋk,39
ŋki,69
kil,25
ila,166
moɻ,1
oɻi,2
ɻi
,4
i

,2


e,9

eɻ,2
eɻu,38
ɻut̪,43
t̪aெ,80
ொk,8
ாku,9
kup,18
kur,63
uri,35
rij,90
jaːk,123
aːkk,106
t̪at̪,179
aːɾa,73
ɾam,147
pam,65
***,7
**
,3
*

,2


d͡ʒ,2

d͡ʒeː,2
d͡ʒeːt͡ʃ,2
eːt͡ʃi,23
jja,369
aɾs,4
ajaː,19
jaːɾ,109
aːɾi,18
ɾit̪,24
it̪t̪,125
t̪uɭ,27
uɭɭ,191
ɭɭaː,7
ɭaːɾ,5
hej,2
eji,3
ins,2
nsi,2
sin,4
pat̪,247
at̪i,186
t̪ip,50
ipp,236
pu
,23
u

,23
t̪i
,24
i
p,7

paː,23
aːʈa,34
ʈal,60
las,1
asʈ,1
sʈa,6
al
,86
l
a,49

al,34
u
p,65

pa,94
j
m,22
mak,139
akaː,38
kaːp,31
aːpaː,5
paːɾ,144
ɾat̪,122
ili,84
liɾ,81
iɾu,643
ɾun̪,218
un̪t̪,250
n̪t̪u,318
u
a,110

aɾ,35
aɾd͡ʒ,64
ɾd͡ʒu,62
d͡ʒun,62
una,60
nan,25
ʈaj,336
jjeː,18
oɾu,152
uɾa,38
ɾaj,124
jjaː,211
jaːʈ,5
l
i,30
