ad̪,854
d̪ɪ,3163
ɪj,4428
jə,9081
əm,26130
md̪,3061
d̪u,2751
d̪eː,3543
eːʋ,2120
ʋʊ,2393
ʊɖ,5574
ɖu,6196
b̤uː,303
uːm,334
mj,61
ja,2536
ak,2648
ka,2844
aʃ,405
ʃə,2185
mʊ,12712
ʊl,13336
lə,18372
ən,27001
nu,25591
sr,76
ru,5264
ud͡ʒ,33
d͡ʒɪ,167
ɪɲ,4550
ɲt͡ʃ,5405
t͡ʃe,3873
en,8313
mi,528
nɪ,9053
ɪr,3380
ra,6216
ar,10560
rə,12542
ʊɡ,3715
ɡa,6606
an,7282
ʃuː,25
uːn,208
nj,540
um,520
mɖ,6875
ɖe,1229
t͡ʃiː,96
iːk,1162
kə,9902
əʈ,4413
ʈi,1716
ʌɡ,183
ad̪̤,604
d̪̤ə,1364
d͡ʒə,3226
əl,13804
mu,6442
pə,10554
əె,6296
ై,6296
ౖn,4309
nə,28199
mm,1178
mɪ,1670
jʊ,6445
ʊm,7694
ʊn,16733
ni,12763
at̪,1881
t̪m,83
mə,9821
əp,3897
ʌl,132
ll,1093
la,1221
aɖ,2193
ɖʊ,3054
ʊt͡ʃ,2164
t͡ʃʊ,4127
ʋe,1615
el,2338
lʊ,4192
ɡu,1069
ʊk,3983
əɡ,5066
lɪ,3392
ɪɡ,2820
ɡe,323
əɲ,338
t͡ʃɪ,3862
ɪd̪,1185
d̪ə,8543
ʈʈ,4237
ʈu,396
t͡ʃuː,860
uːt͡ʃ,641
ɡʊ,2522
ʈɪ,3021
ɪn,12327
ʋeː,1692
eːr,1369
rʊ,5537
ʊp,1320
ər,10590
ət͡ʃ,3340
ək,10515
ku,7120
ɡə,3853
ju,2380
ɪk,5335
ki,2714
t̪r,1968
ri,3482
ʌn,1768
peː,451
pe,1694
eʈ,924
ʈe,525
ʌs,57
st̪,1057
t̪ə,14325
əj,3888
ud̪,365
ok,2090
ma,4886
aj,3617
je,6147
rɪ,6356
ʊd͡ʒ,60
əd̪̤,554
d̪̤j,311
no,567
ʋɪ,3270
ɪʃ,519
ʃa,451
al,1895
ɡi,580
ke,325
t͡ʃeː,4887
eːs,2549
si,937
kr,475
ɪm,4193
d̪i,2213
miː,4545
iːd̪,2532
pr,3050
re,907
em,1564
ɖə,8137
əʋ,6366
ʋə,11835
ʊa,54
nd̪,1703
nʊ,7918
nn,4656
lo,176
t͡ʃoː,118
oːʈ,266
ʈə,4934
neː,2850
kuː,1215
uːr,1451
rt͡ʃ,729
t͡ʃə,1699
əb,1835
bə,5164
əɖ,5963
ɖi,2465
eːl,3382
ʃɪ,443
sə,4886
ʊd̪,1944
d̪r,702
ʌd̪,763
ɖɖ,266
ɖɪ,2539
ɪt̪,3158
t̪t̪,1384
ɪt͡ʃ,1961
t͡ʃt͡ʃ,3457
t͡ʃu,908
ʈl,1513
d͡ʒa,244
t̪i,809
loː,5091
pʰə,368
ʋr,367
uk,103
kʂ,1332
ʂə,1446
mo,455
ol,733
ɪp,1912
pɪ,3250
mp,2304
muː,722
uːɖ,1415
lu,5868
d͡ʒj,191
joː,786
oːt̪,680
t̪ʊ,1635
ʌʋ,263
ʋi,591
suː,136
mʋ,306
ət̪,4639
t̪s,336
ʊʈ,2526
ɡɪ,1661
ɡo,709
op,525
pp,4663
ed̪,1609
d̪d̪,2071
t̪ɪ,3084
se,1200
kʊ,5366
