ad̪ɪ,89
d̪ɪj,259
ɪjə,1119
jəm,2524
əmd̪,1863
md̪u,831
d̪eːʋ,1436
eːʋʊ,1114
ʋʊɖ,916
ʊɖu,2295
b̤uːm,254
uːmj,7
mja,9
jak,298
aka,249
kaʃ,149
aʃə,213
ʃəm,1282
əmʊ,10172
mʊl,4587
ʊlə,7817
lən,5386
ənu,6175
sru,19
rud͡ʒ,15
ud͡ʒɪ,15
d͡ʒɪɲ,85
ɪɲt͡ʃ,4546
ɲt͡ʃe,945
t͡ʃen,1485
enu,6844
uːmi,70
nɪr,560
ɪra,71
rak,343
kar,675
arə,1880
rəm,3398
mʊɡ,1160
ʊɡa,1807
ɡan,993
anu,1352
ʃuːn,1
uːnj,1
njə,220
umɖ,497
mɖe,673
ɖen,953
t͡ʃiːk,20
iːkə,110
kəʈ,709
əʈi,236
ʌɡa,8
ɡad̪̤,10
ad̪̤ə,103
d͡ʒəl,338
ələ,5553
ləm,1967
əmu,4604
pəె,233
əై,6296
ైn,4309
ౖnə,4145
kəm,617
əmm,318
mmɪ,10
mɪj,130
ɪjʊ,655
jʊm,986
ʊmɖ,3728
ʋʊn,653
ʊni,557
at̪m,70
t̪mə,73
ləp,193
əpə,1110
ʌll,80
lla,54
laɖ,235
aɖʊ,312
ɖʊt͡ʃ,238
ʊt͡ʃʊ,995
t͡ʃʊm,634
ʋel,193
elʊ,264
lʊɡ,791
ʊɡu,202
mmə,436
mən,2628
əni,4000
pəl,557
əlʊ,1206
lʊk,332
ʊkə,1004
kəɡ,52
əɡa,2680
kəl,1202
əlɪ,1237
lɪɡ,440
ɪɡe,113
ɡen,139
məɲ,180
əɲt͡ʃ,327
ɲt͡ʃɪ,1306
t͡ʃɪd̪,68
ɪd̪ə,266
d̪əె,184
nəʈ,970
əʈʈ,2292
ʈʈu,308
ʊɖʊ,305
ʊt͡ʃuː,19
t͡ʃuːt͡ʃ,581
uːt͡ʃe,42
ʊɡʊ,570
ɡʊn,552
ʊnu,7418
əʈɪ,421
ʈɪn,997
ɪni,3633
ʋeːr,128
eːrʊ,206
rʊp,87
ʊpə,334
pər,1546
ərə,3190
rət͡ʃ,678
ət͡ʃe,93
ʊnə,4596
nək,1887
əku,4445
pəɡ,747
əɡə,477
ɡəl,719
ənɪ,2070
nɪj,923
ɪju,1625
ʈɪk,600
ɪki,2576
rat̪,230
at̪r,320
t̪ri,89
ʌnɪ,43
peːr,331
eːru,370
peʈ,623
eʈʈ,783
ʈʈe,302
ʈen,214
ʌst̪,23
st̪ə,452
t̪əm,2386
əmə,3387
məj,113
əjə,1968
mʊn,4502
ud̪ə,238
d̪əj,399
ʊɡə,810
ɡəɡ,191
okə,1350
d̪ɪn,949
ɪnə,7011
nəm,2569
əma,983
maj,150
aje,275
jen,567
mər,1302
ərɪ,2644
rɪj,1245
ɖʊd͡ʒ,4
ʊd͡ʒə,41
məd̪̤,300
əd̪̤j,295
d̪̤jə,297
nok,78
ʋɪʃ,113
ɪʃa,31
ʃal,47
alə,569
ɪɡi,473
ət͡ʃʊ,307
t͡ʃʊn,1269
ɡak,246
akə,356
kən,1291
lɪk,265
ɪke,59
ken,67
t͡ʃeːs,1981
eːsi,671
krɪ,185
rɪm,420
ɪmd̪,77
md̪i,269
miːd̪,1787
iːd̪i,60
rəp,567
prə,2412
rək,1769
əka,400
rem,608
emɖ,880
mɖə,1471
ɖəʋ,842
əʋə,3431
ɖʊa,8
ʊak,2
rɪn,1314
ɪnd̪,119
nd̪ə,1701
d̪ən,1434
ənʊ,3032
nʊn,1557
ʊnn,2186
nnə,1941
lok,2
kət͡ʃ,34
ət͡ʃoː,19
t͡ʃoːʈ,117
oːʈə,146
ʈən,453
əneː,299
kuːr,206
uːrt͡ʃ,513
rt͡ʃə,58
t͡ʃəb,105
əbə,1474
bəɖ,1427
əɖi,401
arɪ,2060
neːl,154
eːlə,579
ənə,5831
nəb,485
əɖʊ,966
ɖʊn,1186
lək,1369
ʌni,400
lər,29
əra,221
raʃ,7
aʃɪ,20
ʃɪk,118
ajə,1118
jən,1150
səm,2030
mʊd̪,204
ʊd̪r,141
d̪rə,292
ʌd̪i,600
ɖʊɡ,418
ɡəɖ,100
əɖɖ,66
ɖɖɪ,51
ɖɪn,764
ʋɪt̪,375
ɪt̪t̪,441
t̪t̪ə,686
t̪ən,4408
ʊlɪ,39
lɪt͡ʃ,407
ɪt͡ʃt͡ʃ,905
t͡ʃt͡ʃu,117
t͡ʃeʈ,79
eʈl,133
ʈlə,388
uːmɪ,162
mɪm,361
ɪmiː,567
iːd̪ə,1508
d͡ʒat̪,31
at̪i,45
məl,151
əloː,1424
ʊlʊ,749
pʰəl,114
əmɪ,309
mɪt͡ʃ,100
ləʋ,937
əʋr,59
ʋru,184
ruk,93
ukʂ,93
kʂə,730
ʂəm,459
mol,20
olɪ,87
lɪp,490
ɪpɪ,257
pɪɲ,1213
ɲt͡ʃʊ,1442
t͡ʃʊɡ,14
pɪm,430
ɪmp,1411
mpə,1547
muːɖ,265
uːɖə,1052
ɖʊp,50
ɡəʈ,38
t̪rɪ,128
əʈl,879
ʈlu,934
ʃəʋ,62
əʋɪ,901
məm,1764
d͡ʒjoː,8
joːt̪,32
oːt̪ʊ,104
t̪ʊl,714
ʊlu,2610
ʌʋi,132
suːt͡ʃ,50
uːt͡ʃə,46
t͡ʃən,262
nəl,324
kal,512
əmʋ,302
mʋə,306
ʋət̪,830
ət̪s,313
t̪sə,325
sər,804
uːt͡ʃɪ,238
t͡ʃɪɲ,39
t͡ʃʊʈ,569
ʊʈə,1806
ʈək,1135
əkə,1620
kəె,367
mɖu,529
ʊɡɪ,28
ɡɪt͡ʃ,7
t͡ʃt͡ʃʊ,671
ləె,442
ɡop,150
opp,523
ppə,999
ʌnə,420
nəɡ,1140
eːlʊ,582
lʊʈ,21
ped̪,205
ed̪d̪,236
d̪d̪ə,1656
oːt̪ɪ,36
t̪ɪn,738
t͡ʃɪn,1967
ɪnn,620
əkʂ,662
ʂət̪,53
ət̪r,164
t̪rə,964
eːse,576
sen,498
elu,142
əkʊ,2005
kʊn,1260
ʋaʈ,770
aʈi,336
nʊɲ,50
ʊɲt͡ʃ,128
nal,208
alʊ,326
ɡəʋ,148
ʊd͡ʒiː,2
d͡ʒiːʋ,153
iːʋə,172
ʋəm,733
mʊk,137
t͡ʃəl,49
lɪɲ,80
t͡ʃʊʋ,206
ʊʋa,1379
aʈɪ,562
əmr,49
mru,115
d̪d̪̤ɪ,40
d̪̤ɪɡ,19
ɪɡa,561
pʊʈ,307
ʊʈʈ,506
ʈʈɪ,719
ʈɪɲ,218
pək,559
kʂʊ,49
ʂʊl,110
mɪp,4
ɪpə,364
ౖni,27
ʊloː,1910
eɡʊ,43
ɡʊr,145
ʊrʊ,223
rʊn,905
ləl,1382
rud̪,199
ud̪d̪̤,64
məh,146
əha,152
mət̪,83
t̪sj,1
sjə,47
ɲt͡ʃu,331
nən,3033
ənn,1460
nnɪ,815
nɪʈ,389
ɪʈɪ,361
d̪an,2393
ani,2216
rek,34
ekk,537
kkə,1275
rət̪,1121
ət̪i,450
kʂɪ,259
ʂɪn,19
miːr,1011
iːru,1054
ɲt͡ʃi,1086
ʌb̤ɪ,92
b̤ɪʋ,20
ɪʋr,29
d̪̤ɪp,235
ɪpo,33
pom,178
omd̪,398
nɪm,644
ɪmɖ,189
mɖi,1653
mɖʊ,805
ɖʊɖ,47
ʊɖə,2139
ɖən,1050
ʋɪs,160
ɪst̪,104
t̪ər,1310
rɪɲ,478
aʃiː,92
ʃiːr,92
iːrʋ,92
rʋə,293
d̪ɪɲ,144
ʌji,7
d̪əʋ,175
pəʃ,209
əʃʊ,191
ʃʊʋ,178
ʊʋʊ,509
ʋʊl,450
pʊr,341
rʊɡ,542
ɡʊl,221
ʌɖə,30
əʋi,195
d͡ʒən,1141
ənt̪,1146
nt̪ʊ,267
t̪ʊʋ,175
əli,268
apr,8
at̪ʊ,71
pra,469
aku,1054
ʌd̪ɪ,39
d̪ɪm,208
ɪmə,274
sʋə,117
ʋər,1310
əruː,22
ruːp,74
uːpə,148
pəm,1199
poːl,29
oːlɪ,43
t͡ʃop,325
ppʊ,2250
pʊn,553
nər,237
ərʊ,1860
rʊl,1277
t͡ʃeːj,1723
eːjʊ,962
jʊd̪,432
ʊd̪ə,109
d̪əm,403
ʋar,4831
arʊ,1903
rʊs,42
ʊsə,216
əpu,613
t͡ʃeːp,9
eːpə,33
məs,298
əst̪,467
mɪn,49
lʊd̪,287
ʊd̪ʊ,528
d̪ʊr,549
ʋan,1097
st̪r,392
t̪riː,224
riːn,40
iːnɪ,45
nɪɡ,213
ʊru,336
ʂʊn,46
ʊnɪ,393
ɡam,42
amiː,216
mɖɪ,639
ɖɪɲ,71
anɪ,1528
nɪn,1716
loːp,120
oːpə,242
t͡ʃʊk,736
ʊko,1995
kon,3466
onʊ,459
nʊɖ,234
ʊɖi,281
iːʋɪ,99
ʋɪn,547
lʊɖ,47
rɪt̪,316
ɪt̪oː,859
t͡ʃep,1452
epp,1571
ppe,394
pen,596
id̪ɪ,155
d̪ɪɡ,501
ɪɡoː,154
ʈʈʊ,770
ʈʊn,190
ʂəpʰ,10
əpʰə,34
kɪt͡ʃ,241
t͡ʃt͡ʃi,693
jʊn,1058
nna,862
nan,467
kah,1
aha,309
har,271
məɡ,241
əɡʊ,446
nʊm,2092
ɪkɪ,514
kɪn,408
iːʋʊ,100
pət͡ʃ,67
ət͡ʃt͡ʃ,1866
t͡ʃt͡ʃə,160
t̪an,569
eːsɪ,1287
sɪn,954
nəd̪,982
əd̪i,986
jaʋ,75
aʋə,551
ət̪t̪,297
t̪t̪ʊ,176
t̪ʊn,298
nəp,981
əpp,1305
pʊɖ,1636
t͡ʃal,73
ɪd̪ɪ,86
ɪɡə,151
rəʋ,634
ʈɪl,267
ɪloː,959
loːn,1540
oːnʊ,1201
əmuː,171
həm,248
əmp,814
mpuː,19
puːr,142
uːrt̪,20
rt̪i,7
eːjə,1063
jəb,258
əɖe,283
pən,497
jeːɖ,160
eːɖə,119
ʋəd̪,488
əd̪ɪ,672
loːɡ,39
oːɡa,111
rt̪ɪ,86
t̪ɪt͡ʃ,17
ɪt͡ʃeː,286
nt̪ə,1145
t̪əʈ,479
ɪnʊ,189
ɪʃr,81
ʃrə,84
mɪɲ,216
kab,315
abə,321
bəʈ,694
ʈʈi,852
rɪʃ,244
ɪʃʊ,238
ʃʊd̪,264
ʊd̪d̪̤,588
d̪d̪̤ə,628
d̪̤əp,125
ləj,411
nɪl,615
ʈɪj,128
ɖəె,1716
jeh,3616
ehoː,3574
hoːʋ,3163
oːʋa,3302
ɲt͡ʃə,282
əɖɪ,1066
ut̪p,1
t̪pə,15
pət̪,320
t̪t̪ɪ,179
t̪ɪk,226
ɪkr,32
krə,85
id̪eː,28
d̪ɪʋ,124
ɪʋə,812
pol,218
olə,307
ənd̪,1350
d̪əl,742
lɪj,431
ɪjeː,68
pod̪,61
od̪ə,291
əju,442
ɖəl,1185
əleː,546
leːd̪,438
eːd̪u,343
ʋəl,2700
anə,759
kʊr,38
ʊrɪ,54
rɪp,214
seːd̪,8
eːd̪j,126
d̪jə,151
jəp,296
ʌjɪ,533
jɪt̪,446
ɪt̪eː,344
aʋɪ,38
ʋɪr,120
ɪri,1686
leːt͡ʃ,239
eːt͡ʃi,193
t̪əɖ,1846
ɖɪp,173
ɪpe,174
əmʈ,380
mʈɪ,492
ʈɪt̪,62
ɪrm,68
rmɪ,7
nas,11
asɪ,72
sɪk,1044
ɪka,126
rən,656
ənd̪̤,336
nd̪̤r,12
d̪̤rə,12
ʋəʋ,99
əʋa,1053
ʋaj,94
ajʊ,95
jʊʋ,103
uːd̪ə,13
d̪əɡ,295
rʊɖ,951
iːʋa,12
ʋat̪,667
t̪uːr,96
uːrp,107
rpʊ,96
eːd̪e,17
d̪en,51
enʊ,382
nʊl,1147
t̪oːʈ,66
ʈəʋ,128
əʋeː,246
ʋeːs,364
uɲt͡ʃ,214
t͡ʃuːp,78
uːpu,7
əmj,12
mjə,10
məె,1063
nəె,767
ʈəm,120
t͡ʃeɖ,111
eɖɖ,36
ɖɖə,186
t̪el,700
elɪ,526
lɪʋ,64
ɪʋɪ,115
ɪnɪ,300
nɪt͡ʃ,240
ʊpʊ,114
bəj,530
jəl,649
əlu,855
d̪eːr,260
eːri,206
ʌkk,305
kəɖ,896
əɖə,1216
t͡ʃiːl,25
iːlɪ,10
ɪpoː,618
poːj,1094
oːji,414
ʃakʰ,29
akʰə,3
kʰəl,12
əla,235
laj,29
mod̪,274
d̪əʈ,147
ʈɪd̪,47
ɪd̪a,47
piːʂ,3
iːʂoː,6
ʂoːn,36
oːnu,1218
həʋ,14
əʋiː,14
ʋiːl,13
iːla,264
d̪eːʃ,1264
eːʃə,1167
par,266
rʊt͡ʃ,58
bəŋ,220
əŋɡ,453
ŋɡa,231
ɡar,246
ʃəp,156
ʃreː,24
reːʂ,21
eːʂʈʰ,52
ʂʈʰə,92
ʈʰəm,324
boːɭ,4
oːɭə,4
ɭəm,23
ɡoːm,7
oːmeː,6
meːd̪̤,3
eːd̪̤ɪ,5
d̪̤ɪk,131
ɪkə,297
lʊn,1124
d̪or,83
orʊ,76
rʊk,155
ʊkʊ,206
ɡiːh,2
iːhoː,37
hoːn,46
kuːʂ,19
uːʂu,10
hɪd̪,2
ɪd̪d̪,142
d̪d̪e,18
d̪ek,10
eke,60
kel,14
ʌʂʂ,58
ʂʂuː,58
ʂuːr,80
uːru,94
rpu,59
ʋəె,290
ైp,130
ౖpʊ,58
juːpʰ,12
uːpʰr,12
pʰrə,12
rəʈ,40
əʈiː,12
ʈiːs,12
iːsu,8
t̪iːs,762
iːsɪ,647
ɪko,1122
oni,1483
kat͡ʃ,10
at͡ʃʊ,14
ʋaiː,3
ʈəl,495
niːʋ,1697
iːʋu,1474
ɪrə,477
rəb̤,69
əb̤j,1
b̤jə,2
nəʋ,1261
ʋət͡ʃ,1798
əkuː,429
kuːɖ,898
ɖəd̪,580
əd̪u,588
ɪnu,17
nɪʃ,113
ɪʃt͡ʃ,108
ʃt͡ʃə,114
t͡ʃəj,100
t͡ʃət͡ʃ,92
t͡ʃt͡ʃe,693
t͡ʃed̪,323
ed̪ə,595
ʋən,907
kad͡ʒ,112
ad͡ʒɲ,518
d͡ʒɲa,438
ɲap,359
apɪ,396
omʈ,112
mʈə,259
ʈər,11
rɪɡ,552
ɖʊʈ,164
ɪd̪i,105
kad̪,122
ad̪u,187
nɪk,1262
saʈ,4
jəె,513
səh,413
haj,75
kor,220
orə,294
d̪ʊn,957
nʊk,996
one,188
nen,1035
b̤uːd͡ʒ,8
uːd͡ʒə,15
ad̪a,126
d̪am,30
amu,478
ʊnoː,85
uːt͡ʃʊ,95
ʌt̪ə,3833
jod̪,920
od̪d̪,1256
d̪ək,861
ppɪ,697
ət̪ɪ,718
t̪ɪd̪,57
enoː,79
ʌpp,915
jɪn,388
amʊ,217
leːk,242
eːkə,516
oːje,300
ɡaɖ̤,10
aɖ̤ə,4
ɖ̤ən,4
nɪd̪,157
ɪd̪r,71
ɡəd͡ʒ,103
əd͡ʒeː,248
d͡ʒeːs,136
əɖu,1864
d̪rɪ,30
əkk,207
iːsi,121
oːʈʊ,13
mam,137
ams,92
msə,97
mʊt̪,280
ʊt̪oː,628
puːɖ,5
uːɖt͡ʃ,7
ɖt͡ʃi,7
rʊʋ,1006
at̪ə,685
əʈe,4
ʈem,7
emʊ,155
ame,809
men,195
nod̪,300
onɪ,629
nɪʋ,716
iʈl,234
əne,646
jem,46
id̪i,105
t̪iːj,489
iːjə,104
ɡən,753
nar,337
ari,898
rʊʂ,87
ʊʂʊ,70
ʂʊɖ,28
əmɖ,1117
mɖr,674
ɖrɪ,239
t̪əl,824
əll,280
llɪ,134
lɪn,398
ʋɪɖ,314
ɪɖɪ,246
ɖɪt͡ʃ,242
ɪt͡ʃi,174
b̤ar,276
arj,384
rjə,512
hət̪,257
t̪ʊk,51
aru,1849
ʃər,22
əriː,43
riːr,20
iːrə,82
ైj,119
ౖjʊ,115
ʊmd̪,212
md̪ʊ,1231
jəj,120
rɪd̪,65
d̪ər,1572
əru,601
ɡəm,489
bər,87
ɖɪr,272
sɪɡ,12
ɪɡɡ,20
ɡɡu,3
erʊ,159
ɡək,45
nt̪u,44
ərp,77
rpə,341
jʊk,17
ʊkt̪,15
kt̪ɪ,35
t̪ɪɡ,152
ləd̪,169
əd̪ə,431
riːt̪,52
iːt̪oː,221
t̪oːi,12
oːid̪,8
nɪd͡ʒ,52
ɪd͡ʒə,62
d͡ʒəm,338
d̪eːn,115
eːni,67
ena,57
ʌɖi,3
d̪ʊk,521
ʊku,523
riːiː,1
meːm,275
eːmu,272
jəʋ,560
əʋʊ,123
nʊɡ,344
ʊɡuː,126
ɡuːr,337
rt͡ʃi,210
ɖʊm,220
ʊmiː,403
t͡ʃaʋ,88
ʋək,526
kʊm,2218
mʊʈ,112
ʈʈə,1123
enə,515
ʌne,141
mʊm,472
nnʊ,168
t̪er,158
erə,296
ʋəb,76
erɪ,119
ɪɡɪ,680
ɡɪn,357
rəె,92
eːʋə,676
ət̪ə,1050
əle,2014
umd̪,12
ʊrə,321
ʋɪʋ,68
ɪʋeː,396
ʋeːk,29
onn,27
nni,61
nət̪,277
ət̪oː,880
t̪oːp,19
oːpa,37
paʈ,38
aʈu,41
b̤ər,53
ərt̪,197
rt̪ə,181
t̪ək,265
it͡ʃt͡ʃ,207
ɖʊk,200
ʊkuː,60
ɪne,35
əri,254
t̪am,132
əmb,76
mbə,242
lɪs,292
ɪsɪ,257
ɲd͡ʒuː,13
d͡ʒuːr,13
uːrə,283
akʊ,180
kʊl,545
kʊʈ,204
mək,192
t͡ʃəɖ,4
ɖəm,249
llə,674
əpuː,11
puːʈ,4
uːʈə,69
səɲ,61
t͡ʃʊt͡ʃ,484
ed̪ʊ,589
d̪ʊʈ,455
ʊʈɪ,24
ʈət͡ʃ,68
d̪aɡ,42
aɡu,252
onə,586
pɪl,621
ɪlɪ,712
ɪt͡ʃɪ,303
ɪniː,113
unn,199
naʋ,115
kət̪,247
ʊneː,171
neːn,1554
eːnu,1402
ʊmʈ,57
b̤əj,217
pəɖ,750
aɡʊ,203
ɡʊk,45
kom,464
ʊka,77
kaj,71
əniː,46
rɪʋ,116
niːk,668
iːku,688
pɪn,413
ʋaɖ,1238
aɖe,44
ɖeʋ,40
eʋə,394
ʋəɖ,206
t̪ɪm,146
ɪmʈ,350
ʈɪʋ,343
ɪʋa,740
ʌɖɪ,69
ɖɪɡ,171
ʊna,218
nat̪,255
at̪oː,214
nak,533
akɪ,46
t͡ʃt͡ʃɪ,1110
riːj,196
iːjeː,46
kɪj,114
ɪjj,219
jjə,320
jəɡ,419
t̪oːn,380
oːniː,216
jeːm,114
eːmɪ,155
mɪʈ,59
ɪʈə,44
ʌɖʊ,121
riːs,4
iːsə,4
nnu,704
moːs,38
oːsə,27
səp,33
əpʊ,142
pʊt͡ʃ,127
ʊt͡ʃt͡ʃ,81
d̪iːn,73
iːni,81
ʊʋu,209
əpɪ,247
əd̪a,514
pʊt̪,94
kʊt͡ʃ,41
ʊt͡ʃu,372
brə,191
rəd̪,391
əd̪ʊ,214
iːkʊ,89
riːk,16
iːkɪ,114
sən,788
nt̪a,136
ైr,108
ౖrə,7
sed̪,108
əmiː,654
koʈ,172
oʈʈ,584
məɖ,40
ɖɪm,59
ɪme,13
ʈʊd̪,23
d̪ʊʋ,298
ʊʋə,1634
rəj,223
əja,137
jas,22
asə,252
ɡər,455
ərb̤,83
rb̤ə,78
b̤əʋ,86
ʋeːd̪,140
eːd̪ə,137
mɪk,79
ɪkk,233
kkɪ,246
kɪl,53
ɪli,78
het͡ʃ,24
et͡ʃt͡ʃ,248
ɪll,449
t̪əj,309
əje,552
jeɖ,828
eɖə,923
ʋaɲ,3
aɲt͡ʃʰ,3
ɲt͡ʃʰə,3
maʈ,683
aʈə,756
nɪt̪,534
ɪt̪ɪ,509
əd̪d̪,315
ɪʋi,163
ɪmɪ,288
mɪt̪,176
pəb,327
ɖɪj,261
oːneː,97
mɖl,399
ɖlə,211
t̪ʊp,7
ʊpp,169
ɡət͡ʃ,10
t͡ʃəp,17
əpo,16
oːni,160
t̪ɪr,540
ɪrɪ,495
t͡ʃeːr,175
mʊkʰ,132
ʊkʰə,104
kʰəp,15
t͡ʃem,82
emə,43
məʈ,106
əʈə,489
art͡ʃ,29
ɖɪt̪,65
t̪ɪʋ,443
nneː,6
ౖpoː,16
poːd̪,47
oːd̪ʊ,67
jək,638
əʋʋ,29
ʋʋə,43
lli,63
t͡ʃər,238
ərm,168
rmə,136
məp,60
t͡ʃok,18
okk,709
kka,18
ajɪ,200
jɪl,57
ɪlə,85
eːjɪ,168
jɪɲ,260
rɪk,728
t̪oɖ,37
oɖɪ,40
ɡɪɲ,370
ʋai,7
aid̪,9
aɖa,79
ɖaj,46
ʋeːɭ,75
eːɭə,81
t͡ʃej,92
ejj,136
jji,96
t͡ʃat͡ʃ,12
at͡ʃi,13
mpɪ,278
pɪʋ,46
ʊɖa,339
ʋeɭ,750
eɭl,747
ɭlə,550
ləɡ,345
əɡo,158
ɡoʈ,193
pʊd̪,72
ʊd̪ɪ,69
d̪ɪk,542
kkʊ,322
ker,55
eruː,204
ruːb,112
uːbʊ,41
bʊl,109
poːʋ,370
oːʋu,80
mar,2048
arɡ,198
rɡə,213
iʈu,8
ʌʈu,14
ɪrʊ,144
ɡʊt͡ʃ,116
kʰəɖ,46
əɖɡ,46
ɖɡə,46
əd͡ʒʋ,2
d͡ʒʋa,8
ʋal,19
ɪlʊ,346
lʊʋ,565
əbe,78
beʈ,93
uːɖɪ,43
t̪ɪj,121
kəj,175
əjiː,53
jiːn,28
iːnʊ,77
ɪje,160
eːno,8
nʊʂ,316
ʊʂj,315
ʂjʊ,342
mpa,33
pad̪,55
mmʊ,419
mʊɖ,36
ɖəɡ,831
əɡu,565
heːb,9
eːbe,21
bel,41
ɡoɽ,248
oɽɽ,290
ɽɽə,541
ɽəl,148
kap,162
apə,558
iːnu,75
aɖu,879
ont̪,33
mʊp,155
ʋak,439
ʌrp,386
pəɳ,208
əɳə,1047
ɳəɡ,6
t̪et͡ʃ,215
t̪ol,122
olʊ,54
lʊt͡ʃ,145
t͡ʃuːl,40
uːlʊ,43
kro,115
roʋ,88
oʋʋ,88
ʋʋɪ,31
jər,139
ɳən,9
kʂj,123
ʂjə,121
əpe,102
koːp,142
kʰəm,128
əbʊ,43
bʊt͡ʃ,6
nʊt̪,65
əmeː,182
meːl,112
aʋeː,19
ʋeːm,29
eːmi,354
sət̪,27
ət̪k,16
t̪kr,2
net̪,56
et̪t̪,276
kɪʈ,32
pap,315
poɲ,21
oɲt͡ʃ,105
t͡ʃɪj,351
lʊt̪,78
t͡ʃəm,379
mpe,129
aniː,187
naɖ,356
aɖə,551
nəɖ,390
ner,86
kaʋ,137
əna,319
ɪʈi,77
əkt̪,389
kt̪ə,328
jok,534
mor,12
ʈʊt͡ʃ,38
aʋʊ,118
t͡ʃeːt̪,920
eːt̪ɪ,275
t̪ɪl,137
nʊʈ,187
noːr,10
oːru,107
ət͡ʃɪ,116
ɖək,294
əʋu,158
sar,49
ikə,61
jəd̪,62
ɪɡʊ,530
ʃəd̪,5
ɪmm,435
d̪oːʂ,154
oːʂə,156
ʂəʃ,12
əʃɪ,161
ɪkʂ,107
leːn,115
eːnə,130
pəd̪,503
neːɖ,132
eːɖu,316
əd̪eː,334
ʊnʊ,602
nɪd̪̤,269
ɪd̪̤ɪ,331
ʋeːj,353
lʊp,246
ʊɡo,37
ɡon,49
nʊʋ,117
əɖoː,11
mpʊ,174
t̪oːk,138
oːka,11
jeʋ,64
nəj,610
d̪̤ɪl,45
ʊd̪eː,372
eːrɪ,74
ɪʋe,18
ɭli,179
noːd̪,3
oːd̪u,37
apʊ,90
hən,292
ənoː,43
noːk,16
oːkʊ,63
ɖət̪,125
uːrɪ,84
ʊma,1769
nʊb,187
ʊbə,341
oːkə,57
kʊk,85
iːra,52
rad̪,44
əhuː,9
huːj,4
uːja,27
jaj,181
ajeː,1512
jeːl,2083
eːlu,498
ət̪uː,2
t̪uːʂ,9
uːʂa,6
ʂaj,12
lem,38
eme,35
mek,65
ekʊ,64
eku,114
id̪d̪,43
riːl,62
iːlə,96
pem,101
ɖli,36
rɪl,224
nɪp,307
ɪpeː,23
sɪl,9
bal,135
ɡʊɖ,303
ɖar,266
ʋəs,491
əsɪ,427
sɪɲ,238
