
d̪i,7
pra,137
rad͡ʒ,158
ad͡ʒe,87
d͡ʒek,87
ekʈ,90
ɡʊʈ,38
ʊʈe,37
ʈen,43
en‌,42
n‌b,42
‌bə,41
bər,49
ərɡ,81
ibʊ,7
bʊk,20
b̤əɡ,26
əɡə,69
ɡəʋ,30
əʋə,182
ʋəd̪,80
əd̪ɡ,28
d̪ɡiː,24
ɡiːt̪,24
iːt̪ə,31
bəె,5
əై,771
ʌna,14
nam,9
amə,16
mək,37
əkə,127
kə
,10
ə

,9


iː,4
eʋə,112
ʋər,274
ərɪ,1135
rɪk,117
ɪkə,115
kəె,26
ైn,497
ౖna,54
ekk,65
kkə,371
kəɖ,120
əɖə,398
ɖəె,15
eʈʊ,10
ʈʊʋ,32
ʊʋə,125
ʋəm,154
əmʈ,122
mʈi,59
kʰər,11
ərt͡ʃ,13
rt͡ʃu,5
leːk,40
eːkʊ,31
kʊm,140
ʊmɖ,247
mɖa,77
mər,933
rɪj,891
ɪju,817
d̪an,132
anɪ,288
nɪt̪,18
ɪt̪oː,55
upə,32
pəj,21
əjoː,36
joːɡ,81
oːɡɪ,26
ɡɪɲ,30
ɪɲt͡ʃ,687
ɲt͡ʃə,388
t͡ʃəɖ,123
əɖa,116
ɖan,109
nɪk,273
ɪki,321
ud̪d̪,13
d̪d̪eː,13
d̪eːʃ,36
eːʃɪ,15
ʃɪɲ,32
t͡ʃəb,114
əbə,206
bəɖ,229
əɖɪ,155
ɖɪm,81
ɪmd̪,168
md̪i,513
d̪i
,414
i
d̪,27

d̪a,26
d̪ad̪,4
ad̪a,17
d̪ap,4
apu,4
pər,137
rɪm,22
ɪmɪ,16
mɪt̪,18
ɪt̪ʊ,24
t̪ʊl,72
ʊlu,212
leːʋ,16
eːʋu,9
miːr,105
iːru,105
nɪn,98
ɪni,181
kap,42
apiː,39
t͡ʃeːj,187
eːjə,203
jəʋ,38
ʋət͡ʃ,90
ət͡ʃt͡ʃ,91
t͡ʃt͡ʃu,39
iʋʋ,28
ʋʋə,48
ʋəʋ,5
leːd̪,302
eːd̪a,220
d̪a
,15
a
p,13

pr,104
ləె,44
ైs,19
ౖse,16
sen,18
ens,20
ns‌,5
s‌t̪,5
‌t̪oː,14
səh,47
əha,50
nɪb,24
ɪbə,25
bən,101
ənd̪̤,104
nd̪̤ə,58
d̪̤ən,61
ənə,376
nəl,75
ələ,319
prə,385
rək,160
əka,59
kar,67
arə,183
rəm,303
d̪iːn,28
iːnn,11
nni,318
məɭ,32
əɭl,23
ɭliː,17
t͡ʃəm,108
əmɖ,242
mɖi,409
ɖi
,164
i
iː,22
ʊk‌,2
k‌t̪,2
an‌,5
n‌l,22
‌lə,23
ౖn‌,8
‌loː,33



,95


ʃ,1

ʃiː,1
ʃiːr,6
iːrʂ,2
rʂɪ,6
ʂɪk,5
t̪ə
,41


r,1

rə,5
rət͡ʃ,29
ət͡ʃə,25
t͡ʃəj,8
əjɪ,26
jɪt̪,33
ɪt̪ə,134
əkʊ,46
kʊɖ,15
ʊɖu,253
ɖu
,249
u

,33


ʌ,18

ʌn,63
ʌnʊ,61
nʊʋ,50
ʊʋa,15
ʋad̪,9
ad̪ə,12
d̪ək,13
sər,105
eɖʋ,4
ɖʋɪ,5
ʋɪn,50
arn,4
rna,6
nal,41
alɖ,4
lɖ
,5
ɖ

,3


p,8

poː,6
poːs,8
oːsʈ,7
sʈɪ,6
ʈɪŋ,8
ɪŋɡ,49
t̪eːd̪,4
eːd̪iː,8
d͡ʒuːn,1
iːbʊ,5
#
ʋ,3

ʋɪ,54
ʋɪɖ,39
ɪɖʊ,3
