naj,5517
ajr,676
jrɤ,1
rɤʔ,115
ɤʔ่,177
ʔ่m,488
่ma,666
mar,168
arɛː,97
rɛːk,87
ɛːkn,20
kna,2578
naʔ,10886
aʔ้,16362
ʔ้n,8045
้no,1540
nop,1011
opr,3609
pra,9884
rat͡ɕ,2118
at͡ɕeː,2889
t͡ɕeː้,6994
eː้aː,8824
้aːt,1341
aːtr,475
tra,4599
raŋ,1155
aŋa,1796
ŋan,1270
aneː,255
neːn,3
eːnm,98
nmi,67
mit,82
ita,77
tas,4
aso,634
son,568
on้,3381
n้aː,1898
้aːŋ,1352
aːŋo,686
ŋof,98
of้,121
f้aː,182
้aːl,316
aːlɛ,631
lɛpʰ,561
ɛpʰɛː,63
pʰɛː่,1342
ɛː่n,2327
่na,5586
nad,2139
adi,1348
din,1494
inl,235
nloː,148
loːk,188
oːka,60
kan,1237
ana,6508
nok,2333
ok็,2356
k็p,216
็pr,34
praː,211
raːt,882
aːtt͡ɕ,80
tt͡ɕaː,92
t͡ɕaːk,2566
aːkr,577
kruː,169
ruːp,254
uːpo,20
pon,286
on่,1117
n่aː,1763
่aːŋ,1858
aːŋl,117
ŋlɛ,173
lɛw,128
ɛw่,18
w่aː,4975
aːŋp,178
ŋpeː,151
peːn,114
eːn่,945
่aːɔː,24
aːɔːj,502
ɔːjuː,3646
juː่,3601
kʰwaː,725
waːm,1082
aːmm,172
mmɯː,90
mɯːd,16
ɯːdɔː,1
dɔːj,100
uː่h,172
่heː,290
heːn,1449
eːnɯː,477
nɯːɔː,369
ɯːɔːpʰ,137
ɔːpʰi,15
pʰiw,45
iwo,9
won,777
n้a,644
้am,1194
lɛp,1316
ɛpr,839
raw,447
awi,147
wij,70
ijj,54
jjaː,368
jaːn,413
aːna,1868
nakʰ,2170
akʰɔː,3523
kʰɔːŋ,14082
ɔːŋpʰ,2475
ŋpʰr,2084
pʰra,7940
้aːp,3405
aːpk,15
pkɔː,1
kɔːj,243
amn,1044
mna,405
้na,8135
wan,1701
antʰ,748
ntʰiː,1044
tʰiː่,8330
iː่h,602
่ha,530
han,1727
anɯ,861
nɯʔ,1694
ɯʔ่,3842
ʔ่ŋ,6238
่ŋo,2173
ŋop,2623
raːk,169
aːko,549
kot,872
otm,63
tmiː,34
miːkʰ,263
iːkʰw,16
aːms,186
mso,87
sow,528
ow่,3325
aːŋk,156
ŋkɤ,50
kɤd,78
ɤda,72
dakʰ,223
akʰɯ,424
kʰɯʔ,1455
ɯʔ้,1495
ras,938
t͡ɕoŋ,976
oŋh,178
ŋha,716
haj,6808
aj้,14512
j้m,437
้miː,192
miːk,527
iːkw,151
kwaː,542
aːma,1251
mas,354
lɛː้,2489
ɛː้w,2532
้wo,2610
wok,643
okw,453
ŋok,8055
k็k,246
็kɤ,10
