

,228

ی,141
یہ,320
ɑːی,409
bُ,3
ُک,2
bɣ,32
ɣی,74
یr,492
کs,139
sی,294
qی,85
یm,182
mt̪,180
کeː,1031
ɑːuː,995
uːr,1170
bھ,297
ھی,374
ɑːs,804
st̪,232
t̪ʔ,85
ʔm,65
mɑː,588
ɑːl,461
lی,608
یeː,298
ہeː,1060
eː۔,497
۔
,947

t̪,183
t̪q,100
qr,88
rی,635
یb,48
bɑː,384
کuː,634
uːي,208
ئ,785
ٔی,362
pɑː,160
ɑːb,275
bn,124
nd̪,364
d̪ی,401
nہ,492
ہی,879
ی◌,1713
◌̃,2699
آ,580
ٓp,184
seː,870
کɑː,829
ɑːp,239
pی,215
کr,858
sک,158
کt̪,173
t̪eː,369
̃،,335
d̪eː,75
یɑː,897
ɑː
,208

p,114
pr,474
ruː,559
uːd͡ʒ,149
d͡ʒی,185
یک,627
کʈ,126
ɡʈ,24
ʈn,35
nb,22
br,195
rɡ,44
lɑː,340
ɑːي,428
ٔs,17
sn,120
ns,130
کی,1034
ʃr,52
rɑː,520
ٔt̪,22
t̪h,76
ht̪,20
d̪uː,271
uːb,76
ɑːr,687
rہ,247
̃۔,316

ɑː,675
bک,20
sɑː,464
ɑːt̪,626
t̪ھ,272
ٓn,50
ٔn,60
n
,36

n,87
nuː,168
uːɑː,500
ɑːn,1204
ھɡ,25
ɡuː,92
ɑːd̪,374
ɡی,271
یt̪,179
t̪ɑː,898

m,258
ms,84
nf,32
ɡm,13
mn,179
nɑː,695
ɑːm,611
m
,32
t̪r,351
rd͡ʒ,106
d͡ʒm,27
sr,135
یɖ,28
ɖuː,29
uːn,273
ٓr,39
rn,289
nl,5
lɖ,12
ɖ
,2
ɑːʃ,60
ʃɑː,133
ɑːʔ,92
ʔt̪,13
یx,6
d͡ʒuː,407
#
,21

r,65
یl,99
یz,129
uːm,61
mb,15
r،,157
pہ,62
ہl,56
d͡ʒn,152
nɡ,78
ɡr,141
zی,185
zb,90

ک,239
ʈr,95
یʈ,94
nک,158
uːɖ,6
ɖn,4

*,4
**,20
ٓɣ,5
ɣɑː,19
ɑːz,143
*
,4
zr,119
t̪ی,425
rd̪,146
d̪ہ,219
ہ۔,11
rʒ,4
ʒn,4
bz,16

d̪,81
ی
,87

ɡ,28
ɡɑː,165
ٓs,54
sm,177
nی,423

b,136
mہ,59
ہɑː,334
ھɑː,211
rt̪,414
eː
,298
d̪r,145
rm,100
mی,1210
ɡf,4
ft̪,56
t̪ɡ,6
ہuː,652
ɑː،,322
،
,698

ہ,80
ہn,103
uːs,172
ʃہ,96
ہz,70
zɑː,205
ہ،,102
sp,14
ہs,4
rʃ,82
ʃn,168
ʃک,83
کl,86
t̪
,43

s,126
t̪n,59
ہ
,66
rf,108
ɖ،,3
ɑːeː,68
eː،,516
ٓي,14
ی،,204
یs,198
یuː,254
uːی,97
rک,169
ک
,17
ff,1
uː
,68
lɡ,61
ɡn,70
nɖ,59
ɖی,50
t̪uː,208
neː,561
d̪ɑː,325
uːh,148
pɽ,28
ɽھ,44
ہr,167
ی۔,51
ɑː◌,211
hک,54
کm,134
lک,51
کھ,356
puː,47
uːʃ,228
ʃی,118
یd̪,200
z،,28
ɡl,21
یn,270
eː؛,41
ہm,157
reː,248
uːہ,354
md͡ʒ,192
d͡ʒھ,234
ھeː,146
ɑːt͡ʃ,60
t͡ʃہ,29
mʃ,37
nz,45
zm,72
qs,95
ɑːک,112
t͡ʃھ,179
ھʈ,16
ʈeː,40
یʃ,99
ʃm,56
d͡ʒɑː,384
beː,136
pn,166
ɑːہ,302
mq,58
qb,32
buː,102
uːl,119
ɑːx,54
xt̪,107
hɑː,81
sl,120
d͡ʒہ,93
ɑːɡ,106
d̪b,8
nt͡ʃ,55
t̪z,8
ɑːd͡ʒ,61
کہ,262
کp,7
pt̪,20
nd͡ʒ,41
d͡ʒl,34
uː◌,738
suː,181
luː,145
bہ,130
ہt̪,141
ʔl,92
bl,58
ln,38
xuː,268
ہʃ,43
qd̪,68
یٰ,56
ٰ،,10
xɑː,42
ls,23
nr,24
quː,52
ʃl,5
یɡ,19
l،,43
lہ,72
bʔ,15
ʔd̪,30
d̪،,56
mʔ,64
ʔr,13
یf,28
uːf,66
fɑː,138
ɑːِ,1
ِr,1
ٔp,2
fی,51
ʈɑː,25
xr,38
hs,67
zɡ,12
ɡʃ,3
ʃt̪,64
t̪؛,13
rh,118
hq,31
یq,67
qt̪,91
t̪،,95
کt͡ʃ,58
xl,50
ɑːq,99
hی,52
کn,148
nي,13
ٔeː,216
ہd̪,30
meː,11
ɖt̪,4
zہ,69
ھɽ,26
ɽɑː,37
ٓی,7
ʔɑː,49
bʃ,4
rs,60
ɑːʈ,27
ʈھ,61
ھt̪,103
d͡ʒs,158
sb,151
bt̪,83
t̪s,37
sf,32
ɑː۔,167
uːɡ,92
sʈ,25
d̪l,107
ٔl,18
m،,80
ʃuː,28
uːz,37
zn,121
یh,36
ɑːً,9
sd̪,22
uːt̪,182
muː,158
uːd̪,144
ml,178
pl,9
mک,65
lm,62
t̪m,311
n،,86
d̪ʃ,39
d̪ھ,122
ھr,130
ھ،,58
uːuː,14
fuː,21
mx,39
lf,32
fr,69
ʈی,56
ٓx,14
nq,30
ql,60
ɑːf,88
t̪l,75
bm,1
bي,1
sx,18
xہ,1
mm,5
fz,29
zl,29
lr,4
rz,46
mh,77
hn,17
nt̪,165
ɡي,54
md̪,32
d̪d̪,21
ɡz,31
fl,11
ɑːh,55
ʃʈ,6
ʈb,1
mɣ,6
ɣr,12
rb,110
bی,152
lt͡ʃ,4
t͡ʃک,8
کd̪,3
ɖɑː,25
t̪b,35
bd̪,56
ʈuː,22
uːʈ,50
fh,3
hf,29
bs,22
mp,10
ٔʈ,19
nʈ,34
ʈm,2
یی,1
m۔,15
feː,7
mz,99
ɡeː,65
ld̪,9
qɑː,97
d̪
,20
ٔd̪,14
b
,31
lt̪,101

t͡ʃ,26
ہb,27
t̪f,12
fک,5
xd̪,53
d̪m,116
کي,11
r
,61
hd̪,42
d̪ɡ,111
lٰ,5
ٰہ,5
l
,26
d̪s,54
ٔr,10
uːک,59
کʃ,44
uː،,76
ɑː؟,13
؟
,47

d͡ʒ,217
d͡ʒb,88
ھn,91
ɖr,21
leː,142
ٓہ,13
lɽ,16
ɽn,11
sʔ,2
uːp,14
h،,31
ھک,21
pd̪,2
ɑːɽ,13
ɽی,18
t̪ک,89
t͡ʃی,88
b،,25
ھuː,176
d͡ʒ،,4
ɑːو,93
ؤ,100
ٔd͡ʒ,2
ھ
