kǁʰɔ,290
ǁʰɔs,1
ɔsa,209
ɛku,1686
kuk,2367
ukǃ,1027
kǃa,989
ǃal,423
alɛ,3871
lɛk,1206
ɛkɛ,1388
kɛn,380
ɛni,10989
utʰi,3516
tʰik,3022
ikǁ,3382
kǁɔ,3578
wad̤,503
ad̤a,1169
d̤al,226
ala,4988
ama,12956
maz̤,1122
az̤u,350
z̤ul,799
ulu,4800
nɛɬ,47
ɛɬa,606
ɬaɓ,602
aɓa,15203
ɓatʰ,3464
atʰi,6819
tʰin,659
ini,8027
kwa,9503
wak,2253
aku,3299
kus,1706
usɛ,1062
sɛɲ,58
ɛɲa,598
ɲaɲ,14
aɲɛ,437
ɲɛn,232
sɛl,3086
ɛlu,543
luɓ,182
uɓa,9884
ɓal,2085
kum,6326
umɲ,178
mɲa,626
ɲam,687
pʰɛz̤,1373
ɛz̤u,1572
wam,3785
man,2663
anz̤,986
nz̤i,3797
ɛnz̤,4252
nz̤ɔ,304
z̤ɔn,1665
ɔnz̤,1173
z̤ɔɓ,134
ɔɓi,424
ɓil,719
ila,891
umɔ,1169
mɔj,449
ɔja,724
katʰ,1530
waf,521
afu,589
fuk,19
uka,2441
kam,1174
law,596
awɔ,2633
watʰ,3829
mak,1447
kuɓ,10875
uɓɛ,1463
ɓɛkʰ,136
ɛkʰɔ,392
uku,11382
kukʰ,1048
ukʰa,387
kʰaɲ,197
aɲa,322
waɓ,4089
ɓakʰ,2989
akʰɔ,5955
uɓɔ,1854
ɓɔn,4059
ɔna,3854
kul,2520
lun,1829
unɡ̤,4321
nɡ̤i,1794
ɡ̤il,711
ilɛ,5153
waɬ,314
aɬu,393
ɬul,264
ula,3448
pʰak,2136
aka,8364
kɔk,580
ɔku,9358
nɔɓ,694
ɔɓu,1948
ɓum,217
jim,711
imi,3094
min,1248
uɓu,2849
ɓuɓ,946
ɓus,1011
usu,561
suk,1252
aɬw,94
ɬwa,257
was,2532
asa,1346
jan,432
anɡ̤,8174
nɡ̤u,4861
ɡ̤um̤,60
um̤l,305
m̤la,1410
wɔk,735
isi,3995
sib̤,290
ib̤a,360
b̤ak,98
kab̤,289
ab̤a,439
waw,1036
siɓ,1179
iɓɛ,2046
ɡ̤um,1253
uma,2889
maɬ,371
ulɔ,1101
ɔkw,1226
asɛ,4718
sɛn,1160
nz̤a,2094
awa,2121
nɡ̤a,14371
ɡ̤apʰ,901
apʰa,1717
pʰan,988
ant͡s,806
nt͡si,1205
kwɛ,4575
wɛs,1125
ɛsi,5080
kuw,1543
uwɔ,413
apʰɛ,740
nd͡ʒ̤a,983
d͡ʒ̤al,673
alɔ,2900
ɡ̤am,2816
iɓi,1684
ɓin,3329
kaɬ,18
aɬa,1551
ɬan,1494
ɡ̤an,1362
ani,7534
nis,1409
isɛ,5736
ɛlw,2153
lwɛ,2098
nd̤a,4210
d̤aw,1343
awɛ,1087
wɛn,7817
niɲ,77
iɲɛ,592
nak,1574
kal,1196
ɔkɔ,2620
kɔm,1255
ɔmi,472
mil,428
lɛj,2947
ɛjɔ,4123
laɓ,1071
int,3863
ntl,2821
tla,1203
lan,2618
ɛla,9368
jam,1570
z̤ii,578
iil,7
ilw,227
lwa,4043
wan,3082
anɮ,2890
nɮɛ,2547
aɓɔ,4736
maw,505
awu,2049
wupʰ,74
upʰu,525
pʰum,1226
umɛ,1354
uɬa,941
ɬaz̤,142
az̤a,1801
mif,76
ifu,520
fun,660
unɔ,270
ɛv̤ɛ,143
v̤ɛl,600
ɛli,10002
lis,2556
isa,5564
imɓ,987
mɓɛ,1241
ɓɛw,319
ɛwu,259
mitʰ,537
itʰi,1803
jɛz̤,351
ɛz̤i,5852
z̤ik,838
ikǃʰ,401
kǃʰa,283
ǃʰam,170
amɔ,827
ɛjɛ,810
jɛn,1868
iz̤i,3982
nɡ̤ɔ,9370
ɡ̤ɔɬ,82
ɔɬɔ,107
ɬɔɓ,76
ɔɓɔ,482
waj,3257
ajɔ,5628
ɛmɓ,639
iku,887
kuj,3471
ujɔ,1360
ɛm̤l,376
aɓɛ,3488
ɓɛn,3452
wapʰ,651
apʰu,1171
nɛm,992
ɛmi,3470
sitʰ,1632
itʰa,1081
tʰatʰ,656
atʰu,1536
z̤ikʰ,379
ikʰa,330
aɲi,139
ɲis,153
isɔ,1977
akɛ,543
sam,776
z̤iɓ,1145
z̤ɛz̤,366
ɛz̤ɛ,1473
z̤ɛm,107
mik,289
ikǃ,753
kǃɔ,568
ǃɔn,285
ɔnd̤,1359
nd̤i,8640
d̤is,1187
ɛz̤a,1648
z̤am,736
akǁ,471
kǁɛ,971
ǁɛʃ,442
ɛʃa,595
ami,1487
mis,2391
siw,365
iwɛ,1444
wɛj,1057
miɬ,890
iɬa,1974
miɲ,569
iɲa,1133
ɲak,899
az̤i,4649
z̤iz̤,964
ikʰu,1156
kʰul,2164
z̤az̤,360
ɛsɔ,497
sɔn,1297
sikʰ,591
sil,1272
wul,1059
ulɛ,2396
siŋ,104
iŋǀ,404
ŋǀi,504
ǀin,354
ina,2095
nan,2776
anɛ,2818
nɛɛ,1110
ɛɛn,1725
ɛnk,1212
nkw,250
wɛz̤,689
waz̤,1591
ɓɛk,1081
ɛka,1909
z̤il,875
z̤aɬ,90
sin,2012
inɛ,1327
kaɲ,194
kaz̤,829
az̤ɛ,843
z̤ɛl,1799
ɛlɛ,11229
mipʰ,101
ipʰɛ,548
pʰɛf,672
ɛfu,953
fum,1108
uml,1359
mlɔ,1144
ɛpʰi,48
pʰil,407
ili,4307
lil,1431
z̤itʰ,547
ɛnt,3378
nta,982
tak,175
z̤ipʰ,382
ipʰa,552
pʰapʰ,36
pʰaz̤,27
sɛz̤,679
ɔɔm,52
nɛn,1891
ɛnɡ̤,4183
mikʰ,307
naj,850
jɔn,1795
ɔnk,5860
nkɛ,5562
ɛna,2569
nam,2655
amɓ,5272
mɓu,1136
ɓuz̤,364
uz̤ɛ,1652
laj,929
waɲ,77
ɡ̤aj,623
z̤in,3623
mapʰ,171
apʰi,331
pʰik,155
ikɔ,435
az̤ɔ,994
z̤is,1297
sik,2455
ikɛ,2036
kɛl,2462
lɛl,5307
and̤,3632
nd̤ɛ,2280
niw,187
iwa,918
z̤al,1839
ali,3574
iin,1796
z̤an,1325
siɬ,385
anu,644
ntɔ,3323
itʰɔ,435
nɛz̤,892
uz̤a,699
ipʰi,278
z̤ɔm̤,29
ɔm̤l,437
naz̤,229
mas,1542
nz̤ɛ,1442
umn,694
mnt,881
ntu,2570
ɡ̤ɔk,4997
ɔmf,140
mfa,618
fan,410
nɛk,384
ɛki,1620
kis,695
ɛlɔ,3082
wɛtʰ,553
ɛtʰu,994
kuf,789
ufa,516
ana,9255
natʰ,136
maɓ,908
ɓaɓ,3221
ɓukʰ,187
ukʰɔ,678
kʰɔs,558
ɔsi,1791
z̤ɔl,112
ɔlw,315
nas,999
ntw,553
twɛ,169
sɛm̤,27
wɔn,482
amd̤,19
md̤a,140
wakʰ,3974
akʰɛ,6365
ind̤,2489
nd̤ɔ,1971
d̤ɔd̤,1763
ɔd̤a,1876
nka,687
ɓas,1180
asi,4554
iwu,165
wuz̤,60
ɛji,928
jis,1402
niɓ,298
jaɓ,1803
d̤in,1806
nin,1932
nik,1968
iki,856
kil,889
ɛsɛ,606
ɛnɛ,1637
jɔɓ,363
ɔɓa,1176
kuɮ,623
uɮa,553
kun,3146
uni,1190
inɔ,294
nɔm,997
ɔmpʰ,175
mpʰɛ,652
ɔpʰi,337
d̤iz̤,312
luɬ,122
kɔn,614
akw,2742
ank,286
nkɔ,1582
unɛ,754
tʰan,1131
d̤atʰ,549
aɡ̤ǃ,254
ɡ̤ǃ̤,950
ǃ̤i,970
̤itʲ,52
itʲw,72
tʲwa,140
naw,574
umkʰ,708
mkʰɔ,842
ɛz̤ɔ,845
wuɡ̤,96
uɡ̤ǃ,262
̤iɓ,371
iɓa,1334
ɡ̤ɔm̤,210
ikǁʰ,775
kǁʰɛ,713
ǁʰɛŋ,584
ɛŋǁ,2255
ŋǁɛ,660
ums,534
msɛ,378
sɛɓ,775
ɛɓɛ,1580
z̤aj,631
mla,492
wus,118
usi,1398
wuŋ̤,27
uŋ̤ǀ,152
ŋ̤ǀ̤,1747
ǀ̤w,1086
̤wa,428
wal,1623
ɡ̤aw,467
wud̤,8
ud̤a,2073
jij,322
ijɔ,1505
inz̤,761
kud̤,666
alw,1230
ujɛ,6607
jɛh,7037
ɛhɔ,6955
hɔv̤,6565
ɔv̤a,6594
matʰʲ,3
atʰʲɔ,10
tʰʲɔl,10
ɔlɔ,1608
ɛnɮ,1771
nɡ̤ɛ,10307
ɡ̤ɛk,348
kav̤,67
av̤ɛ,190
jas,487
inɡ̤,5928
kan,4629
ant͡ʃ,15
nt͡ʃu,68
t͡ʃul,19
uli,1286
mv̤u,455
v̤ul,279
ajɛ,5834
ɡ̤ɛkʰ,156
uwu,271
kuɲ,470
uɲu,287
ɲuk,962
ink,1272
nku,798
ipʰu,447
jaw,215
wuɲ,21
uɲa,1890
umɓ,1748
mɓa,2253
ɡ̤ɔtʰ,108
ɔtʰu,198
tʰul,329
mlɛ,137
ɛma,1459
matʰ,845
atʰa,2394
atʰɛ,2045
tʰɛn,455
imp,395
mpɛ,61
pɛf,1
ɓɔm,470
umpʰ,622
watʲ,70
atʲa,183
tʲal,287
umj,155
mjɛ,92
ɛɛd̤,49
ɛd̤ɛ,260
d̤ɛn,679
ɡ̤as,812
sɛm,949
ɛmp,854
mpu,478
pum,247
mal,840
kʰɔn,1895
ɓɛm,646
mɓi,4486
ɛŋǃ,372
ŋǃw,322
ǃwɛ,449
nɛl,672
kaj,3392
kʰan,450
ɡ̤ɛl,2526
uɮi,53
ɮiw,97
ɔmtʰ,183
mtʰi,195
wɔɓ,293
ɛmj,46
ɛz̤w,903
z̤wɛ,2680
nɔk,1603
uɓi,774
lam,1136
mɓɔ,915
ɬuk,35
apʰɔ,383
iim,308
ɓak,3168
kǁa,762
iɡ̤a,930
lɔw,863
ɔwɔ,887
jip,719
ipi,6
piʃ,1
iʃɔ,20
ʃɔn,60
ɡ̤uw,193
ud͡ʒ̤i,68
d͡ʒ̤ik,303
lɛz̤,549
lɔn,895
liz̤,2707
iz̤w,2450
las,551
sɛh,155
ɛha,812
hav̤,21
av̤i,1147
v̤il,169
ikʰɔ,752
iɡ̤ɔ,268
ɡ̤ɔl,588
ɔli,1103
lid̤,585
id̤ɛ,1749
jɛl,3474
tlɛ,69
ib̤ɛ,311
b̤ɛd̤,252
ɛd̤ɔ,191
d̤ɔl,107
ɔla,362
lak,535
aki,369
litʲ,112
itʲɛ,315
lɛb̤,139
ɛb̤ɛ,526
b̤ɛr,188
ɛri,211
ril,12
ilɔ,648
ɔwɛ,397
jiɡ̤,193
iɡ̤i,135
ɡ̤ih,6
ihɔ,130
hɔn,65
kuʃ,130
uʃi,171
jih,33
ihi,15
hid̤,5
d̤ɛk,195
uja,2539
pʰam,1619
wɛl,2470
waa,71
aas,73
sir,2654
iri,231
rij,450
ija,4552
mɛf,40
ɛfr,227
fra,223
rat,108
ati,506
amtʰ,206
mtʰa,253
tʰaɓ,1104
wɛɛ,513
uɡ̤ǀ,160
ɡ̤ǀ̤,626
ǀ̤i,763
̤in,903
amw,100
mwi,132
wis,655
umtʰ,805
mtʰɛ,714
tʰɛtʰ,2430
ɛtʰɔ,878
jɔm,460
ɔmj,87
aji,3769
jiɮ,85
iɮa,193
uji,1748
iɮɛ,142
wuɮ,13
utʰɛ,1326
jɛd̤,134
ɛd̤w,131
d̤wa,547
d̤ij,1756
mɛn,748
umŋ,257
mŋǀ,179
ŋǀɛ,463
ǀɛd̤,159
ɛd̤i,432
ɔnɡ̤,1577
uwa,837
aɓu,1394
z̤as,250
uad̤,70
d̤am,243
wɔtʰ,123
ɔtʰi,679
kuz̤,1737
uz̤i,1070
ɓiz̤,449
iz̤a,1337
iz̤ɛ,924
ɡ̤ak,807
akɔ,1462
liɡ̤,230
laz̤,353
tʰij,225
maɡ̤,697
aɡ̤a,334
ulw,1442
lwi,354
win,1497
kaf,128
fuɲ,93
ɲan,5386
awi,193
ɓutʰ,355
utʰɔ,105
tʰɔn,79
ukʰu,546
kɔa,22
ɔad̤,21
lal,1407
alu,1041
luɲ,138
uɲɛ,368
z̤im,1129
ɓan,5406
and͡ʒ̤,726
nd͡ʒ̤ɛ,2868
d͡ʒ̤ɛn,2374
z̤akʰ,1028
wav̤,231
v̤iŋ̤,48
iŋ̤ǀ,690
ǀ̤a,239
ɡ̤ɛɲ,152
kʰun,362
unɮ,196
ɮɛn,936
sal,1053
akʰa,603
ɓam,2124
ɓɛl,1356
lutʰ,140
utʰa,801
kua,200
umf,428
faz̤,564
amz̤,111
mz̤i,849
litʰ,340
tʰam,226
jiɲ,145
amɛ,1325
z̤wa,179
kɔtʰ,182
tʰiw,245
ɛtʰa,1398
tʰatʲ,35
tʲatʰ,38
atʰw,127
tʰwɛ,175
ɛnd̤,2450
ɔd̤ɛ,70
ɡ̤ɛŋ,1174
ŋǁa,1679
jɔk,1352
ɔmʃ,2
mʃi,33
ʃij,241
nɔn,459
ɔni,1007
tʰɛl,1383
umk,4186
mka,3788
maɲ,69
ɓaj,1563
ɓɔɓ,261
aɓi,2052
ɓɛh,31
ham,1545
ɔmk,194
kakʰ,362
ɡ̤ɛn,2659
tlɔ,669
lɔk,1456
iɲɔ,79
ɲɔk,76
ɔka,383
jaj,570
ɓuk,937
ukǃʰ,186
kǃʰɔ,53
ǃʰɔpʰ,8
ɔpʰɔ,22
pʰɔl,45
lɔl,149
ɓɛz̤,516
z̤ɛn,1040
jatʰ,225
ut͡ʃi,182
t͡ʃil,40
kutʰ,2311
ɡ̤aɮ,62
aɮi,80
kwi,796
wiɲ,16
aɮa,179
z̤ɔm,236
ɔsɛ,1269
uz̤ɔ,405
ɡ̤az̤,819
ikǀʰ,168
kǀʰu,120
ǀʰuk,75
umi,2354
ɬɛz̤,131
nif,42
ifɛ,166
saj,725
ɛsa,1970
saz̤,165
nitʰ,268
itʰɛ,1212
naɮ,2
ɔkǃ,84
ǃaɓ,211
mɛɬ,658
ɛɬɔ,368
ɛnu,1447
jakʰ,2271
nuk,54
ukɛ,802
kɛk,91
ɛmɛ,713
ɛɬw,342
ɬwɛ,452
ɔŋǃ,41
kǃi,510
ǃik,78
ǃis,22
z̤aw,178
waɮ,58
ika,3238
jaɮ,22
akǃ,660
ɓaz̤,1223
ɓah,149
aha,1591
tʰun,111
ǃ̤a,250
̤aɓ,44
ɔmkʰ,372
mkʰi,21
kʰiw,98
mib̤,13
ib̤i,111
b̤iŋ,87
iŋǃ,928
ŋǃɔ,342
siv̤,109
iv̤a,382
san,2490
pɛpʰ,3
ɛpʰɛ,228
pʰɛn,362
asu,349
imɛ,515
mɛl,1491
ɛɓu,686
usw,398
swɛ,705
wɛm,954
upʰi,280
d̤iv̤,107
iv̤ɛ,602
sakʰ,880
d̤as,38
d̤ɔj,63
ɔji,1290
jik,754
d̤ih,53
iha,254
d̤az̤,363
ukǁ,394
ǁɛl,458
ɡ̤uɓ,914
uha,439
ɮil,15
d̤ak,290
uwi,95
ɔwa,1336
ɡ̤uj,574
d̤aɮ,6
jin,1621
tɔn,425
d̤il,684
ilu,640
luk,634
kuɬ,843
uɬi,29
ɬil,28
kuh,229
ɡ̤ɛs,555
sis,910
isu,255
uɮɛ,68
utʰu,474
ɓut͡ʃ,106
ut͡ʃa,353
t͡ʃaɓ,537
napʰ,508
kutʲ,98
utʲu,21
tʲum,34
umz̤,465
mz̤a,279
jitʲ,17
itʲu,20
ukw,338
akʰu,1092
ɓul,2001
ant,2470
twa,308
ɛkɔ,371
ukɔ,427
pʰul,763
lapʰ,393
z̤wi,1428
lɔm,1086
unt͡ʃ,55
mɛv̤,21
ɛv̤a,240
unz̤,567
mfu,546
kɔɓ,531
usɔ,805
ud̤ɛ,585
ɓuj,1278
lin,2029
liɓ,634
ɡ̤uɛ,96
uɛv̤,5
ɡ̤un,235
ɓapʰ,518
int͡s,373
nt͡su,142
tʰis,252
ɡ̤ɔm,1097
ɔmɲ,410
mɲɛ,470
ɔlu,756
lul,1061
nɮa,1675
aɮɛ,165
ɡ̤ɔn,293
kad̤,997
ad̤ɛ,936
amn,250
mnd̤,25
nd̤u,991
d̤ul,820
ɓɛtʰ,704
amɡ̤,65
mɡ̤ǁ,41
ɡ̤ǁ̤,385
ǁ̤ɔ,370
̤ɔtʰ,126
ɔtʰa,136
iik,222
kɛr,121
ɛru,784
rub̤,213
ub̤i,503
ɡ̤atʲ,57
atʲɛ,419
lɛk͡x,4
ɛk͡xɛ,183
k͡xɛl,425
lid͡ʒ̤,11
id͡ʒ̤i,95
kad͡ʒ̤,16
ad͡ʒ̤i,136
kuɡ̤,427
inɮ,1361
ɮɛl,854
ɛja,749
ɛmtʰ,81
iz̤u,308
z̤uz̤,122
ɡ̤ɔj,110
ɔjɛ,528
pʰin,195
mni,564
uab̤,280
